DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,10.15,10.3,9.85,9.95,9.95,9.95,10.02,16.15,8.55,620033,6214067.7,778,A2ZINFRA
2022-12-29,EQ,9.9,10.1,9.9,9.9,9.9,9.95,9.97,16.15,8.55,130544,1301896.85,292,A2ZINFRA
2022-12-28,EQ,9.8,10.1,9.75,9.65,9.9,9.9,9.97,16.15,8.55,736314,7339431.55,745,A2ZINFRA
2022-12-27,EQ,10.4,10.4,8.7,10.1,10.2,9.65,9.87,16.15,8.55,219713,2169289.9,498,A2ZINFRA
2022-12-26,EQ,8.8,10.15,8.8,9.4,10.1,10.1,9.88,16.15,8.55,472378,4665547.9,938,A2ZINFRA
2022-12-23,EQ,9.7,9.7,9.25,9.65,9.5,9.4,9.4,16.15,8.55,278861,2622006.55,644,A2ZINFRA
2022-12-22,EQ,10.2,10.55,9.55,10.1,9.7,9.65,9.88,16.15,8.55,536204,5295514.85,1094,A2ZINFRA
2022-12-21,EQ,10.65,11.0,10.0,10.7,10.0,10.1,10.51,16.15,8.55,828172,8704448.65,1225,A2ZINFRA
2022-12-20,EQ,11.55,11.55,10.45,11.45,10.6,10.7,10.92,16.15,8.55,837162,9141004.75,1032,A2ZINFRA
2022-12-19,EQ,11.75,11.75,11.2,11.3,11.5,11.45,11.54,16.15,8.55,797946,9209917.2,1180,A2ZINFRA
2022-12-16,EQ,11.65,11.9,11.1,11.3,11.3,11.3,11.53,16.15,8.55,1165394,13436013.7,993,A2ZINFRA
2022-12-15,EQ,11.8,11.8,11.25,11.6,11.25,11.3,11.5,16.15,8.55,291125,3347516.0,534,A2ZINFRA
2022-12-14,EQ,10.9,11.75,10.85,10.95,11.5,11.6,11.44,16.15,8.55,1184373,13546270.75,1451,A2ZINFRA
2022-12-13,EQ,10.9,11.15,10.7,10.75,10.85,10.95,10.87,16.15,8.55,325019,3531352.0,512,A2ZINFRA
2022-12-12,EQ,11.1,11.1,10.65,10.9,10.8,10.75,10.84,16.15,8.55,226821,2457613.35,469,A2ZINFRA
2022-12-09,EQ,11.05,11.25,10.65,11.05,10.9,10.9,10.92,16.15,8.55,359917,3928515.75,607,A2ZINFRA
2022-12-08,EQ,11.05,11.25,11.0,11.05,11.0,11.05,11.08,16.15,8.55,146782,1626129.35,331,A2ZINFRA
2022-12-07,EQ,11.2,11.5,11.0,11.2,11.1,11.05,11.14,16.15,8.55,219294,2442588.7,489,A2ZINFRA
2022-12-06,EQ,11.15,12.05,10.9,11.15,11.3,11.2,11.47,16.15,8.55,1078464,12369180.0,1500,A2ZINFRA
2022-12-05,EQ,11.15,11.4,11.05,11.2,11.2,11.15,11.22,16.15,8.55,124370,1394989.7,351,A2ZINFRA
2022-12-02,EQ,11.55,11.55,11.05,11.35,11.15,11.2,11.28,16.15,8.55,251512,2837594.5,572,A2ZINFRA
2022-12-01,EQ,10.8,11.8,10.75,10.8,11.3,11.35,11.26,16.15,8.55,1516578,17071269.95,1548,A2ZINFRA
2022-11-30,EQ,10.95,11.15,10.7,10.8,10.8,10.8,10.87,16.15,8.55,222988,2424023.3,474,A2ZINFRA
2022-11-29,EQ,10.75,10.95,10.7,10.75,10.85,10.8,10.8,16.15,8.55,133017,1437158.65,292,A2ZINFRA
2022-11-28,EQ,11.05,11.05,10.7,10.8,10.75,10.75,10.86,16.15,8.55,222671,2419219.85,478,A2ZINFRA
2022-11-25,EQ,11.3,11.3,10.7,10.85,10.9,10.8,10.9,16.15,8.55,254668,2776681.5,454,A2ZINFRA
2022-11-24,EQ,10.75,11.45,10.75,10.75,11.0,10.85,11.12,16.15,8.55,564595,6275580.75,1131,A2ZINFRA
2022-11-23,EQ,10.6,11.25,10.25,10.4,10.7,10.75,10.73,16.15,8.55,1032643,11075912.8,1169,A2ZINFRA
2022-11-22,EQ,10.6,10.7,10.3,10.4,10.3,10.4,10.43,16.15,8.55,118574,1236260.85,360,A2ZINFRA
2022-11-21,EQ,10.2,10.7,10.2,10.35,10.5,10.4,10.43,16.15,8.55,138684,1446585.6,401,A2ZINFRA
2022-11-18,EQ,10.8,10.8,10.25,10.7,10.35,10.35,10.52,16.15,5.75,496127,5217398.95,585,A2ZINFRA
2022-11-17,EQ,10.4,11.45,10.25,10.45,10.75,10.7,10.56,16.15,5.75,382590,4040753.4,656,A2ZINFRA
2022-11-16,EQ,10.6,10.9,10.1,10.8,10.5,10.45,10.46,16.15,5.75,665110,6957503.8,1069,A2ZINFRA
2022-11-15,EQ,11.0,11.1,10.8,11.0,10.9,10.8,10.85,16.15,5.75,91663,994622.2,326,A2ZINFRA
2022-11-14,EQ,11.1,11.35,10.9,11.2,11.0,11.0,11.01,16.15,5.75,728678,8020094.2,685,A2ZINFRA
2022-11-11,EQ,11.55,11.75,11.05,11.3,11.05,11.2,11.34,16.15,4.85,907520,10294745.6,1048,A2ZINFRA
2022-11-10,EQ,11.9,11.95,10.75,11.7,11.35,11.3,11.31,16.15,4.85,838001,9474131.85,1088,A2ZINFRA
2022-11-09,EQ,11.2,12.8,11.0,11.2,11.85,11.7,11.85,16.15,4.85,976928,11575218.6,1495,A2ZINFRA
2022-11-07,EQ,11.95,12.05,11.05,11.45,11.15,11.2,11.48,16.15,4.85,675850,7755799.05,1219,A2ZINFRA
2022-11-04,EQ,10.1,11.9,10.1,10.2,11.5,11.45,11.0,16.15,4.8,1858800,20449504.75,2345,A2ZINFRA
2022-11-03,EQ,10.05,10.3,10.05,10.15,10.15,10.2,10.19,16.15,4.8,116601,1188088.75,270,A2ZINFRA
2022-11-02,EQ,10.15,10.5,10.05,10.05,10.1,10.15,10.21,16.15,4.8,142401,1453474.25,342,A2ZINFRA
2022-11-01,EQ,10.1,10.4,10.0,10.1,10.1,10.05,10.13,16.15,4.8,116109,1175994.8,290,A2ZINFRA
2022-10-31,EQ,10.2,10.45,9.5,10.2,10.05,10.1,10.13,16.15,4.8,219237,2220564.5,594,A2ZINFRA
2022-10-28,EQ,10.35,10.5,10.15,10.3,10.2,10.2,10.32,16.15,4.25,312079,3221470.65,367,A2ZINFRA
2022-10-27,EQ,10.05,10.8,10.05,10.35,10.2,10.3,10.41,16.15,4.25,361685,3765357.7,530,A2ZINFRA
2022-10-25,EQ,10.6,10.75,10.25,10.65,10.3,10.35,10.48,16.15,4.25,233045,2441889.25,366,A2ZINFRA
2022-10-24,EQ,10.8,10.8,10.5,10.35,10.7,10.65,10.65,16.15,4.25,78358,834126.25,216,A2ZINFRA
2022-10-21,EQ,10.4,10.55,10.3,10.4,10.35,10.35,10.44,16.15,4.2,239513,2499386.7,512,A2ZINFRA
2022-10-20,EQ,10.5,10.7,10.3,10.4,10.35,10.4,10.44,16.15,4.2,130562,1363554.05,279,A2ZINFRA
2022-10-19,EQ,10.45,10.7,10.25,10.25,10.3,10.4,10.45,16.15,4.2,204397,2135708.05,457,A2ZINFRA
2022-10-18,EQ,10.5,10.7,10.2,10.45,10.3,10.25,10.43,16.15,4.2,340241,3547849.65,506,A2ZINFRA
2022-10-17,EQ,10.9,10.9,10.4,10.7,10.5,10.45,10.56,16.15,4.2,99593,1051299.25,341,A2ZINFRA
2022-10-14,EQ,10.9,11.15,10.6,10.85,10.7,10.7,10.87,16.15,4.2,358220,3895146.95,431,A2ZINFRA
2022-10-13,EQ,10.95,11.25,10.75,10.95,10.85,10.85,10.95,16.15,4.2,164815,1804203.7,401,A2ZINFRA
2022-10-12,EQ,11.25,11.55,10.9,11.1,11.05,10.95,11.05,16.15,4.2,320670,3542355.9,536,A2ZINFRA
2022-10-11,EQ,11.6,11.6,10.9,11.4,11.25,11.1,11.19,16.15,4.2,651026,7284618.0,737,A2ZINFRA
2022-10-10,EQ,11.65,11.7,10.55,11.35,11.45,11.4,11.31,16.15,4.2,1077017,12177830.45,1359,A2ZINFRA
2022-10-07,EQ,10.4,11.35,10.3,10.35,11.35,11.35,10.98,16.15,4.15,640418,7031556.5,666,A2ZINFRA
2022-10-06,EQ,10.6,10.7,10.25,10.45,10.35,10.35,10.45,16.15,4.15,500811,5235200.65,608,A2ZINFRA
2022-10-04,EQ,10.3,10.55,10.25,10.3,10.45,10.45,10.4,16.15,4.15,281168,2923909.7,347,A2ZINFRA
2022-10-03,EQ,10.25,10.6,10.25,10.3,10.3,10.3,10.42,16.15,4.15,228911,2385453.2,374,A2ZINFRA
2022-09-30,EQ,10.35,10.8,10.15,10.35,10.55,10.3,10.37,16.15,4.1,246061,2551060.35,601,A2ZINFRA
2022-09-29,EQ,10.5,10.75,10.3,10.35,10.4,10.35,10.54,16.15,4.1,141796,1495040.35,287,A2ZINFRA
2022-09-28,EQ,10.0,10.6,9.85,10.15,10.25,10.35,10.29,16.15,4.1,469329,4831453.3,544,A2ZINFRA
2022-09-27,EQ,10.5,10.9,10.05,10.4,10.15,10.15,10.36,16.15,4.1,566971,5876484.55,666,A2ZINFRA
2022-09-26,EQ,10.95,10.95,10.25,11.0,10.4,10.4,10.54,16.15,4.1,633681,6681430.7,744,A2ZINFRA
2022-09-23,EQ,11.05,11.35,10.9,11.2,11.1,11.0,11.05,16.15,4.1,313224,3460398.95,503,A2ZINFRA
2022-09-22,EQ,11.25,11.6,10.8,11.25,11.2,11.2,11.21,16.15,4.1,412820,4627638.75,480,A2ZINFRA
2022-09-21,EQ,11.4,11.6,11.15,11.4,11.25,11.25,11.31,16.15,4.1,152119,1720853.45,356,A2ZINFRA
2022-09-20,EQ,11.65,12.2,11.1,11.75,11.35,11.4,11.68,16.15,4.1,766623,8953422.55,967,A2ZINFRA
2022-09-19,EQ,11.75,12.0,11.55,11.65,11.65,11.75,11.8,16.15,4.1,253204,2986586.35,669,A2ZINFRA
2022-09-16,EQ,12.2,12.2,11.35,12.0,11.8,11.65,11.77,16.15,4.1,396041,4660282.9,744,A2ZINFRA
2022-09-15,EQ,11.95,12.2,11.95,11.95,12.0,12.0,12.11,16.15,4.1,280319,3393750.15,431,A2ZINFRA
2022-09-14,EQ,11.9,12.55,11.9,12.35,11.95,11.95,12.14,16.15,4.1,699347,8488396.65,822,A2ZINFRA
2022-09-13,EQ,12.75,12.75,12.3,12.55,12.4,12.35,12.55,16.15,4.1,328247,4118965.95,499,A2ZINFRA
2022-09-12,EQ,12.7,12.85,12.5,12.6,12.55,12.55,12.61,16.15,4.1,226643,2856943.85,467,A2ZINFRA
2022-09-09,EQ,12.45,12.95,12.45,12.7,12.7,12.6,12.75,16.15,4.1,217577,2774209.0,394,A2ZINFRA
2022-09-08,EQ,12.9,13.1,12.65,12.9,12.65,12.7,12.83,16.15,4.1,147780,1895449.4,435,A2ZINFRA
