DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,455.0,461.0,450.65,451.05,460.0,460.1,458.63,552.3,378.0,86327,39592062.8,6537,AARTIDRUGS
2022-12-29,EQ,449.95,460.0,445.05,448.05,451.4,451.05,450.84,552.3,378.0,52548,23690590.4,3884,AARTIDRUGS
2022-12-28,EQ,443.0,452.45,442.1,446.5,449.4,448.05,449.16,552.3,378.0,40320,18110080.85,3386,AARTIDRUGS
2022-12-27,EQ,447.0,454.7,442.3,444.2,447.0,446.5,447.84,552.3,378.0,64844,29039572.35,5643,AARTIDRUGS
2022-12-26,EQ,455.5,459.3,441.3,455.05,445.5,444.2,448.77,552.3,378.0,112623,50541558.5,7543,AARTIDRUGS
2022-12-23,EQ,443.0,468.5,440.85,447.1,455.5,455.05,458.74,552.3,378.0,281122,128961788.35,13920,AARTIDRUGS
2022-12-22,EQ,461.0,464.9,444.3,460.45,444.9,447.1,451.78,552.3,378.0,68444,30921855.8,6724,AARTIDRUGS
2022-12-21,EQ,463.8,474.75,452.35,462.1,458.9,460.45,467.26,552.3,378.0,152063,71053076.3,8228,AARTIDRUGS
2022-12-20,EQ,454.0,463.0,454.0,457.85,463.0,462.1,460.7,552.3,378.0,45525,20973594.35,2715,AARTIDRUGS
2022-12-19,EQ,452.3,463.6,449.8,458.15,460.35,457.85,458.97,552.3,378.0,84929,38979607.85,6429,AARTIDRUGS
2022-12-16,EQ,458.35,461.85,455.85,458.35,458.4,458.15,459.43,608.0,378.0,36651,16838661.75,3547,AARTIDRUGS
2022-12-15,EQ,464.4,467.0,456.0,461.95,462.0,458.35,461.56,608.0,378.0,60555,27950047.55,4189,AARTIDRUGS
2022-12-14,EQ,462.0,466.95,460.2,462.9,461.1,461.95,463.44,608.0,378.0,41455,19211733.95,4548,AARTIDRUGS
2022-12-13,EQ,465.0,469.7,460.2,464.25,463.1,462.9,463.98,608.0,378.0,46593,21618448.95,4007,AARTIDRUGS
2022-12-12,EQ,457.35,468.0,455.25,457.35,467.1,464.25,460.9,608.0,378.0,60744,27996630.35,4775,AARTIDRUGS
2022-12-09,EQ,462.4,463.1,453.65,460.0,458.0,457.35,457.27,608.0,378.0,36379,16635182.6,2981,AARTIDRUGS
2022-12-08,EQ,458.0,462.8,457.1,457.05,460.6,460.0,460.13,608.0,378.0,53188,24473133.25,2789,AARTIDRUGS
2022-12-07,EQ,460.3,461.7,453.05,460.3,456.5,457.05,457.51,608.0,378.0,62498,28593193.7,4487,AARTIDRUGS
2022-12-06,EQ,461.0,464.45,459.1,460.25,460.8,460.3,460.88,608.0,378.0,70134,32323588.3,2789,AARTIDRUGS
2022-12-05,EQ,446.05,463.5,444.0,446.05,461.0,460.25,454.59,608.0,378.0,122103,55507377.0,5572,AARTIDRUGS
2022-12-02,EQ,449.0,451.9,444.0,449.05,448.0,446.05,447.73,608.0,378.0,44748,20035189.4,2961,AARTIDRUGS
2022-12-01,EQ,452.1,454.95,447.8,452.9,448.95,449.05,451.19,608.0,378.0,75286,33968497.6,3096,AARTIDRUGS
2022-11-30,EQ,453.3,454.7,448.45,452.6,452.0,452.9,451.47,608.0,378.0,49273,22245211.9,2832,AARTIDRUGS
2022-11-29,EQ,451.0,455.0,448.1,450.85,453.95,452.6,451.35,608.0,378.0,77270,34875904.0,3921,AARTIDRUGS
2022-11-28,EQ,450.45,456.15,450.2,450.45,450.7,450.85,452.42,608.0,378.0,43667,19755690.7,2913,AARTIDRUGS
2022-11-25,EQ,440.5,452.6,440.5,442.3,448.1,450.45,447.76,608.0,378.0,76016,34036907.2,4592,AARTIDRUGS
2022-11-24,EQ,452.0,456.85,441.0,452.5,444.0,442.3,447.19,608.0,378.0,75017,33547170.95,5009,AARTIDRUGS
