DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,151.3,151.9,149.2,150.15,149.8,150.2,150.44,162.45,85.6,3142519,472748984.9,16709,ABCAPITAL
2022-12-29,EQ,147.0,154.7,144.2,147.6,151.2,150.15,148.11,162.45,85.6,5479157,811517828.95,49499,ABCAPITAL
2022-12-28,EQ,148.0,149.4,146.6,148.05,147.05,147.6,147.94,162.45,85.6,1959606,289900586.4,12289,ABCAPITAL
2022-12-27,EQ,149.0,149.55,146.5,147.55,148.2,148.05,147.77,162.45,85.6,1972878,291527189.45,15101,ABCAPITAL
2022-12-26,EQ,142.95,148.8,141.45,143.35,148.2,147.55,145.83,162.45,85.6,3449485,503044858.95,20504,ABCAPITAL
2022-12-23,EQ,145.65,146.95,142.9,147.85,143.3,143.35,144.83,162.45,85.6,4835266,700294237.5,26965,ABCAPITAL
2022-12-22,EQ,149.5,150.9,145.75,148.6,147.55,147.85,147.59,162.45,85.6,3926892,579588009.55,21037,ABCAPITAL
2022-12-21,EQ,154.4,155.5,147.65,153.65,148.75,148.6,151.52,162.45,85.6,4973655,753596470.75,27049,ABCAPITAL
2022-12-20,EQ,154.55,155.35,150.7,154.55,153.25,153.65,152.61,162.45,85.6,2237610,341472823.9,13267,ABCAPITAL
2022-12-19,EQ,152.0,155.4,151.5,152.75,154.6,154.55,153.82,162.45,85.6,2527734,388826105.5,19729,ABCAPITAL
2022-12-16,EQ,152.95,154.9,149.5,153.65,152.2,152.75,152.33,162.45,85.6,4157163,633246300.25,27860,ABCAPITAL
2022-12-15,EQ,155.1,158.2,152.5,155.75,153.0,153.65,155.49,162.45,85.6,2872366,446625571.45,20597,ABCAPITAL
2022-12-14,EQ,157.1,157.55,155.3,156.4,155.5,155.75,156.35,162.45,85.6,2432733,380354991.15,14498,ABCAPITAL
2022-12-13,EQ,157.9,159.4,155.5,157.1,156.55,156.4,156.85,162.45,85.6,4793844,751900682.1,25494,ABCAPITAL
2022-12-12,EQ,153.5,157.65,153.3,156.0,156.6,157.1,155.83,162.45,85.6,4760869,741895722.3,24508,ABCAPITAL
2022-12-09,EQ,161.6,161.6,153.35,160.8,156.35,156.0,156.53,162.45,85.6,7830852,1225787902.85,38626,ABCAPITAL
2022-12-08,EQ,159.55,162.45,158.65,159.55,160.8,160.8,160.97,162.45,85.6,5081341,817920819.1,29856,ABCAPITAL
2022-12-07,EQ,158.15,161.7,157.7,158.45,159.1,159.55,159.74,161.7,85.6,7365362,1176517378.05,37720,ABCAPITAL
2022-12-06,EQ,158.5,161.25,156.55,158.65,158.6,158.45,158.58,161.25,85.6,11192515,1774933367.3,51984,ABCAPITAL
2022-12-05,EQ,152.5,159.2,151.5,151.7,158.45,158.65,156.04,159.2,85.6,18326577,2859590561.0,89159,ABCAPITAL
2022-12-02,EQ,145.25,153.3,145.0,145.7,151.35,151.7,150.51,153.3,85.6,16353750,2461382411.6,86221,ABCAPITAL
2022-12-01,EQ,146.0,148.0,144.4,145.35,145.6,145.7,145.91,148.0,85.6,5916057,863185692.15,35880,ABCAPITAL
