DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,302.15,307.4,300.7,298.35,307.0,303.85,303.24,354.7,175.0,356250,108031002.05,8704,ACE
2022-12-29,EQ,289.05,302.5,286.85,291.05,299.0,298.35,296.2,354.7,175.0,483478,143204959.6,10794,ACE
2022-12-28,EQ,292.95,297.85,289.0,292.25,290.15,291.05,293.51,354.7,175.0,498792,146401036.15,10274,ACE
2022-12-27,EQ,292.4,295.0,278.3,287.95,291.2,292.25,286.52,354.7,175.0,1274628,365200870.0,24693,ACE
2022-12-26,EQ,265.3,292.0,265.3,268.9,290.55,287.95,280.5,354.7,175.0,1265879,355082826.8,30788,ACE
2022-12-23,EQ,288.05,288.9,266.25,292.5,270.15,268.9,278.26,354.7,175.0,729279,202925599.8,22928,ACE
2022-12-22,EQ,309.0,312.05,286.25,305.4,293.05,292.5,293.47,354.7,175.0,1144122,335765579.6,32605,ACE
2022-12-21,EQ,321.9,327.8,301.1,320.2,305.45,305.4,313.9,354.7,175.0,576744,181038573.2,15750,ACE
2022-12-20,EQ,316.0,324.05,316.0,319.0,320.2,320.2,320.24,354.7,175.0,265998,85182789.4,9248,ACE
2022-12-19,EQ,327.8,327.8,314.35,325.4,319.7,319.0,320.4,354.7,175.0,456158,146151538.05,12599,ACE
2022-12-16,EQ,325.45,335.95,323.25,326.5,326.0,325.4,330.57,354.7,175.0,624149,206322201.7,19025,ACE
2022-12-15,EQ,324.9,331.35,324.0,323.25,325.5,326.5,327.39,354.7,175.0,325511,106570282.35,9426,ACE
2022-12-14,EQ,324.45,325.9,321.0,322.5,323.5,323.25,323.33,354.7,175.0,192268,62165916.9,5962,ACE
2022-12-13,EQ,324.9,328.6,316.35,323.25,322.0,322.5,322.83,354.7,175.0,405051,130764242.15,10874,ACE
2022-12-12,EQ,327.85,328.8,320.0,329.4,323.0,323.25,324.06,354.7,175.0,348233,112847143.55,10590,ACE
2022-12-09,EQ,340.65,351.9,323.5,340.1,329.45,329.4,338.14,354.7,175.0,944824,319479808.9,21174,ACE
2022-12-08,EQ,336.75,342.2,333.5,336.85,339.0,340.1,337.1,354.7,175.0,203631,68643472.85,6819,ACE
2022-12-07,EQ,341.55,345.9,336.0,339.8,337.0,336.85,340.42,354.7,175.0,223059,75933408.55,7288,ACE
2022-12-06,EQ,331.1,346.95,328.1,332.8,339.0,339.8,341.3,354.7,175.0,855614,292016780.65,22416,ACE
2022-12-05,EQ,332.9,339.95,330.9,331.25,333.15,332.8,335.04,354.7,175.0,346035,115936498.65,8242,ACE
2022-12-02,EQ,333.6,336.65,330.0,333.55,331.7,331.25,333.2,354.7,175.0,262379,87425222.9,6058,ACE
2022-12-01,EQ,339.95,344.55,331.35,339.2,335.9,333.55,337.65,354.7,175.0,477221,161132783.15,10496,ACE
2022-11-30,EQ,340.8,341.4,330.55,339.1,338.05,339.2,335.78,354.7,175.0,470761,158073954.75,11374,ACE
2022-11-29,EQ,330.85,354.7,330.85,327.95,337.9,339.1,345.57,354.7,175.0,2706630,935340735.55,45130,ACE
2022-11-28,EQ,330.0,335.5,325.0,328.7,328.2,327.95,330.94,347.5,175.0,360911,119441399.15,8729,ACE
