DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,81.5,82.6,81.15,80.85,81.85,81.75,81.98,109.5,60.55,49906,4091454.05,863,ADVANIHOTR
2022-12-29,EQ,84.0,86.0,78.15,86.8,80.95,80.85,82.75,109.5,60.55,172429,14268617.6,2564,ADVANIHOTR
2022-12-28,EQ,87.0,87.15,84.55,86.95,87.15,86.8,86.01,109.5,60.55,138825,11940403.7,2360,ADVANIHOTR
2022-12-27,EQ,85.9,87.75,84.3,84.2,86.1,86.95,86.46,109.5,60.55,216934,18756923.3,2837,ADVANIHOTR
2022-12-26,EQ,79.75,84.75,79.05,78.25,84.45,84.2,82.2,109.5,60.55,143048,11759192.85,2286,ADVANIHOTR
2022-12-23,EQ,80.1,80.8,77.3,79.95,78.2,78.25,78.83,109.5,60.55,78741,6206844.7,1286,ADVANIHOTR
2022-12-22,EQ,83.2,84.75,78.6,83.2,80.1,79.95,80.51,109.5,60.55,99476,8008461.5,1864,ADVANIHOTR
2022-12-21,EQ,89.9,89.9,82.55,89.0,84.0,83.2,86.21,109.5,60.55,188353,16237524.3,2373,ADVANIHOTR
2022-12-20,EQ,90.7,91.0,86.4,88.6,88.6,89.0,89.13,109.5,60.55,280374,24989921.25,4031,ADVANIHOTR
2022-12-19,EQ,84.4,90.0,84.4,82.85,89.9,88.6,87.22,109.5,60.55,299654,26135523.7,3419,ADVANIHOTR
2022-12-16,EQ,82.5,83.5,81.75,82.5,82.85,82.85,82.53,109.5,60.55,32021,2642557.25,553,ADVANIHOTR
2022-12-15,EQ,82.9,84.5,82.15,82.9,82.55,82.5,83.07,109.5,60.55,57752,4797508.85,654,ADVANIHOTR
2022-12-14,EQ,82.9,83.95,82.3,82.9,82.95,82.9,82.85,109.5,60.55,28132,2330670.3,377,ADVANIHOTR
2022-12-13,EQ,84.8,84.8,82.5,83.55,82.95,82.9,83.52,109.5,60.55,32382,2704537.15,481,ADVANIHOTR
2022-12-12,EQ,84.3,84.45,82.3,81.7,83.95,83.55,83.66,109.5,60.55,112890,9444556.55,1512,ADVANIHOTR
2022-12-09,EQ,82.4,82.7,81.2,81.35,82.2,81.7,81.83,109.5,60.55,17993,1472344.1,460,ADVANIHOTR
2022-12-08,EQ,82.4,83.25,81.1,81.55,81.45,81.35,81.75,109.5,60.55,29950,2448366.15,467,ADVANIHOTR
2022-12-07,EQ,82.8,82.8,81.45,82.75,81.5,81.55,81.76,109.5,60.55,11820,966382.4,277,ADVANIHOTR
2022-12-06,EQ,81.3,83.1,80.4,81.35,83.0,82.75,82.07,109.5,60.55,41642,3417643.7,1112,ADVANIHOTR
2022-12-05,EQ,82.5,82.5,81.0,81.85,81.65,81.35,81.68,109.5,60.55,23409,1912129.7,420,ADVANIHOTR
2022-12-02,EQ,81.8,82.95,81.45,81.0,82.0,81.85,82.12,109.5,60.55,18900,1552140.05,276,ADVANIHOTR
2022-12-01,EQ,83.0,83.2,80.15,81.8,80.5,81.0,81.56,109.5,60.55,33951,2768878.65,587,ADVANIHOTR
2022-11-30,EQ,80.95,82.4,79.65,80.3,81.95,81.8,81.69,109.5,60.55,68286,5578210.0,1001,ADVANIHOTR
2022-11-29,EQ,80.9,80.9,79.6,80.0,80.45,80.3,80.25,109.5,60.55,30312,2432532.45,349,ADVANIHOTR
2022-11-28,EQ,79.5,80.35,78.9,79.1,79.55,80.0,79.57,109.5,60.55,28632,2278116.5,427,ADVANIHOTR
2022-11-25,EQ,78.85,80.55,78.5,78.1,79.15,79.1,79.51,109.5,60.55,56552,4496170.15,711,ADVANIHOTR
2022-11-24,EQ,78.45,79.4,77.9,78.3,78.3,78.1,78.36,109.5,60.55,16267,1274614.05,306,ADVANIHOTR
2022-11-23,EQ,79.0,79.4,77.95,78.45,78.5,78.3,78.65,109.5,60.55,14422,1134322.55,323,ADVANIHOTR
2022-11-22,EQ,78.8,80.3,78.3,79.35,78.5,78.45,78.98,109.5,60.55,22079,1743836.45,480,ADVANIHOTR
2022-11-21,EQ,80.05,82.0,78.45,80.05,79.5,79.35,80.14,109.5,60.55,34530,2767248.4,697,ADVANIHOTR
2022-11-18,EQ,79.25,80.35,79.1,79.25,79.8,80.05,79.83,109.5,60.55,17083,1363700.7,336,ADVANIHOTR
2022-11-17,EQ,79.65,79.65,78.65,79.65,79.6,79.25,79.15,109.5,60.55,22615,1790018.05,357,ADVANIHOTR
2022-11-16,EQ,79.65,81.0,79.05,78.6,79.45,79.65,80.02,109.5,60.55,20456,1636948.25,431,ADVANIHOTR
2022-11-15,EQ,81.3,82.7,78.25,83.9,79.0,78.6,79.87,109.5,60.55,116608,9313787.8,1718,ADVANIHOTR
2022-11-14,EQ,83.9,84.65,82.0,83.7,83.55,83.9,83.39,109.5,60.55,45783,3817685.05,773,ADVANIHOTR
2022-11-11,EQ,84.0,84.55,82.5,83.0,84.25,83.7,83.28,109.5,60.55,27787,2314009.2,539,ADVANIHOTR
2022-11-10,EQ,84.0,84.75,82.5,83.55,82.85,83.0,83.55,109.5,60.55,29588,2472109.85,623,ADVANIHOTR
2022-11-09,EQ,83.3,84.9,83.15,83.3,83.4,83.55,83.87,109.5,60.55,24381,2044860.35,500,ADVANIHOTR
2022-11-07,EQ,82.5,83.9,81.65,82.2,83.75,83.3,82.8,109.5,60.55,27849,2305920.65,488,ADVANIHOTR
2022-11-04,EQ,82.7,83.5,81.7,81.8,82.05,82.2,82.68,109.5,60.55,37735,3119871.95,515,ADVANIHOTR
2022-11-03,EQ,83.15,83.4,80.0,83.15,81.9,81.8,81.63,109.5,60.55,41965,3425477.85,765,ADVANIHOTR
2022-11-02,EQ,83.0,83.85,82.5,82.65,83.15,83.15,83.06,109.5,60.55,21605,1794602.8,399,ADVANIHOTR
2022-11-01,EQ,83.5,83.5,82.1,82.75,82.1,82.65,82.73,109.5,60.55,14527,1201756.55,270,ADVANIHOTR
2022-10-31,EQ,83.05,83.9,82.0,82.95,82.55,82.75,82.73,109.5,60.55,14747,1220047.1,248,ADVANIHOTR
2022-10-28,EQ,83.25,83.95,82.5,82.3,82.5,82.95,83.11,109.5,60.55,16618,1381067.2,394,ADVANIHOTR
2022-10-27,EQ,83.6,83.6,80.7,82.2,82.5,82.3,81.87,109.5,60.55,24538,2009027.3,524,ADVANIHOTR
2022-10-25,EQ,84.45,84.45,81.7,83.15,81.9,82.2,82.36,109.5,60.55,11048,909961.75,304,ADVANIHOTR
2022-10-24,EQ,82.45,83.9,82.05,82.45,83.85,83.15,83.04,109.5,60.55,8605,714517.05,210,ADVANIHOTR
2022-10-21,EQ,84.5,84.5,81.4,83.3,82.8,82.45,83.01,109.5,60.55,16945,1406537.1,448,ADVANIHOTR
2022-10-20,EQ,82.2,83.7,80.5,82.05,83.15,83.3,82.54,109.5,60.55,20205,1667689.75,762,ADVANIHOTR
2022-10-19,EQ,82.5,83.25,81.25,81.6,81.9,82.05,82.25,109.5,60.55,17387,1430048.3,599,ADVANIHOTR
2022-10-18,EQ,83.0,83.0,80.75,81.05,81.3,81.6,81.73,109.5,60.55,25401,2075896.8,867,ADVANIHOTR
2022-10-17,EQ,80.85,82.1,80.15,80.85,81.0,81.05,80.98,109.5,60.55,23482,1901564.7,763,ADVANIHOTR
2022-10-14,EQ,83.0,83.1,80.5,81.6,80.65,80.85,81.84,109.5,60.55,27154,2222246.45,649,ADVANIHOTR
2022-10-13,EQ,82.45,83.75,81.15,82.55,81.9,81.6,82.08,109.5,60.55,14694,1206070.1,503,ADVANIHOTR
2022-10-12,EQ,85.0,85.25,82.2,82.45,82.65,82.55,83.21,109.5,60.55,41729,3472072.15,1943,ADVANIHOTR
2022-10-11,EQ,85.8,86.0,82.05,84.85,82.5,82.45,83.75,109.5,60.55,28466,2383925.55,897,ADVANIHOTR
2022-10-10,EQ,85.7,86.5,84.15,85.75,84.7,84.85,85.28,109.5,60.55,14807,1262731.35,423,ADVANIHOTR
2022-10-07,EQ,85.9,86.95,85.05,85.9,86.05,85.75,85.86,109.5,60.55,52265,4487275.0,1752,ADVANIHOTR
2022-10-06,EQ,87.65,88.55,85.6,86.85,86.0,85.9,87.11,109.5,60.55,53818,4687979.9,725,ADVANIHOTR
2022-10-04,EQ,87.75,89.0,85.4,85.8,86.9,86.85,87.54,109.5,60.55,132885,11632122.5,1792,ADVANIHOTR
2022-10-03,EQ,80.9,91.7,80.9,80.95,85.65,85.8,87.41,109.5,60.55,333220,29125123.4,4916,ADVANIHOTR
2022-09-30,EQ,80.7,82.75,80.05,80.7,81.9,80.95,81.14,109.5,60.55,18622,1510933.95,373,ADVANIHOTR
2022-09-29,EQ,82.9,82.9,80.3,80.2,80.9,80.7,81.48,109.5,60.55,20834,1697499.55,369,ADVANIHOTR
2022-09-28,EQ,79.0,81.35,78.65,80.2,80.2,80.2,80.31,109.5,60.55,20632,1657005.5,401,ADVANIHOTR
2022-09-27,EQ,77.35,81.2,77.35,78.0,80.9,80.2,79.13,109.5,60.55,32074,2538039.35,682,ADVANIHOTR
2022-09-26,EQ,82.7,82.8,77.0,82.8,77.0,78.0,79.15,109.5,60.55,62958,4983047.35,807,ADVANIHOTR
2022-09-23,EQ,84.5,84.5,82.5,83.45,82.65,82.8,83.33,109.5,60.55,33394,2782659.35,744,ADVANIHOTR
2022-09-22,EQ,82.1,85.6,82.1,83.2,83.3,83.45,84.03,109.5,60.55,64361,5408102.05,824,ADVANIHOTR
2022-09-21,EQ,85.5,85.5,82.2,84.5,82.8,83.2,83.54,109.5,60.55,37305,3116409.25,767,ADVANIHOTR
2022-09-20,EQ,85.95,86.05,84.1,84.4,84.55,84.5,85.1,109.5,60.55,43231,3679106.75,904,ADVANIHOTR
2022-09-19,EQ,84.6,85.95,83.25,83.7,84.5,84.4,84.84,109.5,60.55,59065,5011142.1,761,ADVANIHOTR
2022-09-16,EQ,84.8,86.35,82.35,84.4,83.65,83.7,84.47,109.5,60.55,75464,6374316.9,1258,ADVANIHOTR
2022-09-15,EQ,83.85,85.45,82.7,83.15,84.95,84.4,84.26,109.5,60.55,59579,5020216.2,818,ADVANIHOTR
2022-09-14,EQ,81.5,84.0,81.5,82.8,83.1,83.15,83.12,109.5,60.55,31614,2627630.55,447,ADVANIHOTR
2022-09-13,EQ,84.5,84.5,82.05,83.35,82.6,82.8,83.18,109.5,60.55,32867,2733961.6,477,ADVANIHOTR
2022-09-12,EQ,84.0,84.65,83.0,83.85,83.0,83.35,83.7,109.5,60.55,28847,2414460.6,667,ADVANIHOTR
2022-09-09,EQ,84.0,86.0,82.6,83.2,83.8,83.85,84.26,109.5,60.55,45167,3805746.1,754,ADVANIHOTR
2022-09-08,EQ,85.4,86.35,82.9,84.75,83.3,83.2,84.42,109.5,60.55,41180,3476289.35,906,ADVANIHOTR
2022-09-07,EQ,82.5,86.8,81.95,82.8,84.6,84.75,84.78,109.5,60.55,112101,9503535.1,2077,ADVANIHOTR
2022-09-06,EQ,83.8,84.45,82.2,83.3,82.65,82.8,83.11,109.5,60.55,25607,2128255.0,525,ADVANIHOTR
2022-09-05,EQ,82.5,86.35,82.5,83.0,83.2,83.3,84.26,109.5,60.55,82750,6972769.75,1104,ADVANIHOTR
