DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,110.85,114.45,107.05,108.9,107.75,107.7,110.98,143.2,58.65,41100,4561419.6,1345,AGRITECH
2022-12-29,EQ,115.0,119.45,107.1,110.6,107.1,108.9,113.98,143.2,58.65,224835,25627777.45,5315,AGRITECH
2022-12-28,EQ,94.9,110.6,92.1,92.2,110.6,110.6,108.78,143.2,58.65,169471,18435734.8,1557,AGRITECH
2022-12-27,EQ,92.0,95.45,91.0,92.4,92.5,92.2,93.83,143.2,58.65,12559,1178440.9,266,AGRITECH
2022-12-26,EQ,92.95,94.4,87.0,88.7,92.0,92.4,90.43,143.2,58.65,27767,2510919.1,471,AGRITECH
2022-12-23,EQ,93.3,98.5,87.0,97.8,87.3,88.7,89.59,143.2,58.65,37169,3329886.3,866,AGRITECH
2022-12-22,EQ,104.0,105.5,95.45,103.65,98.6,97.8,98.6,143.2,58.65,18874,1861065.1,503,AGRITECH
2022-12-21,EQ,106.5,107.9,100.7,107.35,103.35,103.65,104.27,143.2,58.65,15647,1631580.75,496,AGRITECH
2022-12-20,EQ,109.0,109.0,102.0,107.05,107.05,107.35,105.45,143.2,58.65,11947,1259796.55,393,AGRITECH
2022-12-19,EQ,103.5,114.0,103.5,103.95,107.75,107.05,107.82,143.2,58.65,17773,1916250.8,434,AGRITECH
2022-12-16,EQ,105.35,107.0,100.6,103.35,104.0,103.95,104.29,143.2,58.65,14063,1466566.15,333,AGRITECH
2022-12-15,EQ,105.05,108.1,102.5,104.85,103.9,103.35,105.15,143.2,58.65,17077,1795613.15,587,AGRITECH
2022-12-14,EQ,108.25,110.4,97.7,109.45,103.55,104.85,103.78,143.2,58.65,34287,3558229.0,896,AGRITECH
2022-12-13,EQ,110.0,113.3,107.25,106.35,108.95,109.45,110.12,143.2,58.65,23506,2588524.25,577,AGRITECH
2022-12-12,EQ,108.0,111.2,105.05,107.9,109.7,106.35,107.86,143.2,58.65,21957,2368177.65,543,AGRITECH
2022-12-09,EQ,116.9,117.25,107.0,118.3,108.0,107.9,112.24,143.2,58.65,63612,7139842.0,1629,AGRITECH
2022-12-08,EQ,125.3,129.2,115.35,110.8,115.7,118.3,123.94,143.2,58.65,474597,58821557.35,9407,AGRITECH
2022-12-07,EQ,95.9,110.8,94.2,92.35,110.8,110.8,108.36,143.2,58.65,71364,7733109.0,866,AGRITECH
2022-12-06,EQ,95.9,95.9,92.1,92.65,92.25,92.35,92.89,143.2,58.65,1380,128190.9,57,AGRITECH
2022-12-05,EQ,91.2,95.65,91.2,91.7,92.5,92.65,93.88,143.2,58.65,9752,915523.25,465,AGRITECH
2022-12-02,EQ,94.35,95.95,90.4,94.35,91.0,91.7,92.56,143.2,58.65,10922,1010962.6,240,AGRITECH
2022-12-01,EQ,93.3,95.55,93.25,93.1,94.45,94.35,94.18,143.2,58.65,5315,500548.35,186,AGRITECH
2022-11-30,EQ,92.5,96.7,90.55,92.05,93.7,93.1,93.68,143.2,58.65,12125,1135865.65,325,AGRITECH
2022-11-29,EQ,91.8,93.05,89.2,89.2,91.0,92.05,91.96,143.2,58.65,7632,701860.35,243,AGRITECH
2022-11-28,EQ,94.25,94.25,88.65,95.15,89.0,89.2,90.68,143.2,58.65,29948,2715613.35,817,AGRITECH
2022-11-25,EQ,99.5,99.5,94.6,97.4,95.25,95.15,95.64,143.2,58.65,7631,729859.55,254,AGRITECH
2022-11-24,EQ,98.8,104.0,96.55,97.65,97.0,97.4,101.28,143.2,58.65,37502,3798190.35,542,AGRITECH
2022-11-23,EQ,94.0,105.75,92.5,96.15,98.8,97.65,100.88,143.2,58.65,53259,5372809.35,1061,AGRITECH
2022-11-22,EQ,93.1,96.55,93.05,93.55,96.35,96.15,95.44,143.2,58.65,3374,322005.2,253,AGRITECH
2022-11-21,EQ,95.85,95.85,92.2,95.85,93.0,93.55,93.77,143.2,58.65,2368,222051.7,131,AGRITECH
2022-11-18,EQ,99.0,99.0,95.0,95.75,95.0,95.85,96.5,143.2,58.65,2160,208446.25,105,AGRITECH
2022-11-17,EQ,99.5,99.5,95.0,98.65,95.55,95.75,96.14,143.2,58.65,4137,397724.1,190,AGRITECH
2022-11-16,EQ,97.9,101.0,97.0,96.7,98.05,98.65,99.07,143.2,58.65,6658,659581.95,237,AGRITECH
2022-11-15,EQ,100.1,102.95,96.0,100.1,96.5,96.7,97.77,143.2,58.65,9521,930836.55,290,AGRITECH
2022-11-14,EQ,100.55,104.0,99.2,99.1,99.2,100.1,101.47,143.2,58.65,2642,268075.65,156,AGRITECH
2022-11-11,EQ,102.0,106.0,98.25,98.95,99.5,99.1,100.71,143.2,58.65,8162,821992.95,316,AGRITECH
2022-11-10,EQ,102.55,102.55,98.05,102.5,98.35,98.95,99.77,143.2,58.65,9761,973886.6,281,AGRITECH
2022-11-09,EQ,100.0,106.9,100.0,102.4,101.0,102.5,102.59,143.2,58.65,5976,613070.15,194,AGRITECH
