DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,71.65,73.15,70.9,71.25,71.3,71.2,71.97,114.5,56.5,140799,10133165.0,1568,ALEMBICLTD
2022-12-29,EQ,72.15,72.2,70.6,72.2,71.3,71.25,71.51,114.5,56.5,101392,7250140.45,1585,ALEMBICLTD
2022-12-28,EQ,71.0,73.5,70.75,71.0,72.1,72.2,71.82,114.5,56.5,179536,12893709.95,1951,ALEMBICLTD
2022-12-27,EQ,71.45,71.9,70.85,70.8,71.05,71.0,71.29,114.5,56.5,103049,7346200.5,1514,ALEMBICLTD
2022-12-26,EQ,71.65,71.9,70.35,70.2,71.2,70.8,71.07,114.5,56.5,200000,14214330.25,2270,ALEMBICLTD
2022-12-23,EQ,72.55,74.2,69.05,71.45,69.6,70.2,72.17,114.5,56.5,739499,53369706.0,7626,ALEMBICLTD
2022-12-22,EQ,74.85,76.0,70.2,73.75,71.8,71.45,72.88,114.5,56.5,443979,32359015.3,5575,ALEMBICLTD
2022-12-21,EQ,72.65,74.7,72.5,72.65,74.4,73.75,73.63,114.5,56.5,365351,26899227.6,3588,ALEMBICLTD
2022-12-20,EQ,72.9,73.35,72.35,72.95,72.65,72.65,72.75,114.5,56.5,95164,6923161.65,1449,ALEMBICLTD
2022-12-19,EQ,73.5,73.55,72.6,72.5,72.8,72.95,73.03,114.5,56.5,98491,7192652.35,1500,ALEMBICLTD
2022-12-16,EQ,73.15,73.8,72.05,73.0,72.65,72.5,72.91,114.5,56.5,104546,7622056.9,1344,ALEMBICLTD
2022-12-15,EQ,72.95,75.4,71.1,72.95,73.0,73.0,73.97,114.5,56.5,401234,29679479.45,4929,ALEMBICLTD
2022-12-14,EQ,74.2,74.5,72.55,73.75,72.8,72.95,73.19,114.5,56.5,182146,13331027.5,2561,ALEMBICLTD
2022-12-13,EQ,71.95,74.3,71.7,71.4,73.8,73.75,73.07,114.5,56.5,244201,17844870.05,3504,ALEMBICLTD
2022-12-12,EQ,71.6,72.7,70.9,71.35,71.75,71.4,71.44,114.5,56.5,294411,21032957.1,3156,ALEMBICLTD
2022-12-09,EQ,73.8,74.25,71.0,72.8,71.35,71.35,72.5,114.5,56.5,221036,16024592.95,3238,ALEMBICLTD
2022-12-08,EQ,76.1,76.8,70.25,76.1,72.95,72.8,72.89,114.5,56.5,561677,40938089.15,6797,ALEMBICLTD
2022-12-07,EQ,77.1,77.4,75.8,77.1,76.2,76.1,76.35,114.5,56.5,86613,6613233.85,1393,ALEMBICLTD
