DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,265.95,269.4,260.15,263.0,267.9,265.85,264.37,450.25,243.5,9972,2636256.25,554,ALPHAGEO
2022-12-29,EQ,261.25,265.5,261.0,263.5,263.1,263.0,262.82,450.25,243.5,7795,2048668.4,386,ALPHAGEO
2022-12-28,EQ,264.4,265.85,262.0,264.1,264.9,263.5,264.28,450.25,243.5,5169,1366079.35,302,ALPHAGEO
2022-12-27,EQ,258.8,266.0,258.0,256.05,263.7,264.1,261.59,450.25,243.5,9292,2430668.8,709,ALPHAGEO
2022-12-26,EQ,255.4,272.95,253.5,255.4,255.3,256.05,259.34,450.25,243.5,11805,3061479.8,1106,ALPHAGEO
2022-12-23,EQ,264.05,266.95,253.05,267.15,257.0,255.4,258.66,450.25,243.5,8150,2108101.4,794,ALPHAGEO
2022-12-22,EQ,273.2,274.35,263.65,273.15,268.5,267.15,269.59,450.25,243.5,16275,4387551.25,764,ALPHAGEO
2022-12-21,EQ,278.95,278.95,273.1,275.05,273.1,273.15,273.75,450.25,243.5,11744,3214911.2,444,ALPHAGEO
2022-12-20,EQ,273.8,278.1,273.15,273.65,273.3,275.05,275.93,450.25,243.5,7940,2190903.8,523,ALPHAGEO
2022-12-19,EQ,274.65,276.3,273.1,275.05,273.1,273.65,274.37,450.25,243.5,4632,1270899.2,306,ALPHAGEO
2022-12-16,EQ,282.35,283.75,273.2,280.9,274.0,275.05,277.77,450.25,243.5,9940,2761061.25,855,ALPHAGEO
2022-12-15,EQ,283.0,284.4,280.2,280.1,280.5,280.9,281.62,450.25,243.5,12594,3546741.65,551,ALPHAGEO
2022-12-14,EQ,280.75,283.85,277.0,279.3,280.5,280.1,280.38,450.25,243.5,10994,3082484.85,764,ALPHAGEO
2022-12-13,EQ,281.3,285.9,278.15,281.25,281.0,279.3,281.69,450.25,243.5,6445,1815478.45,442,ALPHAGEO
2022-12-12,EQ,280.0,288.05,277.0,280.15,281.1,281.25,282.1,450.25,243.5,6754,1905291.1,444,ALPHAGEO
2022-12-09,EQ,292.0,295.0,275.95,289.4,279.05,280.15,284.18,450.25,243.5,18714,5318200.85,1192,ALPHAGEO
2022-12-08,EQ,285.95,293.0,285.0,290.2,288.0,289.4,290.72,450.25,243.5,4310,1253006.25,433,ALPHAGEO
2022-12-07,EQ,289.6,295.25,289.1,289.4,289.85,290.2,292.74,450.25,243.5,8836,2586672.75,651,ALPHAGEO
2022-12-06,EQ,290.05,294.05,287.5,290.1,290.5,289.4,291.03,450.25,243.5,7034,2047105.15,750,ALPHAGEO
2022-12-05,EQ,285.0,292.45,285.0,289.55,289.0,290.1,289.23,450.25,243.5,10456,3024158.5,717,ALPHAGEO
2022-12-02,EQ,286.75,291.5,280.4,284.65,290.4,289.55,287.79,450.25,243.5,13661,3931470.8,1193,ALPHAGEO
2022-12-01,EQ,293.95,296.0,282.75,286.35,283.35,284.65,289.11,450.25,243.5,24042,6950802.3,2305,ALPHAGEO
2022-11-30,EQ,276.35,295.5,276.35,278.6,287.05,286.35,287.57,450.25,243.5,28752,8268299.15,1425,ALPHAGEO
2022-11-29,EQ,273.85,280.15,273.85,273.85,279.65,278.6,277.49,450.25,243.5,12305,3414523.25,1286,ALPHAGEO
2022-11-28,EQ,281.85,281.85,273.2,273.0,273.7,273.85,274.89,450.25,243.5,5962,1638910.95,391,ALPHAGEO
2022-11-25,EQ,272.0,274.8,271.5,274.4,272.25,273.0,272.88,450.25,243.5,9631,2628077.45,451,ALPHAGEO
2022-11-24,EQ,273.0,282.95,270.1,276.1,279.65,274.4,272.5,450.25,243.5,43805,11936818.2,883,ALPHAGEO
2022-11-23,EQ,280.0,280.0,273.15,275.15,274.35,276.1,276.88,450.25,243.5,4443,1230182.1,300,ALPHAGEO
2022-11-22,EQ,270.2,278.0,265.3,272.0,278.0,275.15,271.87,450.25,243.5,14213,3864133.35,613,ALPHAGEO
2022-11-21,EQ,274.95,274.95,268.6,272.15,272.4,272.0,270.74,450.25,243.5,2370,641665.1,316,ALPHAGEO
2022-11-18,EQ,276.85,276.85,269.9,271.6,270.7,272.15,272.3,450.25,243.5,3489,950054.8,270,ALPHAGEO
2022-11-17,EQ,274.0,275.0,270.5,273.9,273.9,271.6,273.03,450.25,243.5,5065,1382875.9,325,ALPHAGEO
2022-11-16,EQ,271.0,277.05,271.0,272.8,273.3,273.9,274.24,450.25,243.5,8192,2246593.4,411,ALPHAGEO
2022-11-15,EQ,273.45,273.5,271.05,272.85,273.0,272.8,272.42,450.25,243.5,7170,1953236.9,359,ALPHAGEO
2022-11-14,EQ,281.4,281.4,270.0,282.8,274.0,272.85,274.0,450.25,243.5,18772,5143506.8,1253,ALPHAGEO
2022-11-11,EQ,284.0,287.0,280.65,278.9,283.3,282.8,284.05,450.25,243.5,7724,2194021.75,508,ALPHAGEO
2022-11-10,EQ,285.0,285.0,274.05,280.6,282.0,278.9,278.76,450.25,243.5,11168,3113182.7,879,ALPHAGEO
