DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,470.0,475.35,463.0,464.25,467.0,466.05,469.36,679.0,308.25,32172,15100236.35,2607,APCOTEXIND
2022-12-29,EQ,473.95,473.95,460.0,464.05,464.1,464.25,463.73,679.0,308.25,23414,10857799.45,1445,APCOTEXIND
2022-12-28,EQ,457.5,465.9,455.0,453.45,465.9,464.05,460.41,679.0,308.25,23569,10851517.3,2229,APCOTEXIND
2022-12-27,EQ,448.0,463.0,447.65,444.95,454.95,453.45,454.91,679.0,308.25,44144,20081425.0,3318,APCOTEXIND
2022-12-26,EQ,447.4,454.0,440.0,442.4,445.0,444.95,445.92,679.0,308.25,41134,18342508.2,3090,APCOTEXIND
2022-12-23,EQ,447.05,450.2,437.0,451.95,440.25,442.4,444.39,679.0,308.25,69490,30880974.0,4533,APCOTEXIND
2022-12-22,EQ,463.1,478.0,450.0,468.8,451.45,451.95,455.46,679.0,308.25,53993,24591448.8,4630,APCOTEXIND
2022-12-21,EQ,472.0,478.05,456.0,472.15,463.0,468.8,468.28,679.0,308.25,40550,18988695.7,2692,APCOTEXIND
2022-12-20,EQ,479.7,481.45,469.0,476.4,470.6,472.15,474.54,679.0,308.25,42690,20257907.15,2981,APCOTEXIND
2022-12-19,EQ,470.0,480.0,466.95,466.5,476.5,476.4,474.33,679.0,308.25,39379,18678689.75,3073,APCOTEXIND
2022-12-16,EQ,469.0,478.0,461.1,470.5,467.95,466.5,470.38,679.0,308.25,57739,27159522.05,4189,APCOTEXIND
2022-12-15,EQ,484.9,486.0,465.8,481.15,468.0,470.5,472.18,679.0,308.25,88244,41666635.85,4794,APCOTEXIND
2022-12-14,EQ,484.8,488.2,475.0,482.2,480.05,481.15,481.19,679.0,308.25,40592,19532653.05,3689,APCOTEXIND
2022-12-13,EQ,489.9,489.9,481.1,482.25,484.85,482.2,484.12,679.0,308.25,21007,10169955.25,2054,APCOTEXIND
2022-12-12,EQ,480.05,486.0,480.05,485.85,483.0,482.25,482.89,679.0,308.25,25235,12185788.5,1943,APCOTEXIND
2022-12-09,EQ,492.0,495.55,483.3,488.65,489.0,485.85,487.15,679.0,308.25,31201,15199483.2,3222,APCOTEXIND
2022-12-08,EQ,493.45,494.8,487.0,489.55,489.9,488.65,491.49,679.0,308.25,26717,13131024.2,2179,APCOTEXIND
2022-12-07,EQ,504.0,508.4,481.0,498.8,490.0,489.55,492.09,679.0,308.25,62156,30586441.45,4802,APCOTEXIND
2022-12-06,EQ,488.65,504.1,487.55,485.3,503.5,498.8,497.91,679.0,308.25,92618,46114984.7,5587,APCOTEXIND
2022-12-05,EQ,488.95,492.75,483.0,488.25,487.4,485.3,486.42,679.0,308.25,49846,24246310.65,4292,APCOTEXIND
2022-12-02,EQ,497.0,497.0,483.0,494.9,488.0,488.25,490.16,679.0,308.25,33101,16224913.55,3076,APCOTEXIND
2022-12-01,EQ,488.0,499.95,488.0,487.9,493.55,494.9,495.02,679.0,308.25,51829,25656615.25,3995,APCOTEXIND
2022-11-30,EQ,481.5,493.0,481.5,485.35,487.05,487.9,486.6,679.0,308.25,29911,14554711.6,2991,APCOTEXIND
2022-11-29,EQ,489.8,493.0,482.55,488.4,485.2,485.35,486.43,679.0,308.25,26191,12740104.8,3156,APCOTEXIND
2022-11-28,EQ,491.9,494.2,483.0,487.5,489.8,488.4,489.16,679.0,308.25,50888,24892249.65,4780,APCOTEXIND
2022-11-25,EQ,492.9,499.2,482.0,490.2,488.45,487.5,490.78,679.0,308.25,64465,31638211.65,4806,APCOTEXIND
2022-11-24,EQ,488.6,495.5,488.1,489.3,491.0,490.2,492.29,679.0,308.25,20596,10139285.5,2526,APCOTEXIND
2022-11-23,EQ,487.3,496.95,486.65,487.1,488.6,489.3,491.82,679.0,308.25,39714,19532219.65,2810,APCOTEXIND
2022-11-22,EQ,483.0,497.05,481.55,485.7,486.0,487.1,489.27,679.0,308.25,56888,27833488.05,4071,APCOTEXIND
2022-11-21,EQ,487.45,487.45,479.7,485.45,482.35,485.7,483.38,679.0,308.25,38827,18768030.1,2417,APCOTEXIND
2022-11-18,EQ,494.95,494.95,482.0,487.4,487.5,485.45,485.88,679.0,308.25,41171,20004031.25,3319,APCOTEXIND
2022-11-17,EQ,498.5,509.0,485.0,496.9,487.65,487.4,493.74,679.0,308.25,78763,38888090.75,4600,APCOTEXIND
2022-11-16,EQ,507.0,514.6,493.0,507.0,496.0,496.9,500.0,679.0,308.25,79351,39675108.0,5300,APCOTEXIND
2022-11-15,EQ,492.85,511.9,488.4,490.1,509.0,507.0,501.55,679.0,308.25,86836,43552226.35,6064,APCOTEXIND
2022-11-14,EQ,504.0,504.0,488.0,496.75,490.8,490.1,493.99,679.0,308.25,54968,27153812.75,4460,APCOTEXIND
2022-11-11,EQ,502.35,508.95,490.05,498.6,495.6,496.75,495.98,679.0,308.25,56665,28104810.65,4872,APCOTEXIND
2022-11-10,EQ,504.9,505.0,492.35,501.6,500.0,498.6,499.18,679.0,308.25,31721,15834629.85,2083,APCOTEXIND
2022-11-09,EQ,500.85,514.95,496.0,499.2,500.0,501.6,506.88,679.0,308.25,101340,51366981.5,4984,APCOTEXIND
2022-11-07,EQ,515.0,518.9,496.55,515.65,503.35,499.2,503.87,679.0,308.25,105444,53130049.95,5493,APCOTEXIND
2022-11-04,EQ,512.7,517.2,511.25,511.6,516.5,515.65,514.14,679.0,308.25,44126,22687014.9,3869,APCOTEXIND
2022-11-03,EQ,516.9,521.0,509.0,516.0,510.85,511.6,515.19,679.0,308.25,139716,71980771.05,6946,APCOTEXIND
2022-11-02,EQ,501.4,519.9,498.25,498.0,514.0,516.0,511.71,679.0,308.25,295331,151122390.7,12116,APCOTEXIND
2022-11-01,EQ,492.0,506.65,492.0,489.3,501.9,498.0,499.75,679.0,308.25,141649,70789320.5,8803,APCOTEXIND
2022-10-31,EQ,496.1,498.7,473.85,495.45,490.0,489.3,484.98,679.0,308.25,201993,97961966.55,11946,APCOTEXIND
2022-10-28,EQ,532.35,535.0,486.0,528.05,496.1,495.45,501.31,679.0,308.25,385817,193412197.8,18171,APCOTEXIND
2022-10-27,EQ,545.05,547.1,524.6,541.3,530.0,528.05,531.19,679.0,308.25,111855,59416475.3,7686,APCOTEXIND
2022-10-25,EQ,558.95,558.95,535.5,552.45,543.0,541.3,544.58,679.0,308.25,100775,54880436.55,5577,APCOTEXIND
2022-10-24,EQ,546.4,561.0,540.8,539.4,553.5,552.45,554.04,679.0,308.25,63416,35134694.35,1821,APCOTEXIND
2022-10-21,EQ,573.2,577.7,535.05,583.35,539.8,539.4,551.41,679.0,308.25,315356,173891487.45,14543,APCOTEXIND
2022-10-20,EQ,588.5,599.0,572.35,589.25,572.35,583.35,584.23,679.0,308.25,143903,84072636.95,5459,APCOTEXIND
2022-10-19,EQ,605.0,607.45,586.0,603.3,593.95,589.25,595.03,679.0,308.25,66868,39788442.05,3405,APCOTEXIND
2022-10-18,EQ,592.9,609.0,585.05,584.45,604.0,603.3,597.98,679.0,308.25,140280,83885193.2,6756,APCOTEXIND
