DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,328.9,329.5,323.25,326.5,325.0,324.3,326.05,330.5,165.25,1613534,526095837.95,18165,APOLLOTYRE
2022-12-29,EQ,320.0,327.5,317.4,321.75,327.0,326.5,322.4,330.5,165.25,2306713,743682182.15,28205,APOLLOTYRE
2022-12-28,EQ,323.85,326.7,319.8,323.5,320.85,321.75,323.19,330.5,165.25,1706586,551554023.9,18877,APOLLOTYRE
2022-12-27,EQ,321.6,325.95,320.5,320.35,322.85,323.5,323.32,330.5,165.25,2689611,869594223.0,34457,APOLLOTYRE
2022-12-26,EQ,306.5,321.4,305.1,308.15,319.7,320.35,318.23,330.5,165.25,3012205,958575476.4,33007,APOLLOTYRE
2022-12-23,EQ,313.6,314.75,306.7,316.3,308.0,308.15,309.68,330.5,165.25,3345847,1036128375.7,36739,APOLLOTYRE
2022-12-22,EQ,319.0,323.45,313.6,319.0,315.6,316.3,316.76,330.5,165.25,2038444,645701851.25,22406,APOLLOTYRE
2022-12-21,EQ,329.0,330.5,317.7,327.4,318.05,319.0,324.66,330.5,165.25,4263341,1384121695.9,41588,APOLLOTYRE
2022-12-20,EQ,324.5,328.85,319.0,324.5,328.2,327.4,324.04,328.85,165.25,2233392,723709835.95,22113,APOLLOTYRE
2022-12-19,EQ,323.85,325.3,313.3,323.05,324.0,324.5,320.49,326.55,165.25,3389328,1086260431.35,37743,APOLLOTYRE
2022-12-16,EQ,320.45,326.55,316.75,322.6,321.75,323.05,322.29,326.55,165.25,3837290,1236710979.55,36026,APOLLOTYRE
2022-12-15,EQ,318.95,325.3,318.15,319.35,320.5,322.6,322.6,325.3,165.25,3522801,1136447103.5,32228,APOLLOTYRE
2022-12-14,EQ,318.45,321.25,314.0,318.3,319.0,319.35,319.51,324.7,165.25,1405239,448991460.7,18267,APOLLOTYRE
2022-12-13,EQ,324.7,324.7,317.2,323.1,317.7,318.3,319.57,324.7,165.25,2959479,945746687.85,31645,APOLLOTYRE
2022-12-12,EQ,316.0,323.65,313.65,315.95,323.5,323.1,319.89,323.65,165.25,3811951,1219394563.9,36119,APOLLOTYRE
2022-12-09,EQ,319.5,320.2,312.05,317.05,316.25,315.95,316.48,323.65,165.25,2150553,680600180.65,20956,APOLLOTYRE
2022-12-08,EQ,316.25,317.7,311.65,314.65,317.0,317.05,315.05,323.65,165.25,1683435,530363050.45,18158,APOLLOTYRE
2022-12-07,EQ,321.95,321.95,313.0,319.2,314.0,314.65,316.28,323.65,165.25,1747704,552765848.85,28768,APOLLOTYRE
2022-12-06,EQ,317.5,320.4,316.0,318.95,318.45,319.2,318.57,323.65,165.25,1851704,589895386.6,29519,APOLLOTYRE
2022-12-05,EQ,322.2,323.65,317.35,319.2,318.5,318.95,320.15,323.65,165.25,2711201,867980240.75,30241,APOLLOTYRE
2022-12-02,EQ,317.4,320.85,315.4,315.5,318.25,319.2,318.32,321.0,165.25,3277532,1043297532.95,34700,APOLLOTYRE
2022-12-01,EQ,317.65,321.0,314.7,316.45,315.5,315.5,318.06,321.0,165.25,4447547,1414582317.2,39655,APOLLOTYRE
2022-11-30,EQ,316.85,318.0,310.7,315.15,317.4,316.45,314.48,318.0,165.25,3736077,1174912426.2,36864,APOLLOTYRE
2022-11-29,EQ,314.3,318.0,312.95,312.7,314.2,315.15,315.49,318.0,165.25,7814998,2465580839.95,66006,APOLLOTYRE
2022-11-28,EQ,296.05,314.0,296.05,293.2,311.9,312.7,309.49,314.0,165.25,20698755,6405971699.3,138134,APOLLOTYRE
2022-11-25,EQ,283.55,294.3,283.1,282.1,292.75,293.2,290.22,303.6,165.25,5019984,1456876172.85,41126,APOLLOTYRE
2022-11-24,EQ,285.15,286.7,280.45,284.0,282.1,282.1,282.99,303.6,165.25,1787377,505809902.7,15854,APOLLOTYRE
