DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,215.7,222.0,203.65,215.2,206.6,206.45,212.97,242.7,106.1,2047375,436023270.05,36670,ARIES
2022-12-29,EQ,209.0,242.7,207.1,206.75,213.0,215.2,225.48,242.7,106.1,11003500,2481117165.75,137661,ARIES
2022-12-28,EQ,173.0,206.75,171.95,172.3,206.75,206.75,199.29,206.75,106.1,3625366,722494230.55,43844,ARIES
2022-12-27,EQ,172.1,175.2,168.55,170.85,174.15,172.3,172.08,187.95,106.1,118341,20363904.35,3760,ARIES
2022-12-26,EQ,152.9,182.25,152.85,155.5,170.1,170.85,169.99,187.95,106.1,372557,63329956.8,9314,ARIES
2022-12-23,EQ,166.0,167.8,154.0,168.45,155.5,155.5,161.37,187.95,106.1,134004,21624443.5,3680,ARIES
2022-12-22,EQ,170.05,171.7,157.75,169.1,168.95,168.45,165.43,187.95,106.1,189151,31290613.65,5189,ARIES
2022-12-21,EQ,182.9,187.95,167.6,181.3,168.9,169.1,179.42,187.95,106.1,367917,66012564.15,7583,ARIES
2022-12-20,EQ,173.25,183.35,173.25,173.9,181.0,181.3,179.43,185.8,106.1,426812,76584499.2,9578,ARIES
2022-12-19,EQ,178.05,185.45,171.1,176.8,174.25,173.9,178.74,185.8,106.1,322854,57707128.4,8123,ARIES
2022-12-16,EQ,177.0,185.8,174.0,176.2,175.8,176.8,180.45,185.8,106.1,769007,138769370.2,16433,ARIES
2022-12-15,EQ,158.15,182.8,154.65,158.15,175.9,176.2,174.69,182.8,106.1,1416078,247380831.0,24707,ARIES
2022-12-14,EQ,162.4,164.8,156.9,159.1,157.7,158.15,160.79,179.5,106.1,119761,19256069.0,3966,ARIES
2022-12-13,EQ,151.0,160.0,151.0,150.85,159.8,159.1,158.09,179.5,106.1,216584,34239788.25,5981,ARIES
2022-12-12,EQ,153.85,153.9,146.6,154.65,150.5,150.85,150.39,179.5,106.1,71993,10826789.7,2272,ARIES
2022-12-09,EQ,157.4,158.0,152.5,155.25,152.7,154.65,155.6,179.5,106.1,79604,12386668.75,3014,ARIES
2022-12-08,EQ,154.95,156.5,149.8,153.05,154.5,155.25,154.2,179.5,106.1,94196,14525470.1,2765,ARIES
2022-12-07,EQ,152.0,155.45,151.05,151.05,152.45,153.05,153.56,179.5,106.1,72980,11206842.8,2552,ARIES
2022-12-06,EQ,151.7,154.8,149.05,151.45,151.0,151.05,152.41,179.5,106.1,92567,14108309.7,2382,ARIES
2022-12-05,EQ,147.0,152.7,145.5,143.75,151.25,151.45,149.72,179.5,106.1,157054,23514805.8,3827,ARIES
2022-12-02,EQ,138.0,144.8,137.1,137.55,144.0,143.75,142.26,179.5,106.1,113499,16145949.05,2764,ARIES
2022-12-01,EQ,139.4,139.45,136.55,138.15,137.8,137.55,138.09,179.5,106.1,30640,4230969.7,914,ARIES
2022-11-30,EQ,137.1,138.9,137.0,137.3,137.65,138.15,137.79,179.5,106.1,24854,3424561.25,763,ARIES
2022-11-29,EQ,138.0,138.9,136.55,136.6,137.35,137.3,137.69,179.5,106.1,45643,6284666.95,714,ARIES
2022-11-28,EQ,132.4,137.45,132.4,134.1,137.0,136.6,135.73,179.5,106.1,37673,5113534.95,808,ARIES
2022-11-25,EQ,134.1,135.9,134.0,134.65,134.2,134.1,134.59,179.5,106.1,15118,2034801.55,446,ARIES
2022-11-24,EQ,133.0,135.4,132.85,133.45,134.95,134.65,134.52,179.5,106.1,14420,1939755.9,487,ARIES
2022-11-23,EQ,131.15,135.4,129.1,130.6,133.95,133.45,133.29,179.5,106.1,26989,3597356.5,1221,ARIES
2022-11-22,EQ,132.05,133.5,129.65,131.35,130.2,130.6,131.0,179.5,106.1,10061,1317984.05,384,ARIES
2022-11-21,EQ,133.9,133.9,130.2,131.95,131.8,131.35,131.19,179.5,106.1,8613,1129913.4,411,ARIES
2022-11-18,EQ,133.05,134.0,130.0,132.3,132.9,131.95,131.68,179.5,106.1,27200,3581704.35,793,ARIES
2022-11-17,EQ,135.45,135.5,131.75,133.15,132.15,132.3,133.5,179.5,106.1,14136,1887206.55,524,ARIES
2022-11-16,EQ,136.9,136.9,132.1,135.35,132.4,133.15,134.41,179.5,106.1,17200,2311924.65,565,ARIES
2022-11-15,EQ,138.65,138.65,133.75,136.6,135.0,135.35,135.33,179.5,106.1,35023,4739779.5,1019,ARIES
2022-11-14,EQ,142.15,143.85,135.1,130.55,135.1,136.6,138.25,179.5,106.1,80142,11079914.9,2356,ARIES
2022-11-11,EQ,131.95,134.0,130.25,128.85,130.3,130.55,131.32,179.5,106.1,20127,2643095.5,534,ARIES
2022-11-10,EQ,132.9,133.6,128.25,132.9,129.0,128.85,130.68,179.5,106.1,21206,2771276.5,753,ARIES
2022-11-09,EQ,133.7,136.05,132.1,133.7,133.0,132.9,133.98,179.5,106.1,13196,1768034.35,730,ARIES
2022-11-07,EQ,132.4,136.0,131.15,129.95,133.05,133.7,134.03,179.5,106.1,51408,6890278.8,1261,ARIES
2022-11-04,EQ,131.35,133.95,129.15,131.45,130.35,129.95,130.55,179.5,106.1,15508,2024635.55,498,ARIES
2022-11-03,EQ,132.55,134.4,130.95,132.5,131.2,131.45,132.39,179.5,106.1,9067,1200361.65,376,ARIES
2022-11-02,EQ,132.75,134.65,129.95,130.6,132.55,132.5,132.43,179.5,106.1,24809,3285434.4,748,ARIES
2022-11-01,EQ,132.95,132.95,126.65,130.4,132.0,130.6,129.04,179.5,106.1,38431,4959026.25,1163,ARIES
2022-10-31,EQ,133.65,135.25,129.05,133.4,130.6,130.4,131.43,179.5,106.1,17208,2261579.8,565,ARIES
