DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,3580.0,3643.1,3567.65,3568.8,3628.2,3616.05,3617.42,4131.75,3122.0,287867,1041334580.45,30916,BAJAJ-AUTO
2022-12-29,EQ,3579.0,3600.0,3540.0,3586.85,3574.35,3568.8,3566.7,4131.75,3122.0,748244,2668762245.0,31118,BAJAJ-AUTO
2022-12-28,EQ,3580.0,3604.95,3550.0,3590.95,3589.0,3586.85,3579.01,4131.75,3122.0,229748,822270640.85,18342,BAJAJ-AUTO
2022-12-27,EQ,3555.0,3600.0,3550.0,3552.2,3598.0,3590.95,3580.26,4131.75,3122.0,115917,415012447.5,18056,BAJAJ-AUTO
2022-12-26,EQ,3542.0,3574.8,3524.05,3541.8,3554.95,3552.2,3550.86,4131.75,3122.0,140091,497444112.7,15902,BAJAJ-AUTO
2022-12-23,EQ,3580.0,3600.0,3533.0,3600.85,3549.6,3541.8,3553.68,4131.75,3027.05,122024,433634098.15,19849,BAJAJ-AUTO
2022-12-22,EQ,3629.15,3647.9,3581.55,3611.05,3597.95,3600.85,3606.15,4131.75,3027.05,158182,570428530.15,18640,BAJAJ-AUTO
2022-12-21,EQ,3615.0,3657.15,3592.6,3613.6,3611.6,3611.05,3620.38,4131.75,3027.05,149348,540696930.95,19075,BAJAJ-AUTO
2022-12-20,EQ,3634.0,3634.0,3581.4,3629.75,3618.0,3613.6,3601.52,4131.75,3027.05,152284,548453406.0,14221,BAJAJ-AUTO
2022-12-19,EQ,3567.35,3636.35,3550.0,3549.6,3627.75,3629.75,3605.92,4131.75,3027.05,238078,858489233.0,22610,BAJAJ-AUTO
2022-12-16,EQ,3613.75,3627.9,3539.0,3619.3,3546.05,3549.6,3568.45,4131.75,3027.05,228381,814966821.35,25429,BAJAJ-AUTO
2022-12-15,EQ,3635.0,3656.0,3610.0,3652.05,3616.0,3619.3,3637.25,4131.75,3027.05,161541,587565306.65,14705,BAJAJ-AUTO
2022-12-14,EQ,3650.0,3667.95,3641.0,3636.75,3649.0,3652.05,3655.47,4131.75,3027.05,132320,483692438.65,19134,BAJAJ-AUTO
2022-12-13,EQ,3614.75,3642.0,3591.3,3596.75,3636.0,3636.75,3619.06,4131.75,3027.05,126272,456986544.95,14651,BAJAJ-AUTO
2022-12-12,EQ,3616.95,3624.6,3573.55,3616.95,3611.8,3596.75,3594.79,4131.75,3027.05,171844,617743264.7,20196,BAJAJ-AUTO
2022-12-09,EQ,3650.0,3669.3,3601.0,3636.15,3617.45,3616.95,3623.4,4131.75,3027.05,166035,601610563.1,22629,BAJAJ-AUTO
2022-12-08,EQ,3635.05,3658.55,3618.0,3634.65,3642.05,3636.15,3638.16,4131.75,3027.05,141912,516298048.4,19086,BAJAJ-AUTO
2022-12-07,EQ,3694.8,3708.55,3629.55,3694.8,3635.05,3634.65,3652.89,4131.75,3027.05,167024,610120533.7,17802,BAJAJ-AUTO
2022-12-06,EQ,3652.0,3699.8,3642.1,3659.9,3693.8,3694.8,3677.26,4131.75,3027.05,251515,924886028.95,19662,BAJAJ-AUTO
2022-12-05,EQ,3672.0,3672.0,3638.0,3659.35,3660.0,3659.9,3651.01,4131.75,3027.05,163476,596853299.8,16551,BAJAJ-AUTO
2022-12-02,EQ,3707.0,3712.35,3640.8,3707.6,3660.0,3659.35,3658.27,4131.75,3027.05,349992,1280363813.6,32300,BAJAJ-AUTO
2022-12-01,EQ,3744.05,3744.05,3594.35,3750.7,3705.0,3707.6,3681.84,4131.75,3027.05,514227,1893299966.05,38811,BAJAJ-AUTO
2022-11-30,EQ,3674.95,3772.9,3671.0,3660.1,3732.35,3750.7,3740.65,4131.75,3027.05,1267676,4741928761.0,59800,BAJAJ-AUTO
2022-11-29,EQ,3680.35,3697.0,3652.0,3676.7,3654.7,3660.1,3672.71,4131.75,3027.05,134922,495528917.6,14817,BAJAJ-AUTO
2022-11-28,EQ,3630.2,3710.0,3630.2,3640.25,3673.05,3676.7,3682.26,4131.75,3027.05,185431,682805897.75,16482,BAJAJ-AUTO
2022-11-25,EQ,3632.25,3652.7,3601.0,3620.15,3635.25,3640.25,3627.13,4131.75,3027.05,224797,815367432.35,18973,BAJAJ-AUTO
2022-11-24,EQ,3617.2,3629.65,3598.45,3607.85,3625.0,3620.15,3612.58,4131.75,3027.05,397640,1436506563.45,29778,BAJAJ-AUTO
2022-11-23,EQ,3622.2,3654.15,3595.0,3619.1,3610.0,3607.85,3617.58,4131.75,3027.05,340707,1232534208.8,32793,BAJAJ-AUTO
2022-11-22,EQ,3636.0,3643.0,3585.0,3619.5,3619.0,3619.1,3607.7,4131.75,3027.05,322261,1162621002.1,28204,BAJAJ-AUTO
2022-11-21,EQ,3615.0,3645.8,3606.4,3632.95,3610.0,3619.5,3625.21,4131.75,3027.05,226673,821738181.45,21277,BAJAJ-AUTO
2022-11-18,EQ,3694.15,3706.85,3621.0,3694.15,3627.85,3632.95,3648.11,4131.75,3027.05,327528,1194856991.4,28618,BAJAJ-AUTO
2022-11-17,EQ,3749.0,3767.35,3678.4,3747.45,3695.1,3694.15,3714.63,4131.75,3027.05,185433,688814238.15,17494,BAJAJ-AUTO
2022-11-16,EQ,3757.0,3798.5,3739.65,3764.15,3744.05,3747.45,3766.31,4131.75,3027.05,329588,1241329247.7,25953,BAJAJ-AUTO
