DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,107.75,108.5,106.9,106.65,107.4,107.2,107.56,182.3,98.0,84002,9035398.05,1945,BEPL
2022-12-29,EQ,106.4,107.9,105.8,106.5,106.75,106.65,106.39,182.3,98.0,85411,9086868.8,1791,BEPL
2022-12-28,EQ,106.1,107.65,105.85,106.4,106.5,106.5,106.79,182.3,98.0,91286,9748486.9,2638,BEPL
2022-12-27,EQ,105.65,108.55,105.65,105.6,106.0,106.4,106.82,182.3,98.0,146966,15699109.4,3502,BEPL
2022-12-26,EQ,103.15,106.25,101.3,101.6,106.25,105.6,104.25,182.3,98.0,197089,20546418.0,3945,BEPL
2022-12-23,EQ,104.95,105.25,101.1,105.6,101.35,101.6,102.83,182.3,98.0,214064,22011845.85,3936,BEPL
2022-12-22,EQ,109.05,109.95,104.7,108.95,105.85,105.6,105.99,182.3,98.0,264975,28085813.6,4856,BEPL
2022-12-21,EQ,111.9,112.55,108.55,111.5,108.9,108.95,110.43,182.3,98.0,148574,16407232.5,2992,BEPL
2022-12-20,EQ,111.95,112.25,110.0,111.2,111.75,111.5,111.04,182.3,98.0,113250,12575456.95,2036,BEPL
2022-12-19,EQ,110.9,111.75,110.05,110.1,111.25,111.2,110.78,182.3,98.0,90333,10006733.15,2057,BEPL
2022-12-16,EQ,113.05,113.9,109.6,113.05,110.1,110.1,110.95,182.3,98.0,186791,20724043.9,3378,BEPL
2022-12-15,EQ,112.55,114.25,112.45,112.35,112.8,113.05,113.22,182.3,98.0,97499,11038747.05,2102,BEPL
2022-12-14,EQ,113.05,114.7,111.85,112.95,112.15,112.35,113.18,182.3,98.0,170393,19285755.6,2956,BEPL
2022-12-13,EQ,113.4,114.45,112.5,112.15,113.95,112.95,112.84,182.3,98.0,79247,8942362.8,1750,BEPL
2022-12-12,EQ,111.5,114.45,110.8,111.45,112.25,112.15,112.82,182.3,98.0,125943,14209401.05,3172,BEPL
2022-12-09,EQ,114.35,115.15,111.0,113.7,111.95,111.45,112.94,182.3,98.0,124113,14016712.7,2448,BEPL
2022-12-08,EQ,113.15,115.3,113.15,113.6,114.25,113.7,114.49,182.3,98.0,128310,14690274.7,2656,BEPL
2022-12-07,EQ,115.1,117.3,113.2,114.75,114.2,113.6,115.7,182.3,98.0,235366,27232459.45,4175,BEPL
