DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,173.7,173.7,164.9,169.35,165.3,165.3,168.67,389.0,152.1,751764,126796384.8,33206,BLS
2022-12-29,EQ,170.0,172.0,167.1,171.1,169.0,169.35,169.54,389.0,152.1,668855,113400621.55,44683,BLS
2022-12-28,EQ,176.25,176.75,170.0,174.2,171.0,171.1,172.04,389.0,152.1,1036262,178278756.75,48656,BLS
2022-12-27,EQ,177.1,189.95,173.5,174.55,174.4,174.2,176.39,389.0,152.1,3136335,553214608.7,85238,BLS
2022-12-26,EQ,154.0,177.45,154.0,157.95,177.1,174.55,170.15,389.0,152.1,2721885,463128471.45,136967,BLS
2022-12-23,EQ,166.35,170.0,154.2,177.45,156.0,157.95,162.13,389.0,152.1,4681515,759036813.6,129143,BLS
2022-12-22,EQ,187.2,188.3,175.0,191.05,177.0,177.45,178.62,389.0,152.1,3418880,610691802.05,99437,BLS
2022-12-21,EQ,199.0,201.0,187.8,199.0,190.0,191.05,193.14,389.0,152.1,1320530,255040614.25,55162,BLS
2022-12-20,EQ,199.2,203.7,196.35,199.2,198.5,199.0,200.47,389.0,152.1,1054721,211441453.1,40372,BLS
2022-12-19,EQ,197.0,199.8,192.05,196.35,199.0,199.2,197.97,389.0,152.1,1147160,227099771.95,53325,BLS
2022-12-16,EQ,196.0,200.1,195.5,195.5,196.0,196.35,197.59,389.0,152.1,1175162,232200203.65,60629,BLS
2022-12-15,EQ,201.95,202.4,193.95,202.15,198.8,195.5,196.32,389.0,152.1,2918367,572933851.4,43510,BLS
2022-12-14,EQ,203.65,208.9,200.15,202.35,201.0,202.15,203.37,389.0,152.1,2208808,449197742.25,42521,BLS
2022-12-13,EQ,188.5,204.65,186.65,187.55,202.0,202.35,198.87,389.0,152.1,6283918,1249680418.5,163229,BLS
2022-12-12,EQ,190.5,191.4,187.0,191.3,188.0,187.55,188.53,389.0,152.1,460364,86790164.2,16337,BLS
2022-12-09,EQ,190.5,198.0,185.6,190.9,189.0,191.3,191.23,389.0,152.1,1906559,364599018.6,33153,BLS
2022-12-08,EQ,198.4,198.4,187.05,361.4,190.5,190.9,192.44,389.0,152.1,2945215,566785313.95,70883,BLS
2022-12-07,EQ,364.8,366.4,357.85,364.75,362.5,361.4,360.28,389.0,152.1,1508832,543606341.95,20009,BLS
2022-12-06,EQ,371.0,374.0,363.55,369.9,365.0,364.75,367.1,389.0,152.1,1597463,586423654.8,51635,BLS
2022-12-05,EQ,373.2,374.8,367.15,370.9,370.1,369.9,369.99,389.0,152.1,1317129,487326302.6,36194,BLS
2022-12-02,EQ,376.8,382.0,370.5,375.55,370.9,370.9,375.0,389.0,152.1,1592645,597242762.75,80077,BLS
2022-12-01,EQ,375.8,389.0,375.0,373.0,376.0,375.55,380.75,389.0,152.1,1733008,659841553.2,82676,BLS
2022-11-30,EQ,354.2,377.0,352.0,348.4,375.0,373.0,371.45,380.0,152.1,2584733,960102647.35,76262,BLS
2022-11-29,EQ,348.0,357.5,347.0,349.65,348.45,348.4,350.94,380.0,152.1,802897,281769295.1,31756,BLS
2022-11-28,EQ,359.4,360.0,345.05,361.25,347.05,349.65,354.36,380.0,152.1,1355501,480334293.2,16346,BLS
2022-11-25,EQ,357.05,362.8,357.05,360.0,362.0,361.25,360.57,380.0,152.1,363477,131057159.4,25642,BLS
2022-11-24,EQ,362.4,364.95,355.05,361.1,359.9,360.0,361.35,380.0,152.1,1099884,397446275.9,41178,BLS
2022-11-23,EQ,367.15,369.9,359.0,365.35,360.15,361.1,363.9,380.0,152.1,710124,258417097.35,41206,BLS
2022-11-22,EQ,363.0,374.0,361.65,361.1,366.5,365.35,367.12,380.0,152.1,1181338,433690432.8,65948,BLS
2022-11-21,EQ,360.4,364.5,357.55,360.5,361.6,361.1,362.4,380.0,152.1,738950,267797589.1,26894,BLS
2022-11-18,EQ,361.1,365.4,358.25,354.75,360.0,360.5,361.78,380.0,152.1,1123674,406523150.4,44964,BLS
2022-11-17,EQ,352.8,356.1,351.8,352.35,355.0,354.75,354.24,380.0,152.1,1380383,488992502.55,27906,BLS
2022-11-16,EQ,352.8,354.7,350.9,352.85,353.0,352.35,352.85,380.0,152.1,424624,149829861.75,13200,BLS
2022-11-15,EQ,355.25,356.6,350.0,355.0,353.25,352.85,353.08,380.0,152.1,1100980,388735148.15,16015,BLS
2022-11-14,EQ,361.5,361.7,351.0,359.6,355.25,355.0,355.2,380.0,152.1,919093,326463755.25,27797,BLS
2022-11-11,EQ,365.0,366.0,358.3,358.35,359.95,359.6,362.05,380.0,152.1,680654,246431784.5,32124,BLS
2022-11-10,EQ,363.0,365.0,356.3,360.9,358.65,358.35,360.43,380.0,152.1,1253115,451657482.8,37859,BLS
2022-11-09,EQ,378.0,380.0,355.05,339.0,360.95,360.9,366.99,380.0,152.1,5055674,1855375993.15,182998,BLS
2022-11-07,EQ,338.0,343.0,330.3,335.2,338.05,339.0,338.46,378.0,152.1,804783,272383451.2,74877,BLS
2022-11-04,EQ,340.0,342.95,333.05,339.0,335.95,335.2,337.11,378.0,152.1,861375,290381215.75,33128,BLS
2022-11-03,EQ,342.35,349.95,337.0,340.45,338.5,339.0,340.71,378.0,152.1,1981711,675178877.1,71378,BLS
2022-11-02,EQ,335.0,346.8,333.7,332.65,340.1,340.45,342.46,378.0,152.1,2025685,693721484.0,54238,BLS
2022-11-01,EQ,327.3,334.0,324.55,325.25,332.9,332.65,330.4,378.0,152.1,1177412,389017682.9,47354,BLS
2022-10-31,EQ,316.45,329.0,316.45,316.6,326.0,325.25,325.27,378.0,152.1,899256,292502132.75,28677,BLS
2022-10-28,EQ,321.0,321.2,311.25,319.45,316.45,316.6,315.09,378.0,152.1,669435,210929717.9,16440,BLS
2022-10-27,EQ,328.0,328.0,317.0,327.25,319.2,319.45,320.03,378.0,152.1,589823,188762228.95,15265,BLS
2022-10-25,EQ,334.9,335.85,325.5,334.05,327.0,327.25,328.07,378.0,152.1,548194,179848637.2,15963,BLS
2022-10-24,EQ,334.25,343.9,330.25,331.25,334.1,334.05,335.78,378.0,152.1,878113,294852757.0,24002,BLS
2022-10-21,EQ,333.0,334.4,325.1,331.55,332.0,331.25,330.18,378.0,152.1,1684385,556143728.55,81502,BLS
2022-10-20,EQ,320.9,338.45,318.5,323.05,330.85,331.55,332.56,378.0,152.1,6146801,2044172792.75,173163,BLS
2022-10-19,EQ,307.25,328.95,306.75,307.25,321.85,323.05,321.68,378.0,152.1,4865041,1564975324.9,168081,BLS
2022-10-18,EQ,322.75,325.0,307.0,319.9,307.25,307.25,314.5,378.0,152.1,4353982,1369337238.2,202987,BLS
2022-10-17,EQ,298.0,326.65,295.1,291.2,319.9,319.9,316.38,378.0,152.1,14390920,4552972051.6,310769,BLS
2022-10-14,EQ,287.8,304.45,274.0,285.05,289.0,291.2,287.38,378.0,152.1,10656734,3062569919.65,204137,BLS
2022-10-13,EQ,283.5,291.6,281.25,284.3,284.7,285.05,285.88,378.0,152.1,1656580,473585016.35,84563,BLS
2022-10-12,EQ,283.1,288.0,277.0,281.3,284.6,284.3,284.45,378.0,152.1,2028072,576894723.8,95155,BLS
2022-10-11,EQ,275.9,283.0,272.65,274.4,279.55,281.3,278.69,378.0,152.1,2154001,600293003.65,105775,BLS
