DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,1199.95,1204.6,1190.35,1198.6,1198.9,1199.55,1199.47,1287.7,836.35,41190,49406027.55,4045,BLUESTARCO
2022-12-29,EQ,1180.1,1203.75,1180.1,1191.25,1200.0,1198.6,1198.3,1287.7,836.35,60306,72264916.55,7898,BLUESTARCO
2022-12-28,EQ,1192.3,1210.0,1178.95,1192.2,1188.0,1191.25,1191.28,1287.7,836.35,78229,93192398.65,9231,BLUESTARCO
2022-12-27,EQ,1184.0,1208.65,1180.9,1191.65,1200.0,1192.2,1193.38,1287.7,836.35,216510,258378012.8,12596,BLUESTARCO
2022-12-26,EQ,1195.0,1203.1,1167.0,1196.85,1190.2,1191.65,1194.52,1287.7,836.35,51049,60979259.95,8616,BLUESTARCO
2022-12-23,EQ,1205.0,1205.0,1175.0,1205.1,1195.0,1196.85,1193.06,1287.7,836.35,58899,70270332.95,8086,BLUESTARCO
2022-12-22,EQ,1222.1,1233.1,1190.0,1215.7,1205.0,1205.1,1204.11,1287.7,836.35,76028,91546028.8,10455,BLUESTARCO
2022-12-21,EQ,1250.15,1258.75,1194.0,1243.9,1245.0,1215.7,1221.07,1287.7,836.35,221934,270996301.4,17532,BLUESTARCO
2022-12-20,EQ,1241.0,1251.9,1219.3,1259.2,1245.0,1243.9,1238.12,1287.7,836.35,117317,145252651.3,11769,BLUESTARCO
2022-12-19,EQ,1260.7,1271.0,1239.0,1260.7,1255.0,1259.2,1258.12,1287.7,836.35,28392,35720626.4,4933,BLUESTARCO
2022-12-16,EQ,1250.0,1277.95,1241.55,1253.1,1262.4,1260.7,1254.45,1287.7,836.35,55721,69899483.0,6209,BLUESTARCO
2022-12-15,EQ,1268.0,1268.9,1232.05,1276.65,1255.95,1253.1,1246.96,1287.7,836.35,79298,98881581.5,9757,BLUESTARCO
2022-12-14,EQ,1278.0,1287.7,1258.7,1269.6,1267.05,1276.65,1276.84,1287.7,836.35,44743,57129726.25,5515,BLUESTARCO
