DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-04-01,EQ,6.5,6.65,6.35,6.35,6.65,6.65,6.6,13.4,6.25,274946,1814520.75,433,BRFL
2022-03-31,EQ,6.55,6.55,6.3,6.4,6.3,6.35,6.41,13.4,6.25,295635,1895021.05,699,BRFL
2022-03-30,EQ,6.5,6.6,6.35,6.5,6.4,6.4,6.43,13.4,6.25,501979,3226808.75,768,BRFL
2022-03-29,EQ,6.75,6.8,6.4,6.65,6.4,6.5,6.59,13.4,6.25,274160,1806060.65,629,BRFL
2022-03-28,EQ,6.65,6.8,6.45,6.65,6.7,6.65,6.65,13.4,6.25,409435,2722372.95,730,BRFL
2022-03-25,EQ,6.9,7.1,6.65,7.0,6.8,6.65,6.78,13.4,6.25,685505,4644688.5,881,BRFL
2022-03-24,EQ,7.15,7.15,6.95,7.1,7.05,7.0,7.01,13.4,6.25,240040,1682834.35,563,BRFL
2022-03-23,EQ,7.05,7.4,7.0,7.1,7.1,7.1,7.16,13.4,6.25,415403,2975951.4,591,BRFL
2022-03-22,EQ,7.05,7.35,7.05,7.2,7.1,7.1,7.14,13.4,6.25,167637,1197382.6,479,BRFL
2022-03-21,EQ,7.4,7.55,7.1,7.4,7.25,7.2,7.29,13.4,6.25,229316,1670872.1,561,BRFL
2022-03-17,EQ,7.65,7.65,7.35,7.4,7.5,7.4,7.45,13.4,6.25,156741,1166945.1,498,BRFL
2022-03-16,EQ,7.7,7.75,7.35,7.5,7.45,7.4,7.54,13.4,6.25,154439,1164320.35,508,BRFL
2022-03-15,EQ,7.8,7.8,7.4,7.7,7.55,7.5,7.56,13.4,6.25,201902,1527023.25,607,BRFL
2022-03-14,EQ,7.9,8.0,7.6,7.95,7.65,7.7,7.82,13.4,6.25,305458,2387867.2,614,BRFL
2022-03-11,EQ,7.75,7.95,7.5,7.6,7.95,7.95,7.79,13.4,6.25,536289,4178415.05,788,BRFL
2022-03-10,EQ,7.8,7.9,7.55,7.6,7.7,7.6,7.76,13.4,6.25,222790,1728713.95,700,BRFL
2022-03-09,EQ,7.35,7.6,7.35,7.25,7.6,7.6,7.5,13.4,6.25,966524,7251536.0,680,BRFL
2022-03-08,EQ,7.15,7.35,7.05,7.15,7.3,7.25,7.18,13.4,6.25,232836,1671568.15,452,BRFL
2022-03-07,EQ,6.85,7.25,6.7,6.95,7.2,7.15,6.91,13.4,6.25,539194,3727236.0,791,BRFL
2022-03-04,EQ,7.1,7.25,6.9,7.1,6.95,6.95,6.98,13.4,6.25,261152,1823638.05,641,BRFL
2022-03-03,EQ,7.05,7.3,7.0,7.1,7.0,7.1,7.12,13.4,6.25,226249,1609901.55,563,BRFL
2022-03-02,EQ,7.25,7.3,7.05,7.2,7.15,7.1,7.16,13.4,6.25,235870,1689357.85,663,BRFL
2022-02-28,EQ,7.05,7.25,6.8,7.05,7.2,7.2,7.08,13.4,6.25,220355,1560783.8,694,BRFL
2022-02-25,EQ,6.9,7.25,6.9,6.95,7.1,7.05,7.06,13.4,6.25,435936,3079706.5,980,BRFL
2022-02-24,EQ,7.0,7.15,6.95,7.3,6.95,6.95,6.99,13.4,6.25,318674,2226342.9,798,BRFL
2022-02-23,EQ,7.1,7.4,7.1,7.05,7.4,7.3,7.35,13.4,6.25,208980,1536923.65,485,BRFL
2022-02-22,EQ,7.15,7.45,7.0,7.35,7.1,7.05,7.18,13.4,6.25,266160,1910399.2,630,BRFL
2022-02-21,EQ,7.5,7.6,7.35,7.6,7.45,7.35,7.43,13.4,6.25,478672,3555172.85,795,BRFL
2022-02-18,EQ,7.7,7.85,7.55,7.75,7.65,7.6,7.63,13.4,6.25,428366,3266519.8,805,BRFL
2022-02-17,EQ,7.8,8.2,7.5,7.85,7.8,7.75,7.88,13.8,6.25,744024,5865741.05,1287,BRFL
2022-02-16,EQ,7.95,8.4,7.65,8.05,7.95,7.85,7.97,14.25,6.25,926075,7380692.3,1852,BRFL
2022-02-15,EQ,8.05,8.35,8.05,8.45,8.05,8.05,8.08,14.85,6.25,256949,2075287.8,692,BRFL
2022-02-14,EQ,8.45,8.45,8.45,8.85,8.45,8.45,8.45,14.85,6.25,62436,527584.2,404,BRFL
2022-02-11,EQ,8.9,8.95,8.85,9.3,8.85,8.85,8.87,14.85,6.25,242196,2147437.35,638,BRFL
2022-02-10,EQ,9.75,9.9,9.3,9.75,9.3,9.3,9.42,14.85,6.25,955023,8998682.85,1606,BRFL
2022-02-09,EQ,9.45,9.95,9.3,9.3,9.75,9.75,9.7,14.85,6.25,2812027,27283846.6,4940,BRFL
2022-02-08,EQ,8.9,9.4,8.05,8.55,9.35,9.3,9.06,14.85,6.25,3973185,35996209.35,5326,BRFL
2022-02-07,EQ,8.45,8.55,8.3,7.8,8.55,8.55,8.53,14.85,6.25,549194,4686164.5,910,BRFL
2022-02-04,EQ,7.75,7.85,7.5,7.5,7.85,7.8,7.71,14.85,6.25,332952,2568058.25,795,BRFL
2022-02-03,EQ,7.6,7.65,7.35,7.5,7.5,7.5,7.47,14.85,6.25,326525,2439397.0,691,BRFL
2022-02-02,EQ,7.55,7.65,7.3,7.45,7.55,7.5,7.49,14.85,6.25,485008,3633445.8,840,BRFL
2022-02-01,EQ,7.8,7.85,7.45,7.7,7.5,7.45,7.61,14.85,6.25,319859,2434718.6,658,BRFL
