DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,533.2,540.7,528.3,530.55,535.0,535.05,534.21,685.0,406.65,599983,320515045.4,16969,CANFINHOME
2022-12-29,EQ,523.5,531.8,516.0,525.55,531.2,530.55,525.64,685.0,406.65,655812,344717999.2,17762,CANFINHOME
2022-12-28,EQ,529.35,530.0,523.25,529.35,526.0,525.55,526.19,685.0,406.65,732938,385667897.6,29084,CANFINHOME
2022-12-27,EQ,523.2,535.0,519.35,519.7,528.5,529.35,527.81,685.0,406.65,789738,416831612.35,16334,CANFINHOME
2022-12-26,EQ,494.25,535.0,489.85,489.6,516.0,519.7,509.32,685.0,406.65,1169514,595655397.3,25794,CANFINHOME
2022-12-23,EQ,512.0,518.55,486.4,521.7,494.0,489.6,497.58,685.0,406.65,1120435,557508797.7,23286,CANFINHOME
2022-12-22,EQ,535.7,539.45,519.05,534.6,520.1,521.7,526.01,685.0,406.65,777151,408787644.75,15199,CANFINHOME
2022-12-21,EQ,550.0,551.95,532.0,546.25,534.45,534.6,540.66,685.0,406.65,1093746,591346597.05,22792,CANFINHOME
2022-12-20,EQ,542.0,548.0,531.0,541.6,546.5,546.25,540.46,685.0,406.65,857830,463623726.9,15992,CANFINHOME
2022-12-19,EQ,525.45,546.5,519.05,524.3,543.0,541.6,536.65,685.0,406.65,990569,531584910.3,19329,CANFINHOME
2022-12-16,EQ,538.8,542.95,521.0,538.6,522.65,524.3,530.2,685.0,406.65,740455,392589318.85,18014,CANFINHOME
2022-12-15,EQ,548.9,552.7,536.05,546.7,538.0,538.6,543.8,685.0,406.65,648246,352513836.4,16748,CANFINHOME
2022-12-14,EQ,540.2,563.6,540.2,539.8,548.95,546.7,552.76,685.0,406.65,1892544,1046121472.25,34482,CANFINHOME
2022-12-13,EQ,554.7,558.0,538.5,551.8,539.0,539.8,543.62,685.0,406.65,1176963,639819959.55,13402,CANFINHOME
2022-12-12,EQ,558.0,558.75,548.1,557.15,552.2,551.8,552.8,685.0,406.65,375039,207321457.5,9796,CANFINHOME
2022-12-09,EQ,559.3,566.7,549.0,556.35,557.0,557.15,558.7,685.0,406.65,723937,404461388.05,15437,CANFINHOME
2022-12-08,EQ,551.0,560.6,548.05,550.95,556.0,556.35,555.54,685.0,406.65,486439,270235331.0,12121,CANFINHOME
2022-12-07,EQ,560.95,560.95,545.0,558.6,551.0,550.95,551.19,685.0,406.65,639860,352685375.1,16060,CANFINHOME
2022-12-06,EQ,564.4,567.7,555.3,563.5,558.05,558.6,561.34,685.0,406.65,757831,425401446.0,18829,CANFINHOME
2022-12-05,EQ,554.0,569.0,547.1,551.8,563.5,563.5,562.35,685.0,406.65,1468184,825629229.85,23828,CANFINHOME
2022-12-02,EQ,549.95,553.5,547.65,548.85,551.4,551.8,551.36,685.0,406.65,406138,223927684.2,9507,CANFINHOME
2022-12-01,EQ,555.5,556.0,545.15,553.05,548.25,548.85,549.43,685.0,406.65,390437,214517537.3,8739,CANFINHOME
2022-11-30,EQ,551.45,555.0,547.2,549.2,552.0,553.05,550.5,685.0,406.65,555749,305940961.8,12533,CANFINHOME
2022-11-29,EQ,549.35,554.0,546.3,545.95,548.0,549.2,550.05,685.0,406.65,770660,423903075.9,18913,CANFINHOME
2022-11-28,EQ,546.0,554.0,543.0,544.7,547.0,545.95,548.22,685.0,406.65,985840,540453168.1,18105,CANFINHOME
2022-11-25,EQ,525.0,547.2,521.8,524.6,544.5,544.7,539.85,685.0,406.65,1505086,812516835.15,27385,CANFINHOME
2022-11-24,EQ,529.35,530.05,521.4,525.65,523.4,524.6,524.99,685.0,406.65,381729,200402472.0,9456,CANFINHOME
2022-11-23,EQ,515.5,527.4,512.75,514.3,526.0,525.65,520.99,685.0,406.65,596619,310830333.5,11172,CANFINHOME
2022-11-22,EQ,513.2,516.95,506.0,510.6,514.5,514.3,511.2,685.0,406.65,495904,253504586.55,11232,CANFINHOME
2022-11-21,EQ,509.0,517.45,503.1,512.1,509.0,510.6,509.21,685.0,406.65,669466,340897208.6,17235,CANFINHOME
2022-11-18,EQ,518.3,519.45,508.5,518.85,511.95,512.1,511.96,685.0,406.65,464472,237791121.55,11421,CANFINHOME
2022-11-17,EQ,519.45,524.85,511.2,520.9,515.95,518.85,517.57,685.0,406.65,677692,350750820.65,23881,CANFINHOME
2022-11-16,EQ,534.8,537.0,518.0,535.95,520.0,520.9,525.64,685.0,406.65,607315,319231073.5,18640,CANFINHOME
2022-11-15,EQ,538.0,538.9,532.25,536.7,535.0,535.95,534.72,685.0,406.65,367553,196538195.2,10386,CANFINHOME
2022-11-14,EQ,535.95,538.0,530.0,535.55,535.95,536.7,534.67,685.0,406.65,348789,186485575.7,10546,CANFINHOME
2022-11-11,EQ,538.95,540.0,529.7,531.05,534.0,535.55,534.76,685.0,406.65,559981,299458082.2,14208,CANFINHOME
2022-11-10,EQ,534.7,537.65,527.05,534.8,531.5,531.05,532.58,685.0,406.65,711156,378748409.3,13339,CANFINHOME
2022-11-09,EQ,525.0,538.95,522.25,521.8,534.0,534.8,533.86,685.0,406.65,1459380,779101748.5,27430,CANFINHOME
2022-11-07,EQ,518.85,530.0,518.25,516.25,521.7,521.8,523.33,685.0,406.65,560519,293336986.2,11792,CANFINHOME
2022-11-04,EQ,521.15,522.75,511.2,521.15,516.5,516.25,516.31,685.0,406.65,540693,279163413.75,15222,CANFINHOME
2022-11-03,EQ,506.45,522.75,498.95,507.3,521.9,521.15,515.45,685.0,406.65,1192676,614767624.3,26167,CANFINHOME
2022-11-02,EQ,523.65,523.65,500.6,521.0,506.85,507.3,513.04,685.0,406.65,1196586,613894301.35,31576,CANFINHOME
2022-11-01,EQ,525.05,528.0,519.2,524.35,520.95,521.0,522.0,685.0,406.65,372771,194587478.75,7624,CANFINHOME
2022-10-31,EQ,518.5,526.0,517.05,516.35,523.4,524.35,522.5,685.0,406.65,484944,253385445.95,11114,CANFINHOME
2022-10-28,EQ,520.5,524.95,514.0,519.0,517.0,516.35,518.52,685.0,406.65,404391,209686247.95,10498,CANFINHOME
2022-10-27,EQ,525.05,527.0,515.0,525.85,520.5,519.0,519.97,685.0,406.65,719269,373995291.1,13133,CANFINHOME
2022-10-25,EQ,525.5,528.55,513.8,524.75,524.05,525.85,523.11,685.0,406.65,1084772,567460488.85,18524,CANFINHOME
2022-10-24,EQ,525.9,528.65,523.0,521.15,525.4,524.75,525.47,685.0,406.65,216356,113687652.05,3981,CANFINHOME
2022-10-21,EQ,523.0,530.95,515.25,521.25,519.0,521.15,522.95,722.0,406.65,1067982,558498368.7,18441,CANFINHOME
