DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,135.6,137.95,134.55,135.55,135.15,135.8,136.63,163.2,98.0,13689,1870294.15,470,CAREERP
2022-12-29,EQ,137.0,137.0,134.0,137.1,135.75,135.55,135.5,163.2,98.0,13032,1765783.85,492,CAREERP
2022-12-28,EQ,134.85,139.45,133.85,135.0,136.35,137.1,137.18,163.2,98.0,24343,3339331.2,960,CAREERP
2022-12-27,EQ,130.95,136.0,130.55,130.65,135.7,135.0,133.98,163.2,98.0,32216,4316426.2,1070,CAREERP
2022-12-26,EQ,132.5,133.7,126.55,127.55,130.6,130.65,130.81,163.2,98.0,33996,4447098.55,1122,CAREERP
2022-12-23,EQ,132.0,133.9,127.1,135.1,127.1,127.55,129.5,163.2,98.0,57807,7485966.5,1724,CAREERP
2022-12-22,EQ,139.75,141.45,132.0,139.75,134.2,135.1,134.75,163.2,98.0,62686,8446997.8,1957,CAREERP
2022-12-21,EQ,148.95,148.95,134.6,146.4,141.0,139.75,141.69,163.2,98.0,39496,5596056.2,1468,CAREERP
2022-12-20,EQ,144.05,147.45,143.6,144.6,147.45,146.4,145.64,163.2,98.0,30101,4383790.1,1226,CAREERP
2022-12-19,EQ,146.95,148.5,143.0,146.0,146.4,144.6,145.33,163.2,98.0,42940,6240330.5,1530,CAREERP
2022-12-16,EQ,151.5,151.5,145.05,150.0,146.95,146.0,148.07,163.2,98.0,41105,6086568.45,1528,CAREERP
2022-12-15,EQ,153.9,154.4,149.0,153.35,149.0,150.0,152.05,163.2,98.0,24528,3729462.35,865,CAREERP
2022-12-14,EQ,151.0,157.0,151.0,152.2,154.0,153.35,153.76,163.2,98.0,29090,4472827.15,900,CAREERP
2022-12-13,EQ,153.6,156.9,152.0,152.85,152.8,152.2,154.06,163.2,98.0,34001,5238232.95,1425,CAREERP
2022-12-12,EQ,153.6,155.0,152.05,152.45,152.5,152.85,153.07,163.2,98.0,20514,3140052.55,750,CAREERP
2022-12-09,EQ,157.8,158.7,151.3,157.05,152.8,152.45,154.7,163.2,98.0,39131,6053587.35,1908,CAREERP
2022-12-08,EQ,155.0,158.95,151.5,153.65,156.55,157.05,156.73,163.2,98.0,117874,18474262.9,3895,CAREERP
2022-12-07,EQ,163.0,163.2,153.0,161.5,153.0,153.65,157.57,163.2,98.0,106486,16779073.3,4370,CAREERP
2022-12-06,EQ,152.0,163.0,152.0,153.9,160.5,161.5,158.91,163.0,98.0,263630,41892581.75,6329,CAREERP
2022-12-05,EQ,147.5,156.0,147.2,146.05,155.0,153.9,153.61,156.0,98.0,244766,37597716.3,4236,CAREERP
2022-12-02,EQ,148.55,149.9,145.7,147.9,147.0,146.05,147.17,155.95,98.0,19207,2826681.95,601,CAREERP
2022-12-01,EQ,145.85,152.9,145.0,144.05,147.25,147.9,149.92,155.95,98.0,109447,16408054.95,2509,CAREERP
2022-11-30,EQ,146.0,148.9,142.35,146.85,145.35,144.05,145.52,155.95,98.0,41007,5967365.5,1277,CAREERP
2022-11-29,EQ,140.3,148.0,140.3,141.7,146.5,146.85,144.31,155.95,98.0,58254,8406675.25,1606,CAREERP
2022-11-28,EQ,143.45,146.0,141.0,145.05,141.0,141.7,143.76,155.95,98.0,44684,6423656.65,1331,CAREERP
2022-11-25,EQ,146.9,153.8,143.3,145.55,144.2,145.05,148.78,155.95,98.0,146602,21811553.5,3824,CAREERP
2022-11-24,EQ,149.0,150.9,145.0,149.1,145.35,145.55,147.47,155.95,98.0,39981,5896117.65,1640,CAREERP
2022-11-23,EQ,143.5,152.3,139.65,144.15,149.5,149.1,147.09,155.95,98.0,115216,16947234.45,2751,CAREERP
2022-11-22,EQ,144.0,146.8,142.65,143.6,145.0,144.15,145.33,155.95,98.0,45163,6563379.75,1323,CAREERP
2022-11-21,EQ,140.6,148.3,139.65,141.2,143.5,143.6,145.29,155.95,98.0,121716,17684030.3,2717,CAREERP
2022-11-18,EQ,139.0,147.0,139.0,138.6,141.9,141.2,143.09,155.95,98.0,126580,18111945.35,3060,CAREERP
2022-11-17,EQ,139.0,139.9,136.5,140.55,139.0,138.6,138.07,155.95,98.0,53859,7436427.25,1558,CAREERP
2022-11-16,EQ,129.15,148.4,128.0,129.6,139.55,140.55,141.36,155.95,98.0,420739,59474163.95,8539,CAREERP
2022-11-15,EQ,134.0,134.0,128.85,132.75,130.9,129.6,130.64,155.95,98.0,52046,6799323.8,1482,CAREERP
2022-11-14,EQ,128.05,134.4,124.1,128.55,131.4,132.75,131.46,155.95,98.0,54262,7133457.45,830,CAREERP
2022-11-11,EQ,127.6,135.5,126.05,126.7,127.7,128.55,130.93,155.95,98.0,50233,6577025.05,1284,CAREERP
2022-11-10,EQ,127.45,129.4,126.5,127.45,126.5,126.7,127.58,155.95,98.0,9415,1201170.65,299,CAREERP
2022-11-09,EQ,129.95,129.95,127.0,128.05,127.4,127.45,127.96,155.95,98.0,10864,1390162.75,382,CAREERP
2022-11-07,EQ,128.05,131.95,126.55,128.4,128.9,128.05,129.1,155.95,98.0,24822,3204441.95,702,CAREERP
2022-11-04,EQ,126.05,130.55,126.0,126.7,128.3,128.4,128.6,155.95,98.0,13357,1717679.65,455,CAREERP
2022-11-03,EQ,128.35,129.3,126.2,128.6,126.3,126.7,127.44,155.95,98.0,10110,1288370.3,335,CAREERP
2022-11-02,EQ,129.3,130.0,127.65,127.4,128.95,128.6,128.84,155.95,98.0,11272,1452245.3,312,CAREERP
2022-11-01,EQ,130.75,130.95,127.05,130.05,127.45,127.4,128.37,155.95,98.0,25763,3307247.45,627,CAREERP
2022-10-31,EQ,134.15,134.85,129.2,132.25,129.55,130.05,131.42,155.95,98.0,15842,2081984.25,572,CAREERP
2022-10-28,EQ,133.95,136.0,131.6,132.25,133.9,132.25,133.74,155.95,98.0,18280,2444815.55,520,CAREERP
2022-10-27,EQ,126.0,134.95,124.05,125.5,131.65,132.25,130.57,155.95,98.0,87718,11453740.95,2030,CAREERP
2022-10-25,EQ,126.95,127.05,124.25,127.15,125.05,125.5,125.55,155.95,98.0,17564,2205149.15,345,CAREERP
2022-10-24,EQ,128.4,128.4,126.0,126.65,127.5,127.15,127.22,155.95,98.0,3585,456091.45,78,CAREERP
2022-10-21,EQ,125.95,127.9,125.0,126.4,125.0,126.65,126.41,161.3,98.0,15982,2020281.6,382,CAREERP
2022-10-20,EQ,128.65,128.65,125.5,126.8,126.05,126.4,126.45,161.3,98.0,14184,1793515.0,382,CAREERP
2022-10-19,EQ,128.75,129.95,125.55,127.9,126.25,126.8,127.77,161.3,98.0,9159,1170253.05,394,CAREERP
2022-10-18,EQ,127.25,130.55,126.4,126.85,128.95,127.9,128.33,161.3,98.0,13348,1712948.55,454,CAREERP
2022-10-17,EQ,127.3,129.2,126.0,128.9,127.0,126.85,127.08,161.3,98.0,14310,1818522.6,262,CAREERP
2022-10-14,EQ,129.0,130.95,128.05,129.25,128.05,128.9,129.7,162.2,98.0,10363,1344069.75,374,CAREERP
2022-10-13,EQ,129.45,132.75,124.3,127.55,128.5,129.25,129.45,162.2,98.0,30239,3914516.9,773,CAREERP
2022-10-12,EQ,129.25,130.45,126.15,129.35,126.75,127.55,128.38,162.2,98.0,14002,1797570.35,459,CAREERP
2022-10-11,EQ,131.9,135.2,127.2,132.0,127.25,129.35,132.35,162.2,98.0,19422,2570495.45,694,CAREERP
2022-10-10,EQ,131.9,133.5,131.05,132.25,133.5,132.0,132.24,162.2,98.0,8445,1116765.65,346,CAREERP
2022-10-07,EQ,132.6,133.95,131.4,132.6,132.95,132.25,132.43,165.0,98.0,21613,2862299.95,294,CAREERP
2022-10-06,EQ,131.2,134.6,131.2,131.3,132.0,132.6,132.97,165.0,98.0,17363,2308841.4,512,CAREERP
2022-10-04,EQ,132.3,133.9,130.3,131.3,131.0,131.3,131.8,165.0,98.0,25523,3363886.35,755,CAREERP
2022-10-03,EQ,128.6,133.9,127.95,127.65,131.05,131.3,130.93,165.0,98.0,34197,4477380.1,1217,CAREERP
2022-09-30,EQ,123.0,128.6,123.0,124.35,127.1,127.65,126.99,174.0,98.0,22073,2803007.55,797,CAREERP
2022-09-29,EQ,125.0,129.95,123.35,126.0,124.0,124.35,125.88,174.0,98.0,41100,5173635.55,1013,CAREERP
