DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,512.5,530.0,504.9,513.4,520.0,514.5,518.23,749.0,484.45,85259,44183946.3,4541,CENTURYPLY
2022-12-29,EQ,516.9,522.05,512.0,521.65,513.0,513.4,514.52,749.0,484.45,63080,32455744.5,3902,CENTURYPLY
2022-12-28,EQ,512.6,524.0,511.0,512.6,520.8,521.65,517.96,749.0,484.45,37988,19676276.0,2802,CENTURYPLY
2022-12-27,EQ,515.35,527.0,509.7,515.35,514.0,512.6,515.66,749.0,484.45,154474,79656773.1,5751,CENTURYPLY
2022-12-26,EQ,502.85,519.0,498.05,502.5,515.0,515.35,510.24,749.0,484.45,46602,23778380.3,3405,CENTURYPLY
2022-12-23,EQ,510.1,511.4,500.0,514.45,502.0,502.5,503.34,749.0,484.45,235673,118623437.4,7538,CENTURYPLY
2022-12-22,EQ,519.9,522.8,506.3,514.7,513.05,514.45,515.57,749.0,484.45,207384,106920665.45,23449,CENTURYPLY
2022-12-21,EQ,525.1,528.8,510.0,524.4,523.1,514.7,519.96,749.0,484.45,186593,97021521.5,10952,CENTURYPLY
2022-12-20,EQ,527.0,538.65,523.0,529.9,524.15,524.4,529.98,749.0,484.45,172557,91452232.2,12803,CENTURYPLY
2022-12-19,EQ,542.5,543.85,528.1,538.8,529.6,529.9,534.3,749.0,484.45,445072,237800800.95,10637,CENTURYPLY
2022-12-16,EQ,560.0,565.45,534.0,565.1,538.5,538.8,544.44,749.0,484.45,169320,92184774.45,13968,CENTURYPLY
2022-12-15,EQ,568.0,568.2,556.0,563.35,566.6,565.1,563.58,749.0,484.45,111453,62812942.8,6735,CENTURYPLY
2022-12-14,EQ,563.4,569.7,562.0,562.2,563.95,563.35,566.25,749.0,484.45,48034,27199336.05,3664,CENTURYPLY
2022-12-13,EQ,567.55,567.55,556.0,566.35,562.0,562.2,561.76,749.0,484.45,69157,38849524.7,5006,CENTURYPLY
2022-12-12,EQ,574.8,578.4,562.0,572.85,563.4,566.35,567.99,749.0,484.45,75948,43137752.25,6654,CENTURYPLY
2022-12-09,EQ,565.15,580.0,565.1,565.1,570.0,572.85,574.59,749.0,484.45,152387,87560577.5,8713,CENTURYPLY
2022-12-08,EQ,566.45,569.95,559.05,566.45,565.0,565.1,563.46,749.0,484.45,112296,63274238.1,7933,CENTURYPLY
2022-12-07,EQ,570.95,574.75,562.0,569.2,566.0,566.45,566.55,749.0,484.45,129419,73322741.15,3459,CENTURYPLY
2022-12-06,EQ,573.45,584.05,565.05,570.55,571.0,569.2,575.98,749.0,484.45,104522,60202101.6,6161,CENTURYPLY
2022-12-05,EQ,563.75,572.95,560.85,563.75,572.8,570.55,566.4,749.0,484.45,100278,56797679.15,7417,CENTURYPLY
2022-12-02,EQ,560.0,565.95,553.05,556.1,560.0,563.75,561.18,749.0,484.45,110366,61935151.2,6262,CENTURYPLY
2022-12-01,EQ,538.3,557.25,535.0,542.4,556.0,556.1,546.34,749.0,484.45,263637,144034575.15,15624,CENTURYPLY
2022-11-30,EQ,555.15,556.6,529.1,553.1,534.9,542.4,544.23,749.0,484.45,328521,178790250.45,15638,CENTURYPLY
