DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-10-21,EQ,21.5,22.4,21.25,21.35,21.95,21.8,21.84,29.35,9.1,51580,1126534.4,344,CIMMCO
2020-10-20,EQ,21.75,21.75,21.15,21.3,21.35,21.35,21.36,29.35,9.1,9858,210604.05,181,CIMMCO
2020-10-19,EQ,21.9,21.95,21.0,21.5,21.3,21.3,21.64,29.35,9.1,13485,291755.8,155,CIMMCO
2020-10-16,EQ,22.4,22.4,21.25,22.15,21.5,21.5,21.71,29.35,9.1,7826,169933.8,134,CIMMCO
2020-10-15,EQ,22.7,22.7,20.9,22.6,22.45,22.15,21.85,29.35,9.1,63692,1391393.2,445,CIMMCO
2020-10-14,EQ,22.8,23.35,22.0,22.45,22.75,22.6,22.75,29.35,9.1,55516,1262968.6,355,CIMMCO
2020-10-13,EQ,21.4,22.8,20.6,20.8,22.5,22.45,21.96,29.35,9.1,83670,1837436.6,388,CIMMCO
2020-10-12,EQ,21.0,21.45,20.5,21.0,20.8,20.8,20.88,29.35,9.1,20167,421000.3,105,CIMMCO
2020-10-09,EQ,20.95,21.5,20.95,21.0,21.0,21.0,21.31,29.35,9.1,18895,402613.9,108,CIMMCO
2020-10-08,EQ,20.45,21.35,20.4,20.35,20.9,21.0,21.01,29.35,9.1,90900,1910084.95,220,CIMMCO
2020-10-07,EQ,20.3,20.75,20.0,20.3,20.35,20.35,20.45,29.35,9.1,13567,277401.4,113,CIMMCO
2020-10-06,EQ,21.3,21.6,19.95,20.9,20.3,20.3,20.27,29.35,9.1,130255,2640552.6,399,CIMMCO
2020-10-05,EQ,21.1,21.4,19.75,20.4,20.75,20.9,21.17,29.35,9.1,77851,1647762.6,432,CIMMCO
2020-10-01,EQ,21.0,21.25,20.25,20.9,20.35,20.4,20.7,29.35,9.1,10676,220997.35,135,CIMMCO
2020-09-30,EQ,20.0,20.9,20.0,19.95,20.9,20.9,20.81,29.35,9.1,73551,1530424.6,287,CIMMCO
2020-09-29,EQ,19.55,20.45,19.25,19.55,19.7,19.95,19.86,29.35,9.1,27531,546840.85,315,CIMMCO
2020-09-28,EQ,19.4,20.15,19.1,19.35,19.7,19.55,19.68,29.35,9.1,22637,445444.3,207,CIMMCO
2020-09-25,EQ,18.4,19.4,18.0,18.5,19.4,19.35,18.55,29.35,9.1,29061,539058.1,255,CIMMCO
2020-09-24,EQ,19.0,19.0,18.5,19.45,18.6,18.5,18.63,29.35,9.1,15422,287295.05,128,CIMMCO
2020-09-23,EQ,19.35,19.7,19.0,18.8,19.5,19.45,19.33,29.35,9.1,12377,239255.4,97,CIMMCO
2020-09-22,EQ,19.8,19.8,18.75,19.7,18.75,18.8,18.96,29.35,9.1,17397,329784.5,210,CIMMCO
2020-09-21,EQ,20.2,20.95,19.65,20.65,19.65,19.7,20.17,29.35,9.1,13337,269018.0,151,CIMMCO
2020-09-18,EQ,20.8,21.2,20.15,20.55,20.2,20.65,20.39,29.35,9.1,18141,369927.65,178,CIMMCO
2020-09-17,EQ,20.8,21.0,20.1,20.8,20.25,20.55,20.58,29.35,9.1,10055,206908.15,163,CIMMCO
2020-09-16,EQ,21.25,21.25,20.5,20.5,20.85,20.8,20.76,29.35,9.1,13772,285859.85,121,CIMMCO
2020-09-15,EQ,20.95,21.0,20.2,20.85,20.5,20.5,20.61,29.35,9.1,15838,326459.4,211,CIMMCO
2020-09-14,EQ,20.05,21.35,20.05,20.65,20.95,20.85,20.89,29.35,9.1,45232,944952.55,215,CIMMCO
2020-09-11,EQ,20.1,20.9,19.9,20.25,20.65,20.65,20.49,29.35,9.1,32074,657105.3,240,CIMMCO
2020-09-10,EQ,19.8,20.45,19.6,19.5,20.45,20.25,20.11,29.35,9.1,126188,2537489.8,380,CIMMCO
2020-09-09,EQ,20.45,20.45,19.3,19.95,19.5,19.5,19.54,29.35,9.1,107561,2101458.8,347,CIMMCO
2020-09-08,EQ,21.0,21.4,19.8,20.8,19.8,19.95,20.31,29.35,9.1,136671,2776373.75,399,CIMMCO
2020-09-07,EQ,21.4,21.6,20.25,21.1,20.9,20.8,20.8,29.35,9.1,22846,475262.55,204,CIMMCO
2020-09-04,EQ,21.6,22.45,20.7,21.5,21.5,21.1,21.53,29.35,9.1,65382,1407930.4,382,CIMMCO
2020-09-03,EQ,22.25,23.25,21.05,22.15,21.2,21.5,22.12,29.35,9.1,135815,3004147.0,805,CIMMCO
2020-09-02,EQ,22.15,22.95,22.15,23.3,22.15,22.15,22.2,29.35,9.1,56550,1255595.8,302,CIMMCO
2020-09-01,EQ,24.5,24.5,23.3,24.5,23.3,23.3,23.35,29.35,9.1,12001,280228.3,107,CIMMCO
2020-08-31,EQ,25.75,25.75,24.5,25.75,24.5,24.5,24.69,29.35,9.1,24532,605673.85,189,CIMMCO
2020-08-28,EQ,27.0,27.0,25.75,27.1,25.75,25.75,26.21,29.35,9.1,135078,3540561.7,552,CIMMCO
2020-08-27,EQ,26.25,27.4,26.0,26.1,27.4,27.1,26.84,29.35,9.1,151388,4062905.2,634,CIMMCO
2020-08-26,EQ,26.5,27.0,26.0,26.4,26.0,26.1,26.42,29.35,9.1,43833,1157881.8,255,CIMMCO
2020-08-25,EQ,27.6,27.7,26.1,26.95,26.75,26.4,26.87,29.35,9.1,40170,1079428.25,285,CIMMCO
2020-08-24,EQ,27.6,27.85,26.3,27.2,27.0,26.95,27.03,29.35,9.1,120843,3266986.4,559,CIMMCO
2020-08-21,EQ,28.6,29.35,27.0,28.4,27.25,27.2,28.0,29.35,9.1,243877,6829322.6,1262,CIMMCO
2020-08-20,EQ,26.9,28.55,26.3,27.2,28.35,28.4,27.89,28.55,9.1,194319,5418924.6,959,CIMMCO
2020-08-19,EQ,26.35,27.55,25.8,25.15,27.5,27.2,26.84,27.55,9.1,358218,9615698.6,1603,CIMMCO
2020-08-18,EQ,24.0,25.65,23.0,24.1,25.65,25.15,24.65,27.4,9.1,277677,6844012.25,1054,CIMMCO
2020-08-17,EQ,23.85,24.6,22.9,23.1,24.55,24.1,23.61,27.4,9.1,218332,5155053.15,962,CIMMCO
2020-08-14,EQ,21.45,23.1,21.15,21.0,23.1,23.1,22.63,27.4,9.1,272782,6173531.4,1053,CIMMCO
2020-08-13,EQ,20.1,21.75,20.05,20.2,21.4,21.0,20.97,27.4,9.1,49725,1042963.35,341,CIMMCO
2020-08-12,EQ,20.1,20.75,19.8,20.35,20.15,20.2,20.21,27.4,9.1,27742,560731.0,166,CIMMCO
2020-08-11,EQ,20.5,21.0,19.5,20.5,20.35,20.35,20.37,27.4,9.1,43419,884419.05,289,CIMMCO
2020-08-10,EQ,20.85,21.25,20.15,20.85,20.55,20.5,20.44,27.4,9.1,45967,939593.15,313,CIMMCO
2020-08-07,EQ,20.7,21.65,20.55,19.7,20.7,20.85,21.13,27.4,9.1,126244,2667244.95,877,CIMMCO
2020-08-06,EQ,19.15,19.95,19.15,19.5,19.95,19.7,19.58,27.4,9.1,11476,224655.65,119,CIMMCO
2020-08-05,EQ,19.65,19.95,19.25,19.75,19.55,19.5,19.64,27.4,9.1,19785,388497.0,147,CIMMCO
2020-08-04,EQ,20.75,20.75,19.3,20.1,20.0,19.75,19.78,27.4,9.1,36795,727845.25,253,CIMMCO
2020-08-03,EQ,20.0,20.1,19.2,19.15,20.1,20.1,19.91,27.4,9.1,65511,1304409.25,401,CIMMCO
2020-07-31,EQ,19.1,19.95,19.0,19.45,19.05,19.15,19.21,27.4,9.1,9186,176456.6,141,CIMMCO
2020-07-30,EQ,19.7,20.0,18.85,19.6,19.55,19.45,19.36,27.4,9.1,26505,513207.0,241,CIMMCO
2020-07-29,EQ,19.35,19.75,19.1,19.3,19.7,19.6,19.53,27.4,9.1,10748,209855.2,118,CIMMCO
2020-07-28,EQ,19.25,19.9,19.1,19.55,19.25,19.3,19.33,27.4,9.1,31008,599393.05,205,CIMMCO
2020-07-27,EQ,19.7,20.25,19.5,20.05,19.55,19.55,19.74,27.4,9.1,10456,206386.25,144,CIMMCO
2020-07-24,EQ,19.85,20.7,19.35,20.0,20.15,20.05,19.95,27.4,9.1,20164,402289.65,230,CIMMCO
2020-07-23,EQ,19.95,20.4,19.3,19.7,20.15,20.0,20.0,27.4,9.1,21495,429912.9,270,CIMMCO
2020-07-22,EQ,20.7,20.7,19.55,20.2,19.6,19.7,19.97,27.4,9.1,30775,614479.45,256,CIMMCO
2020-07-21,EQ,21.3,21.3,20.0,20.8,20.2,20.2,20.23,27.4,9.1,62260,1259352.55,384,CIMMCO
2020-07-20,EQ,21.15,21.15,20.15,20.15,20.6,20.8,20.92,27.4,9.1,104510,2186615.7,554,CIMMCO
2020-07-17,EQ,19.3,20.15,19.25,19.2,20.15,20.15,19.9,27.4,9.1,19820,394434.05,127,CIMMCO
2020-07-16,EQ,19.75,19.85,18.7,19.35,19.2,19.2,19.25,27.4,9.1,24910,479423.4,218,CIMMCO
2020-07-15,EQ,19.9,19.9,18.9,19.45,19.55,19.35,19.33,27.4,9.1,27403,529706.2,214,CIMMCO
2020-07-14,EQ,19.5,20.4,19.4,20.4,19.55,19.45,19.68,27.4,9.1,51793,1019107.75,417,CIMMCO
