DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,17.6,17.9,17.1,17.55,17.4,17.35,17.41,57.2,16.05,51796,901898.6,457,CMICABLES
2022-12-29,EQ,17.8,18.25,17.35,17.8,17.6,17.55,17.7,57.2,16.05,32748,579580.95,383,CMICABLES
2022-12-28,EQ,17.55,18.0,17.25,17.2,17.95,17.8,17.8,57.2,16.05,48957,871615.4,477,CMICABLES
2022-12-27,EQ,17.35,17.55,17.1,17.0,17.3,17.2,17.29,57.2,16.05,23882,412948.0,339,CMICABLES
2022-12-26,EQ,16.75,17.75,16.05,16.6,17.05,17.0,16.91,57.2,16.05,111448,1884328.65,702,CMICABLES
2022-12-23,EQ,17.85,17.85,16.3,17.85,16.8,16.6,16.9,57.2,16.3,97314,1644244.4,948,CMICABLES
2022-12-22,EQ,18.85,19.05,17.2,18.85,17.9,17.85,17.87,57.2,17.2,83840,1498188.95,808,CMICABLES
2022-12-21,EQ,19.1,19.4,18.8,18.9,19.0,18.85,18.97,57.2,17.75,25284,479759.25,349,CMICABLES
2022-12-20,EQ,19.3,19.3,18.75,19.1,18.75,18.9,19.01,57.2,17.75,79197,1505212.25,540,CMICABLES
2022-12-19,EQ,19.2,19.85,19.05,19.15,19.1,19.1,19.14,57.2,17.75,40107,767512.1,284,CMICABLES
2022-12-16,EQ,19.4,19.4,19.05,19.3,19.3,19.15,19.14,57.2,17.75,50066,958347.45,269,CMICABLES
2022-12-15,EQ,19.55,19.9,19.2,19.4,19.3,19.3,19.45,57.2,17.75,48699,947240.0,408,CMICABLES
2022-12-14,EQ,19.3,19.8,19.05,19.05,19.45,19.4,19.42,57.2,17.75,60000,1165276.75,470,CMICABLES
2022-12-13,EQ,19.8,20.0,18.9,19.65,19.0,19.05,19.33,57.2,17.75,206402,3988914.35,961,CMICABLES
2022-12-12,EQ,20.1,20.25,18.85,20.0,19.85,19.65,19.47,57.2,17.75,140624,2737706.5,1204,CMICABLES
2022-12-09,EQ,20.2,20.3,19.9,19.95,20.0,20.0,20.01,57.2,17.75,63918,1279111.6,333,CMICABLES
2022-12-08,EQ,20.25,20.9,19.7,20.45,20.05,19.95,20.18,57.2,17.75,109370,2206707.85,651,CMICABLES
2022-12-07,EQ,20.55,20.8,20.2,20.4,20.5,20.45,20.51,57.2,17.75,77688,1593359.1,407,CMICABLES
2022-12-06,EQ,20.15,20.8,20.1,20.1,20.5,20.4,20.43,57.2,17.75,61383,1254120.8,533,CMICABLES
2022-12-05,EQ,20.0,20.35,19.8,20.0,20.3,20.1,20.13,57.2,17.75,45880,923781.15,425,CMICABLES
2022-12-02,EQ,20.15,20.2,19.8,19.9,19.95,20.0,19.99,57.2,17.75,51496,1029625.05,320,CMICABLES
2022-12-01,EQ,20.3,20.55,19.8,20.05,19.95,19.9,20.05,57.2,17.75,151669,3040703.95,822,CMICABLES
2022-11-30,EQ,20.2,23.1,19.6,19.95,20.1,20.05,20.43,57.2,17.75,250534,5117742.2,1230,CMICABLES
2022-11-29,EQ,20.4,21.0,19.8,20.0,20.0,19.95,20.23,57.2,17.75,245032,4958032.35,1259,CMICABLES
2022-11-28,EQ,21.1,21.4,19.7,21.1,20.3,20.0,20.25,57.2,17.75,222932,4514812.35,1223,CMICABLES
2022-11-25,EQ,20.8,21.5,20.6,20.8,21.15,21.1,21.05,57.2,17.75,36615,770887.45,402,CMICABLES
2022-11-24,EQ,20.25,21.4,20.2,20.1,20.9,20.8,20.82,57.2,17.75,89304,1859271.65,771,CMICABLES
2022-11-23,EQ,20.75,21.4,19.95,20.6,20.0,20.1,20.27,57.2,17.75,124459,2523033.05,970,CMICABLES
2022-11-22,EQ,21.7,22.4,19.65,21.7,20.85,20.6,20.63,57.2,17.75,125428,2587529.4,1060,CMICABLES
2022-11-21,EQ,21.7,22.45,21.55,21.7,21.7,21.7,21.84,57.2,17.75,40367,881530.65,310,CMICABLES
