DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,79.0,79.45,76.8,77.7,78.1,78.1,77.88,89.65,44.25,945814,73659884.7,8208,CONFIPET
2022-12-29,EQ,77.95,78.8,76.6,78.35,78.0,77.7,77.59,89.65,44.25,1024269,79468041.65,8790,CONFIPET
2022-12-28,EQ,79.15,80.85,78.05,79.2,78.4,78.35,79.39,89.65,44.25,1268995,100750097.35,5894,CONFIPET
2022-12-27,EQ,80.35,81.95,78.55,79.65,79.45,79.2,79.75,89.65,44.25,1512301,120607342.5,10098,CONFIPET
2022-12-26,EQ,75.25,81.3,72.8,75.45,79.3,79.65,78.48,89.65,44.25,2762864,216817466.9,13411,CONFIPET
2022-12-23,EQ,80.1,82.7,74.65,81.1,75.7,75.45,78.73,89.65,44.25,3312498,260780763.5,14101,CONFIPET
2022-12-22,EQ,82.7,84.0,75.25,82.65,81.0,81.1,79.14,89.65,44.25,5602729,443397223.75,23479,CONFIPET
2022-12-21,EQ,88.45,89.65,81.1,85.95,82.0,82.65,86.36,89.65,44.25,8736369,754478798.6,40423,CONFIPET
2022-12-20,EQ,78.7,86.75,77.9,79.05,86.4,85.95,83.84,86.75,44.25,7713597,646734810.3,28569,CONFIPET
2022-12-19,EQ,78.05,79.35,76.4,77.0,79.0,79.05,78.3,85.5,44.25,1348602,105595153.3,8318,CONFIPET
2022-12-16,EQ,75.75,78.3,74.2,75.85,77.35,77.0,76.63,85.5,44.25,1264767,96918795.55,7633,CONFIPET
2022-12-15,EQ,76.5,78.55,75.2,76.65,75.6,75.85,76.8,85.5,44.25,695326,53403781.95,5923,CONFIPET
2022-12-14,EQ,78.05,78.95,76.3,78.05,76.8,76.65,77.57,85.5,44.25,542099,42049325.5,4494,CONFIPET
2022-12-13,EQ,78.3,79.3,77.35,78.1,78.05,78.05,78.22,85.5,44.25,723625,56599168.15,6683,CONFIPET
2022-12-12,EQ,75.65,78.45,75.6,75.65,78.35,78.1,77.28,85.5,44.25,698462,53980245.05,5775,CONFIPET
2022-12-09,EQ,78.55,79.3,74.9,78.55,76.25,75.65,76.24,85.5,44.25,1629875,124255287.4,7121,CONFIPET
2022-12-08,EQ,78.0,79.7,77.0,78.15,78.4,78.55,78.45,85.5,44.25,442218,34693138.65,5072,CONFIPET
2022-12-07,EQ,80.1,80.7,77.4,80.15,77.95,78.15,79.12,85.5,44.25,987538,78131972.75,7384,CONFIPET
2022-12-06,EQ,79.1,81.8,79.0,79.6,80.0,80.15,80.46,85.5,44.25,1306990,105162526.55,8983,CONFIPET
2022-12-05,EQ,78.9,80.6,78.15,78.7,79.4,79.6,79.26,85.5,44.25,1225211,97113799.6,8634,CONFIPET
2022-12-02,EQ,77.6,79.5,77.2,77.6,78.25,78.7,78.23,85.5,44.25,1046474,81869369.9,6382,CONFIPET
2022-12-01,EQ,78.0,78.8,76.2,77.45,77.95,77.6,77.23,85.5,44.25,942396,72784949.25,7614,CONFIPET
2022-11-30,EQ,79.15,79.45,76.8,79.7,77.5,77.45,77.77,85.5,44.25,986676,76731173.3,7070,CONFIPET
2022-11-29,EQ,82.0,82.65,78.8,81.65,79.1,79.7,80.63,85.5,44.25,585027,47173219.15,5275,CONFIPET
2022-11-28,EQ,82.3,83.8,81.0,80.9,81.55,81.65,82.29,85.5,44.25,1263010,103937953.4,8769,CONFIPET
2022-11-25,EQ,81.45,82.4,79.5,81.1,81.0,80.9,80.97,85.5,44.25,1249035,101138965.55,8027,CONFIPET
