DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-14,EQ,5.3,5.45,5.1,5.35,5.15,5.15,5.19,6.9,3.3,127209,659856.2,275,COUNCODOS
2022-12-13,EQ,5.9,5.9,5.3,5.7,5.4,5.35,5.41,6.9,3.3,212421,1149726.85,455,COUNCODOS
2022-12-12,EQ,5.9,6.0,5.7,5.85,5.7,5.7,5.79,6.9,3.3,161121,932755.0,357,COUNCODOS
2022-12-09,EQ,6.05,6.05,5.7,6.0,5.9,5.85,5.89,6.9,3.2,177426,1044716.25,347,COUNCODOS
2022-12-08,EQ,5.85,6.25,5.55,5.85,5.9,6.0,5.94,6.9,3.2,560054,3325456.65,856,COUNCODOS
2022-12-07,EQ,6.6,6.9,5.8,6.4,5.85,5.85,6.13,6.9,3.2,1436173,8799348.4,1918,COUNCODOS
2022-12-06,EQ,6.3,6.4,6.15,5.85,6.4,6.4,6.36,6.65,3.2,2273037,14450864.8,1938,COUNCODOS
2022-12-05,EQ,5.1,5.85,4.8,4.9,5.85,5.85,5.52,6.65,3.2,2544557,14038481.45,2900,COUNCODOS
2022-12-02,EQ,4.1,4.9,4.0,4.1,4.9,4.9,4.8,6.65,3.05,1884003,9035905.9,1611,COUNCODOS
2022-12-01,EQ,4.1,4.15,4.05,4.1,4.1,4.1,4.1,6.65,3.05,38102,156372.45,129,COUNCODOS
2022-11-30,EQ,4.1,4.15,4.05,4.05,4.1,4.1,4.08,6.65,3.05,57403,234357.5,90,COUNCODOS
2022-11-29,EQ,4.1,4.1,4.0,4.05,4.05,4.05,4.08,6.65,3.05,21894,89308.8,70,COUNCODOS
2022-11-28,EQ,4.15,4.15,4.05,4.1,4.05,4.05,4.07,6.65,3.05,61959,251994.75,123,COUNCODOS
2022-11-25,EQ,4.25,4.25,4.1,4.15,4.1,4.1,4.14,6.65,3.05,39309,162687.65,136,COUNCODOS
2022-11-24,EQ,4.05,4.3,4.05,4.1,4.1,4.15,4.17,6.65,3.05,151594,631800.95,204,COUNCODOS
2022-11-23,EQ,4.15,4.15,4.0,4.05,4.05,4.1,4.07,6.65,3.05,40494,164865.55,96,COUNCODOS
2022-11-22,EQ,4.25,4.25,4.0,4.05,4.05,4.05,4.04,6.65,3.05,30529,123315.1,109,COUNCODOS
2022-11-21,EQ,4.05,4.15,3.9,4.0,4.05,4.05,4.03,6.65,3.05,81046,326975.85,170,COUNCODOS
2022-11-18,EQ,4.05,4.05,3.9,3.95,4.0,4.0,3.96,6.65,3.05,105626,418078.2,136,COUNCODOS
2022-11-17,EQ,4.0,4.05,3.95,4.0,3.95,3.95,4.01,6.65,3.05,75702,303212.55,131,COUNCODOS
2022-11-16,EQ,4.05,4.2,3.9,4.1,4.0,4.0,4.04,6.65,3.05,180431,728673.75,286,COUNCODOS
2022-11-15,EQ,4.15,4.2,4.0,4.05,4.15,4.1,4.1,6.65,3.05,86845,356058.05,126,COUNCODOS
2022-11-14,EQ,4.25,4.25,4.05,4.15,4.1,4.05,4.13,6.65,3.05,206320,852102.3,208,COUNCODOS
2022-11-11,EQ,4.4,4.45,4.1,4.3,4.15,4.15,4.27,6.65,3.05,189765,811226.1,279,COUNCODOS
2022-11-10,EQ,4.65,4.7,4.2,4.7,4.3,4.3,4.42,6.65,3.05,826612,3655409.1,675,COUNCODOS
2022-11-09,EQ,3.95,4.7,3.95,3.95,4.7,4.7,4.57,6.65,3.05,613241,2803295.55,439,COUNCODOS
2022-11-07,EQ,4.0,4.0,3.9,3.9,4.0,3.95,3.94,6.65,3.05,45169,177854.2,123,COUNCODOS
2022-11-04,EQ,4.0,4.0,3.8,3.95,3.9,3.9,3.89,6.65,3.05,49025,190672.0,66,COUNCODOS
2022-11-03,EQ,3.95,3.95,3.9,3.9,3.9,3.95,3.94,6.65,3.05,22639,89223.3,74,COUNCODOS
2022-11-02,EQ,3.9,4.0,3.85,3.95,3.95,3.9,3.91,6.65,3.05,48066,187974.45,138,COUNCODOS
2022-11-01,EQ,3.9,4.0,3.9,3.95,3.95,3.95,3.94,6.65,3.05,12686,49941.15,53,COUNCODOS
2022-10-31,EQ,4.0,4.05,3.9,3.9,3.9,3.95,3.96,6.65,3.05,18852,74587.15,169,COUNCODOS
2022-10-28,EQ,3.9,4.0,3.9,3.95,3.9,3.9,3.95,6.65,3.05,33918,133927.35,117,COUNCODOS
2022-10-27,EQ,4.05,4.05,3.9,3.9,3.9,3.95,3.97,6.65,3.05,57598,228876.0,213,COUNCODOS
2022-10-25,EQ,4.05,4.05,3.9,3.95,3.9,3.9,3.94,6.65,3.05,21263,83733.2,212,COUNCODOS
2022-10-24,EQ,4.05,4.05,3.9,3.9,4.0,3.95,3.97,6.65,3.05,11330,44980.9,87,COUNCODOS
2022-10-21,EQ,4.0,4.0,3.9,4.0,3.95,3.9,3.93,6.65,3.05,39915,156777.1,84,COUNCODOS
2022-10-20,EQ,4.05,4.05,3.95,3.95,4.0,4.0,3.99,6.65,3.05,13429,53573.9,322,COUNCODOS
2022-10-19,EQ,4.05,4.05,3.95,3.95,3.95,3.95,3.98,6.65,3.05,45426,180635.3,98,COUNCODOS
2022-10-18,EQ,4.05,4.05,3.95,4.0,4.0,3.95,3.98,6.65,3.05,48612,193276.55,143,COUNCODOS
