DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,821.4,828.45,808.0,817.05,811.7,811.05,818.24,1084.0,720.0,44925,36759530.6,4389,CYIENT
2022-12-29,EQ,813.8,823.45,812.85,821.2,816.6,817.05,818.2,1084.0,720.0,35258,28847969.75,5562,CYIENT
2022-12-28,EQ,814.0,826.8,811.65,816.55,819.6,821.2,818.09,1084.0,720.0,49240,40282757.45,5923,CYIENT
2022-12-27,EQ,818.8,823.0,810.0,814.5,818.8,816.55,815.54,1084.0,720.0,34735,28327949.75,3428,CYIENT
2022-12-26,EQ,785.0,819.7,780.7,788.9,813.0,814.5,805.91,1084.0,720.0,93019,74965117.3,8767,CYIENT
2022-12-23,EQ,810.75,813.0,781.0,814.95,782.65,788.9,800.15,1084.0,720.0,130723,104598417.4,14820,CYIENT
2022-12-22,EQ,823.0,823.3,805.6,819.35,815.0,814.95,811.35,1084.0,720.0,80197,65067749.05,10488,CYIENT
2022-12-21,EQ,831.0,837.15,807.15,826.6,819.0,819.35,821.86,1084.0,720.0,99351,81652848.85,7821,CYIENT
2022-12-20,EQ,840.7,849.35,823.5,847.55,825.75,826.6,831.11,1084.0,720.0,143958,119644322.6,13626,CYIENT
2022-12-19,EQ,845.0,867.0,837.0,847.85,844.9,847.55,855.13,1084.0,720.0,261661,223755296.8,21612,CYIENT
2022-12-16,EQ,825.1,854.0,820.0,822.55,846.0,847.85,844.56,1084.0,720.0,552546,466655989.3,32446,CYIENT
2022-12-15,EQ,823.05,834.8,818.0,828.75,826.0,822.55,825.08,1084.0,720.0,114317,94320183.7,12258,CYIENT
2022-12-14,EQ,819.35,837.0,815.1,815.1,823.8,828.75,824.7,1084.0,720.0,164099,135332491.55,12392,CYIENT
2022-12-13,EQ,835.0,837.9,811.2,832.8,815.0,815.1,816.05,1084.0,720.0,219064,178766647.8,15441,CYIENT
2022-12-12,EQ,825.95,840.0,809.25,821.75,838.0,832.8,822.22,1084.0,720.0,81819,67273186.25,8369,CYIENT
2022-12-09,EQ,843.25,845.35,806.15,839.05,826.4,821.75,820.31,1084.0,720.0,131389,107779628.45,11083,CYIENT
2022-12-08,EQ,842.0,849.9,836.85,841.6,841.5,839.05,842.94,1084.0,720.0,67259,56695492.65,6844,CYIENT
2022-12-07,EQ,854.0,857.7,836.0,849.25,843.55,841.6,844.86,1084.0,720.0,66565,56237940.45,6163,CYIENT
2022-12-06,EQ,858.0,865.15,845.0,855.25,854.0,849.25,854.06,1084.0,720.0,287484,245529249.4,11283,CYIENT
2022-12-05,EQ,849.95,857.9,831.1,844.3,855.9,855.25,842.03,1084.0,720.0,265931,223922140.0,16310,CYIENT
2022-12-02,EQ,862.1,872.7,840.0,862.1,844.0,844.3,852.25,1084.0,720.0,231157,197004410.9,18249,CYIENT
2022-12-01,EQ,838.5,867.45,838.5,837.3,861.0,862.1,857.25,1084.0,720.0,539574,462550342.6,22862,CYIENT
2022-11-30,EQ,827.2,843.0,816.0,822.9,835.0,837.3,829.43,1084.0,720.0,198291,164467637.7,12675,CYIENT
2022-11-29,EQ,810.05,830.0,808.0,807.8,826.95,822.9,818.35,1084.0,720.0,308142,252167907.95,16341,CYIENT
2022-11-28,EQ,797.0,823.6,797.0,796.7,808.55,807.8,809.36,1084.0,720.0,222753,180286519.45,7659,CYIENT
2022-11-25,EQ,798.0,804.9,784.55,799.55,796.0,796.7,793.87,1133.0,720.0,145949,115864881.4,8812,CYIENT
2022-11-24,EQ,807.15,810.95,790.0,803.1,796.7,799.55,795.76,1133.0,720.0,228304,181675436.4,12578,CYIENT
2022-11-23,EQ,819.15,824.75,800.95,815.05,802.0,803.1,806.77,1133.0,720.0,105553,85157499.0,6673,CYIENT
2022-11-22,EQ,800.5,825.0,791.0,800.5,813.0,815.05,808.93,1133.0,720.0,260626,210828111.05,17405,CYIENT
2022-11-21,EQ,793.2,806.45,773.65,794.45,802.0,800.5,788.99,1133.0,720.0,185335,146228055.9,18091,CYIENT
2022-11-18,EQ,824.6,831.15,791.5,824.55,793.2,794.45,802.42,1180.0,720.0,209752,168308200.6,17732,CYIENT
2022-11-17,EQ,807.95,854.0,801.4,808.75,824.9,824.55,834.88,1180.0,720.0,863040,720535486.75,31224,CYIENT
2022-11-16,EQ,771.0,819.0,767.3,769.85,815.0,808.75,797.06,1180.0,720.0,377254,300695862.9,19854,CYIENT
2022-11-15,EQ,768.55,777.85,760.85,760.35,768.55,769.85,768.72,1180.0,720.0,123516,94949673.0,8266,CYIENT
2022-11-14,EQ,746.45,763.85,742.05,742.7,761.5,760.35,753.91,1180.0,720.0,200524,151176891.1,9028,CYIENT
2022-11-11,EQ,746.1,751.0,740.35,740.75,742.0,742.7,743.6,1180.0,720.0,112734,83828969.35,8484,CYIENT
2022-11-10,EQ,739.55,743.85,735.9,741.25,737.9,740.75,739.03,1180.0,720.0,47833,35350171.7,6431,CYIENT
2022-11-09,EQ,739.3,742.4,735.9,739.3,741.0,741.25,739.87,1180.0,720.0,54935,40644840.95,5855,CYIENT
2022-11-07,EQ,734.95,744.95,728.5,733.3,739.05,739.3,738.27,1180.0,720.0,147148,108634318.05,12056,CYIENT
2022-11-04,EQ,730.0,736.55,727.0,731.25,734.1,733.3,732.26,1180.0,720.0,277829,203442658.35,7367,CYIENT
2022-11-03,EQ,725.5,734.65,723.8,730.75,731.0,731.25,728.15,1180.0,720.0,202533,147473592.7,11531,CYIENT
2022-11-02,EQ,743.75,745.35,727.55,741.6,731.0,730.75,732.13,1180.0,720.0,312274,228626550.4,20880,CYIENT
2022-11-01,EQ,747.0,752.9,739.6,749.3,740.0,741.6,747.63,1180.0,720.0,147811,110507838.1,8927,CYIENT
2022-10-31,EQ,747.0,751.35,742.35,747.0,749.55,749.3,747.28,1180.0,720.0,126668,94656005.9,9746,CYIENT
2022-10-28,EQ,747.0,750.0,742.0,747.5,745.0,747.0,745.65,1180.0,720.0,73412,54739592.3,8557,CYIENT
2022-10-27,EQ,759.0,760.45,746.0,754.95,746.0,747.5,749.92,1180.0,720.0,146649,109974333.7,10915,CYIENT
2022-10-25,EQ,764.95,764.95,746.0,769.25,758.9,754.95,754.97,1180.0,720.0,247972,187211989.85,15837,CYIENT
2022-10-24,EQ,763.8,773.0,762.0,756.1,771.0,769.25,767.29,1180.0,720.0,28457,21834649.5,2088,CYIENT
2022-10-21,EQ,765.7,767.0,753.7,762.4,757.0,756.1,757.43,1292.0,720.0,57735,43730024.3,5508,CYIENT
2022-10-20,EQ,754.7,768.0,744.05,754.7,754.0,762.4,760.45,1292.0,720.0,358008,272246468.1,18088,CYIENT
2022-10-19,EQ,762.0,764.65,751.0,762.1,755.0,754.7,755.15,1292.0,720.0,109545,82722814.6,12091,CYIENT
2022-10-18,EQ,762.55,770.0,753.35,762.1,763.0,762.1,760.57,1292.0,720.0,293858,223498738.1,19337,CYIENT
2022-10-17,EQ,760.0,773.5,744.0,759.95,762.0,762.1,760.27,1292.0,720.0,256417,194945159.95,15633,CYIENT
2022-10-14,EQ,750.15,775.0,749.0,772.65,762.0,759.95,762.56,1292.0,720.0,655244,499662134.8,35292,CYIENT
2022-10-13,EQ,784.0,784.0,767.2,780.5,772.25,772.65,773.09,1292.0,720.0,108687,84024958.6,17679,CYIENT
2022-10-12,EQ,780.65,786.8,765.85,776.65,779.25,780.5,777.84,1292.0,720.0,112177,87255265.0,7600,CYIENT
2022-10-11,EQ,801.45,804.9,770.0,797.45,770.1,776.65,785.21,1292.0,720.0,132676,104178223.2,14917,CYIENT
2022-10-10,EQ,799.15,800.95,780.85,799.15,797.2,797.45,792.4,1292.0,720.0,92580,73360648.9,13289,CYIENT
2022-10-07,EQ,802.45,802.45,789.0,798.8,801.35,799.15,796.33,1292.0,720.0,107759,85811292.1,9529,CYIENT
2022-10-06,EQ,789.1,809.0,787.4,785.0,795.0,798.8,797.79,1292.0,720.0,137672,109832862.6,12348,CYIENT
2022-10-04,EQ,794.7,794.7,780.15,779.95,787.0,785.0,785.23,1292.0,720.0,113510,89132022.55,10345,CYIENT
2022-10-03,EQ,791.55,796.0,776.1,792.9,779.2,779.95,784.72,1292.0,720.0,47004,36884906.5,4858,CYIENT
2022-09-30,EQ,776.1,794.9,767.6,783.15,794.0,792.9,783.65,1292.0,720.0,48039,37645771.45,6917,CYIENT
2022-09-29,EQ,795.0,805.6,773.5,793.55,781.8,783.15,786.21,1292.0,720.0,227859,179144255.75,11263,CYIENT
2022-09-28,EQ,792.5,808.2,785.05,790.55,791.65,793.55,796.56,1292.0,720.0,63994,50974987.0,6316,CYIENT
2022-09-27,EQ,806.95,806.95,780.5,799.0,794.0,790.55,793.37,1292.0,720.0,67702,53712611.4,6944,CYIENT
2022-09-26,EQ,796.5,804.25,776.35,803.85,799.05,799.0,791.72,1292.0,720.0,70397,55734525.95,6731,CYIENT
2022-09-23,EQ,819.6,819.6,800.6,811.45,802.3,803.85,806.75,1292.0,720.0,93605,75516196.2,8559,CYIENT
