DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,490.15,502.0,490.15,490.15,494.0,495.25,496.54,651.0,420.0,5808,2883910.2,696,DECCANCE
2022-12-29,EQ,488.85,496.15,484.55,495.85,490.0,490.15,489.39,651.0,420.0,6636,3247578.9,666,DECCANCE
2022-12-28,EQ,491.4,497.75,489.45,493.85,497.0,495.85,494.31,651.0,420.0,8420,4162080.45,872,DECCANCE
2022-12-27,EQ,493.0,497.75,484.1,484.05,492.6,493.85,492.98,651.0,420.0,7084,3492272.3,718,DECCANCE
2022-12-26,EQ,486.0,487.4,475.65,477.15,483.1,484.05,484.32,651.0,420.0,6049,2929653.9,654,DECCANCE
2022-12-23,EQ,481.15,488.95,475.0,491.55,477.95,477.15,480.25,651.0,420.0,7981,3832852.7,968,DECCANCE
2022-12-22,EQ,514.4,514.4,487.5,505.25,493.0,491.55,493.05,651.0,420.0,10310,5083368.85,875,DECCANCE
2022-12-21,EQ,515.0,523.15,500.1,513.65,501.0,505.25,509.38,651.0,420.0,11178,5693801.4,889,DECCANCE
2022-12-20,EQ,527.75,528.0,511.2,517.9,515.0,513.65,514.63,651.0,420.0,4633,2384288.9,522,DECCANCE
2022-12-19,EQ,520.0,528.0,515.0,519.7,515.0,517.9,520.17,651.0,420.0,6765,3518943.65,785,DECCANCE
2022-12-16,EQ,525.0,533.55,517.0,530.4,520.3,519.7,522.37,651.0,420.0,8595,4489797.9,1763,DECCANCE
2022-12-15,EQ,536.35,541.5,525.0,538.9,530.0,530.4,533.34,651.0,420.0,10025,5346706.35,903,DECCANCE
2022-12-14,EQ,533.95,543.0,532.0,533.2,536.8,538.9,537.35,651.0,420.0,5931,3187031.0,878,DECCANCE
2022-12-13,EQ,539.9,542.35,528.05,536.05,533.0,533.2,533.28,651.0,420.0,18311,9764928.55,1291,DECCANCE
2022-12-12,EQ,526.8,538.95,512.6,526.8,538.6,536.05,533.54,651.0,420.0,7104,3790301.4,807,DECCANCE
2022-12-09,EQ,542.0,555.6,520.1,539.55,527.0,526.8,537.44,651.0,420.0,32683,17565288.35,3101,DECCANCE
2022-12-08,EQ,539.2,543.0,534.5,536.75,540.0,539.55,538.84,651.0,420.0,9821,5291921.0,1043,DECCANCE
