DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,712.0,723.45,710.0,708.6,716.1,715.45,716.45,1062.0,360.65,586813,420420388.65,14323,DEEPAKFERT
2022-12-29,EQ,704.0,716.6,694.65,709.65,710.1,708.6,705.53,1062.0,360.65,1021371,720609310.9,24058,DEEPAKFERT
2022-12-28,EQ,657.85,716.0,656.75,657.85,712.0,709.65,692.72,1062.0,360.65,2021010,1399992359.3,46625,DEEPAKFERT
2022-12-27,EQ,674.7,679.45,643.55,660.95,660.85,657.85,655.4,1062.0,360.65,762167,499523860.35,27073,DEEPAKFERT
2022-12-26,EQ,643.0,667.9,641.0,637.1,665.2,660.95,658.89,1062.0,360.65,776654,511729686.2,21543,DEEPAKFERT
2022-12-23,EQ,654.85,674.95,622.0,663.35,643.0,637.1,648.79,1062.0,355.2,1655776,1074255493.4,40776,DEEPAKFERT
2022-12-22,EQ,706.75,718.7,635.0,706.75,661.0,663.35,661.09,1062.0,355.2,3217124,2126804639.0,81922,DEEPAKFERT
2022-12-21,EQ,744.0,754.0,701.2,751.8,705.9,706.75,724.86,1062.0,355.2,1710129,1239601326.2,52886,DEEPAKFERT
2022-12-20,EQ,785.0,788.0,750.0,790.95,751.2,751.8,761.92,1062.0,355.2,998793,761002657.3,53588,DEEPAKFERT
2022-12-19,EQ,825.8,832.0,786.85,820.65,790.7,790.95,800.14,1062.0,355.2,671077,536954467.25,29512,DEEPAKFERT
2022-12-16,EQ,821.8,861.75,810.05,811.7,821.0,820.65,841.74,1062.0,355.2,3562611,2998803418.95,87170,DEEPAKFERT
2022-12-15,EQ,803.75,826.0,797.45,803.9,810.15,811.7,814.92,1062.0,355.2,641439,522723560.45,23398,DEEPAKFERT
2022-12-14,EQ,809.0,811.9,801.1,805.5,803.0,803.9,805.89,1062.0,355.2,166518,134195507.1,7767,DEEPAKFERT
2022-12-13,EQ,800.85,807.8,794.65,794.65,807.0,805.5,801.95,1062.0,355.2,287142,230272220.75,12203,DEEPAKFERT
2022-12-12,EQ,795.8,799.0,788.0,792.15,798.0,794.65,793.96,1062.0,355.2,154002,122271879.05,6414,DEEPAKFERT
2022-12-09,EQ,809.75,809.8,787.55,803.0,796.0,792.15,797.54,1062.0,355.0,214929,171414746.65,9100,DEEPAKFERT
2022-12-08,EQ,801.5,818.0,800.35,800.85,805.0,803.0,810.75,1062.0,355.0,432997,351051093.2,14955,DEEPAKFERT
2022-12-07,EQ,792.0,805.9,780.05,790.5,801.0,800.85,794.33,1062.0,355.0,394270,313180977.4,14641,DEEPAKFERT
2022-12-06,EQ,792.0,803.05,789.0,792.0,789.8,790.5,793.05,1062.0,355.0,355427,281871984.05,11259,DEEPAKFERT
2022-12-05,EQ,799.95,808.6,790.0,800.9,793.15,792.0,798.68,1062.0,355.0,342933,273893879.1,11723,DEEPAKFERT
2022-12-02,EQ,806.0,807.05,798.85,804.75,801.0,800.9,801.63,1062.0,346.75,233949,187539989.75,15703,DEEPAKFERT
2022-12-01,EQ,814.9,815.9,796.0,804.4,803.8,804.75,804.58,1062.0,346.75,355973,286407727.3,21604,DEEPAKFERT
2022-11-30,EQ,793.3,818.9,791.1,789.7,807.05,804.4,804.05,1062.0,346.75,799759,643046855.4,28068,DEEPAKFERT
2022-11-29,EQ,789.35,800.35,787.2,799.2,789.65,789.7,791.71,1062.0,346.75,276046,218547382.1,12579,DEEPAKFERT
2022-11-28,EQ,803.4,817.95,795.0,803.4,798.5,799.2,806.18,1062.0,346.75,409037,329758948.35,13790,DEEPAKFERT
2022-11-25,EQ,802.5,815.05,797.05,800.3,803.0,803.4,805.43,1062.0,343.55,285732,230138511.35,10148,DEEPAKFERT
2022-11-24,EQ,820.0,823.75,796.2,817.9,800.45,800.3,806.73,1062.0,343.55,426783,344296974.4,15610,DEEPAKFERT
2022-11-23,EQ,815.6,829.0,791.1,812.6,812.35,817.9,812.45,1062.0,343.55,1050328,853338171.8,36428,DEEPAKFERT
2022-11-22,EQ,835.7,847.0,805.8,826.2,812.6,812.6,822.96,1062.0,343.55,1055939,868992114.25,39320,DEEPAKFERT
2022-11-21,EQ,782.1,832.45,777.25,767.35,831.7,826.2,807.82,1062.0,343.55,2185558,1765526912.95,64025,DEEPAKFERT
2022-11-18,EQ,799.0,806.2,760.6,794.6,766.1,767.35,772.22,1062.0,343.55,913095,705112868.6,35282,DEEPAKFERT
