DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2021-06-11,EQ,16.7,16.7,16.7,18.55,16.7,16.7,16.7,42.85,12.05,2454074,40983035.8,7853,DHFL
2021-06-10,EQ,18.55,18.55,18.55,20.6,18.55,18.55,18.55,42.85,12.05,1757826,32607672.3,6042,DHFL
2021-06-09,EQ,21.95,21.95,20.6,22.85,20.6,20.6,20.9,42.85,12.05,5080936,106185319.05,16398,DHFL
2021-06-08,EQ,22.85,22.85,20.9,20.8,22.85,22.85,22.54,42.85,12.05,14673229,330666917.85,24863,DHFL
2021-06-07,EQ,20.8,20.8,20.8,18.95,20.8,20.8,20.8,42.85,12.05,2305928,47963302.4,3685,DHFL
2021-06-04,EQ,18.15,18.95,17.85,18.05,18.95,18.95,18.63,42.85,11.75,6039334,112532103.7,6086,DHFL
2021-06-03,EQ,18.1,18.6,17.9,17.95,18.1,18.05,18.13,42.85,11.75,2684348,48674439.6,4593,DHFL
2021-06-02,EQ,17.9,18.2,17.5,17.45,17.95,17.95,17.95,42.85,11.75,1985934,35644873.5,4618,DHFL
2021-06-01,EQ,18.0,18.2,17.25,17.95,17.45,17.45,17.55,42.85,11.75,1728912,30342598.65,4400,DHFL
2021-05-31,EQ,17.75,18.4,17.35,17.55,17.95,17.95,18.08,42.85,11.75,2685090,48537427.5,6169,DHFL
2021-05-28,EQ,18.1,18.2,17.5,18.1,17.55,17.55,17.77,42.85,10.85,1422258,25275740.65,5360,DHFL
2021-05-27,EQ,18.4,18.4,17.75,18.05,18.05,18.1,18.1,42.85,10.85,2361528,42740805.15,8930,DHFL
2021-05-26,EQ,17.25,18.25,16.8,17.4,17.95,18.05,17.72,42.85,10.85,4986722,88388830.3,11259,DHFL
2021-05-25,EQ,19.1,19.1,17.3,18.2,17.3,17.4,17.83,42.85,10.85,8029010,143119705.7,16629,DHFL
2021-05-24,EQ,18.2,18.2,18.2,17.35,18.2,18.2,18.2,42.85,10.85,890083,16199510.6,1178,DHFL
2021-05-21,EQ,17.25,17.35,17.0,16.55,17.35,17.35,17.3,42.85,10.85,1021880,17673992.65,1287,DHFL
2021-05-20,EQ,16.5,16.55,16.25,15.8,16.55,16.55,16.53,42.85,10.85,1423061,23530289.05,1644,DHFL
2021-05-19,EQ,15.0,15.8,14.95,15.05,15.8,15.8,15.5,42.85,10.85,1458394,22602209.0,2383,DHFL
2021-05-18,EQ,15.25,15.3,15.0,15.15,15.1,15.05,15.09,42.85,10.85,1018040,15359324.15,2813,DHFL
2021-05-17,EQ,15.45,15.5,15.05,15.15,15.1,15.15,15.28,42.85,10.85,1014455,15496538.4,2698,DHFL
2021-05-14,EQ,15.5,15.75,15.05,15.45,15.15,15.15,15.24,42.85,10.85,810428,12353982.9,2401,DHFL
2021-05-12,EQ,15.6,15.7,15.35,15.55,15.4,15.45,15.48,42.85,10.85,883064,13667864.0,2380,DHFL
2021-05-11,EQ,15.3,15.7,15.15,15.4,15.6,15.55,15.45,42.85,10.85,1054421,16289916.15,2660,DHFL
2021-05-10,EQ,14.85,15.45,14.75,14.75,15.45,15.4,15.18,42.85,10.85,2090637,31728598.3,4352,DHFL
2021-05-07,EQ,15.0,15.1,14.7,14.95,14.8,14.75,14.82,42.85,10.85,611315,9058961.95,1879,DHFL
2021-05-06,EQ,15.05,15.15,14.9,15.0,14.95,14.95,15.0,42.85,10.85,780890,11712632.55,2052,DHFL
2021-05-05,EQ,14.85,15.1,14.85,14.85,15.0,15.0,14.95,42.85,10.85,598350,8946155.7,1521,DHFL
2021-05-04,EQ,14.9,15.25,14.85,14.9,14.9,14.85,15.0,42.85,10.85,868990,13037275.2,2084,DHFL
2021-05-03,EQ,15.0,15.15,14.8,15.4,14.9,14.9,14.92,42.85,10.85,1186767,17711328.15,2939,DHFL
2021-04-30,EQ,15.7,15.9,15.2,15.7,15.45,15.4,15.43,42.85,10.85,1265302,19529335.05,3281,DHFL
2021-04-29,EQ,16.15,16.15,15.1,15.4,15.7,15.7,15.78,42.85,10.85,3600324,56816419.35,7225,DHFL
2021-04-28,EQ,15.4,15.4,15.4,14.7,15.4,15.4,15.4,42.85,10.85,234438,3610345.2,513,DHFL
2021-04-27,EQ,14.5,14.7,14.2,14.0,14.7,14.7,14.6,42.85,10.85,556051,8120952.55,792,DHFL
2021-04-26,EQ,13.55,14.0,13.5,13.35,14.0,14.0,13.86,42.85,10.85,1045550,14494675.6,1912,DHFL
2021-04-23,EQ,13.3,13.55,13.25,13.4,13.35,13.35,13.36,42.85,10.85,1505612,20120325.2,4042,DHFL
2021-04-22,EQ,13.35,13.6,13.3,13.6,13.5,13.4,13.41,42.85,10.85,1470389,19718204.1,9459,DHFL
2021-04-20,EQ,13.15,13.95,13.15,13.3,13.6,13.6,13.7,42.85,10.85,1931188,26449346.0,5116,DHFL
2021-04-19,EQ,13.85,13.85,13.3,13.95,13.3,13.3,13.33,42.85,10.85,1799409,23980851.1,9630,DHFL
2021-04-16,EQ,14.0,14.15,13.9,13.9,14.05,13.95,13.99,42.85,9.9,1195521,16727824.45,5510,DHFL
2021-04-15,EQ,14.35,14.45,13.8,14.15,13.85,13.9,14.04,42.85,9.9,1660253,23314668.1,5952,DHFL
2021-04-13,EQ,14.15,14.5,13.9,14.6,14.1,14.15,14.06,42.85,9.9,2035616,28626779.15,6759,DHFL
2021-04-12,EQ,15.3,15.35,14.6,15.35,14.6,14.6,14.69,42.85,9.9,1169292,17173313.5,3158,DHFL
2021-04-09,EQ,15.75,15.95,15.3,15.75,15.45,15.35,15.56,42.85,9.5,1432198,22289933.6,4215,DHFL
2021-04-08,EQ,15.7,16.0,15.65,15.65,15.75,15.75,15.82,42.85,9.5,948262,14998941.85,2949,DHFL
2021-04-07,EQ,15.95,16.0,15.55,15.8,15.7,15.65,15.73,42.85,9.5,1077820,16949057.1,3184,DHFL
2021-04-06,EQ,16.4,16.4,15.75,16.15,15.85,15.8,15.96,42.85,9.5,1295885,20681003.2,3749,DHFL
2021-04-05,EQ,16.35,17.1,15.85,16.3,16.1,16.15,16.23,42.85,9.5,1679530,27264386.65,3990,DHFL
2021-04-01,EQ,15.65,16.4,15.65,15.65,16.4,16.3,16.24,42.85,8.35,1792802,29107898.05,4327,DHFL
2021-03-31,EQ,16.4,16.4,15.5,16.05,15.5,15.65,15.8,42.85,8.35,1714531,27086250.8,4582,DHFL
2021-03-30,EQ,15.65,16.45,15.5,15.95,16.3,16.05,16.0,42.85,8.35,1638867,26224972.05,4278,DHFL
2021-03-26,EQ,16.05,17.25,15.85,16.6,15.9,15.95,16.36,42.85,8.35,2219359,36297758.2,5865,DHFL
2021-03-25,EQ,16.75,16.85,16.6,17.45,16.6,16.6,16.64,42.85,8.35,1601005,26648704.0,4269,DHFL
2021-03-24,EQ,18.15,18.15,17.35,18.15,17.45,17.45,17.68,42.85,8.35,1204610,21291943.6,5117,DHFL
2021-03-23,EQ,17.95,18.3,17.95,17.8,18.25,18.15,18.17,42.85,8.35,1140955,20727259.25,3687,DHFL
2021-03-22,EQ,17.45,18.4,17.05,17.7,17.85,17.8,17.87,42.85,8.35,1552788,27752544.75,4636,DHFL
2021-03-19,EQ,18.3,18.5,17.4,18.25,17.75,17.7,17.74,42.85,8.35,2038849,36162065.8,6236,DHFL
2021-03-18,EQ,19.4,20.1,18.25,19.2,18.3,18.25,18.93,42.85,8.35,2561809,48482245.3,6989,DHFL
2021-03-17,EQ,17.6,19.2,17.6,18.3,19.2,19.2,18.99,42.85,8.35,1892955,35940142.65,5037,DHFL
2021-03-16,EQ,19.05,19.2,18.3,19.25,18.3,18.3,18.5,42.85,8.35,1692686,31309081.3,5318,DHFL
2021-03-15,EQ,20.25,20.7,19.25,20.25,19.25,19.25,19.39,42.85,8.35,1782271,34561847.2,5650,DHFL
2021-03-12,EQ,20.5,21.35,19.9,20.7,20.25,20.25,20.66,42.85,8.35,2699334,55772275.95,6147,DHFL
2021-03-10,EQ,21.3,21.8,20.5,21.0,20.75,20.7,20.95,42.85,8.35,1993829,41770096.65,7017,DHFL
2021-03-09,EQ,20.6,22.7,20.6,21.65,20.7,21.0,21.39,42.85,8.35,9063837,193901618.1,18622,DHFL
2021-03-08,EQ,21.65,22.0,21.65,22.75,21.65,21.65,21.66,42.85,8.35,964958,20899868.15,2333,DHFL
2021-03-05,EQ,24.85,25.05,22.75,23.9,22.75,22.75,23.66,42.85,8.35,8310000,196605542.95,17673,DHFL
2021-03-04,EQ,23.9,23.9,23.5,22.8,23.9,23.9,23.86,42.85,8.35,1499544,35786273.95,2844,DHFL
