DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,2472.35,2508.4,2407.55,2476.15,2433.0,2428.55,2444.58,2813.55,1678.65,5849,14298346.5,1834,DYNAMATECH
2022-12-29,EQ,2453.0,2550.0,2407.7,2456.2,2462.0,2476.15,2468.49,2813.55,1678.65,14782,36489283.75,2250,DYNAMATECH
2022-12-28,EQ,2481.0,2510.0,2450.0,2479.15,2452.2,2456.2,2479.74,2813.55,1678.65,3136,7776455.7,1023,DYNAMATECH
2022-12-27,EQ,2387.9,2498.35,2387.9,2385.2,2470.0,2479.15,2453.3,2813.55,1678.65,9121,22376571.2,2077,DYNAMATECH
2022-12-26,EQ,2420.0,2435.0,2345.05,2381.1,2381.0,2385.2,2396.17,2813.55,1678.65,5603,13425712.85,1855,DYNAMATECH
2022-12-23,EQ,2340.0,2399.0,2300.0,2362.4,2374.5,2381.1,2345.7,2813.55,1678.65,9327,21878382.7,2269,DYNAMATECH
2022-12-22,EQ,2477.0,2514.05,2321.75,2460.85,2360.0,2362.4,2384.53,2813.55,1678.65,14995,35756036.55,3909,DYNAMATECH
2022-12-21,EQ,2623.85,2650.0,2426.0,2609.9,2450.0,2460.85,2546.72,2813.55,1678.65,15506,39489428.1,4354,DYNAMATECH
2022-12-20,EQ,2608.3,2633.4,2560.0,2608.55,2600.0,2609.9,2596.39,2813.55,1678.65,5365,13929619.8,1346,DYNAMATECH
2022-12-19,EQ,2585.0,2617.5,2584.55,2601.75,2617.5,2608.55,2603.44,2813.55,1678.65,2295,5974898.25,521,DYNAMATECH
2022-12-16,EQ,2571.0,2635.05,2571.0,2602.5,2600.0,2601.75,2603.66,2813.55,1678.65,8436,21964471.25,1337,DYNAMATECH
2022-12-15,EQ,2620.15,2640.0,2589.05,2620.1,2600.0,2602.5,2607.45,2813.55,1678.65,5452,14215829.75,1280,DYNAMATECH
