DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,38.8,39.4,38.2,38.5,38.35,38.45,38.83,48.0,26.5,1195226,46410776.8,3451,ELECTCAST
2022-12-29,EQ,38.0,38.9,37.8,38.2,38.55,38.5,38.4,48.0,26.5,771033,29608086.1,2315,ELECTCAST
2022-12-28,EQ,38.65,39.6,38.0,38.25,38.1,38.2,38.62,48.0,26.5,1378560,53242105.95,4268,ELECTCAST
2022-12-27,EQ,37.2,38.6,37.0,36.85,38.35,38.25,37.99,48.0,26.5,1149045,43657283.55,4043,ELECTCAST
2022-12-26,EQ,35.05,37.2,35.0,35.25,37.2,36.85,36.36,48.0,26.5,650416,23651235.55,3101,ELECTCAST
2022-12-23,EQ,35.65,36.0,35.1,36.05,35.3,35.25,35.55,48.0,26.5,1145238,40709778.6,3806,ELECTCAST
2022-12-22,EQ,37.0,37.5,35.7,36.65,35.9,36.05,36.38,48.0,26.5,1143497,41603824.95,4550,ELECTCAST
2022-12-21,EQ,39.05,39.4,36.4,38.8,36.8,36.65,37.65,48.0,26.5,1613456,60741525.2,5414,ELECTCAST
2022-12-20,EQ,39.4,39.9,38.6,39.4,38.8,38.8,39.04,48.0,26.5,889577,34726072.45,2563,ELECTCAST
2022-12-19,EQ,38.05,39.6,37.5,37.9,39.55,39.4,38.76,48.0,26.5,1158385,44898438.95,4218,ELECTCAST
2022-12-16,EQ,38.5,39.05,37.75,38.65,38.1,37.9,38.26,48.0,26.5,987448,37777057.85,3652,ELECTCAST
2022-12-15,EQ,39.35,40.0,38.5,39.35,38.75,38.65,38.98,48.0,26.5,1035646,40371240.25,3478,ELECTCAST
2022-12-14,EQ,39.0,40.0,38.95,38.95,39.35,39.35,39.52,48.0,26.5,987455,39026353.05,3452,ELECTCAST
2022-12-13,EQ,38.95,39.45,38.75,38.8,38.95,38.95,39.06,48.0,26.5,627787,24521830.1,2238,ELECTCAST
2022-12-12,EQ,39.15,39.3,38.55,39.35,38.9,38.8,38.94,48.0,26.5,784098,30529306.35,3255,ELECTCAST
2022-12-09,EQ,39.6,40.0,39.0,39.6,39.3,39.35,39.51,48.0,26.5,925369,36562044.6,2732,ELECTCAST
2022-12-08,EQ,39.6,40.0,39.45,39.55,39.55,39.6,39.63,48.0,26.5,742095,29408768.85,2293,ELECTCAST
2022-12-07,EQ,39.85,40.2,39.45,39.8,39.6,39.55,39.79,48.0,26.5,644444,25642645.25,2230,ELECTCAST
2022-12-06,EQ,40.05,40.3,39.65,40.15,39.85,39.8,39.96,48.0,26.5,840669,33590138.45,2295,ELECTCAST
2022-12-05,EQ,39.95,40.7,39.95,40.05,40.05,40.15,40.29,48.0,26.5,1022223,41182507.65,3050,ELECTCAST
2022-12-02,EQ,39.6,40.35,39.6,39.6,40.0,40.05,39.97,48.0,26.5,826378,33030628.75,2705,ELECTCAST
2022-12-01,EQ,39.85,40.6,39.5,39.7,39.6,39.6,39.93,48.0,26.5,1273935,50862537.75,3863,ELECTCAST
2022-11-30,EQ,40.2,40.6,39.5,40.35,39.7,39.7,40.01,48.0,26.5,1096781,43885435.1,3351,ELECTCAST
2022-11-29,EQ,40.65,41.25,40.2,40.65,40.3,40.35,40.78,48.0,26.5,1132505,46184314.95,3149,ELECTCAST
2022-11-28,EQ,41.05,41.65,40.5,41.05,40.6,40.65,41.01,48.0,26.5,859026,35230502.7,2830,ELECTCAST
2022-11-25,EQ,40.5,41.55,40.5,40.7,41.15,41.05,41.23,48.0,26.5,705877,29102249.95,2433,ELECTCAST
2022-11-24,EQ,41.65,41.65,40.55,41.35,40.75,40.7,40.85,48.0,26.5,862069,35211435.95,3674,ELECTCAST
2022-11-23,EQ,40.85,42.3,40.85,41.0,41.2,41.35,41.52,48.0,26.5,1219026,50612187.55,3369,ELECTCAST
2022-11-22,EQ,41.2,41.45,40.5,41.05,41.0,41.0,40.9,48.0,26.5,1226602,50172442.15,2898,ELECTCAST
2022-11-21,EQ,41.4,41.4,40.6,41.1,41.05,41.05,41.04,48.0,26.5,1110688,45577899.0,2933,ELECTCAST
2022-11-18,EQ,41.6,41.6,40.55,41.6,41.25,41.1,41.13,48.0,26.5,1293047,53184699.4,4131,ELECTCAST
2022-11-17,EQ,41.2,42.55,40.75,41.05,41.5,41.6,41.77,48.0,26.5,2157416,90121568.8,5824,ELECTCAST
2022-11-16,EQ,41.95,42.6,40.8,41.85,41.0,41.05,41.68,48.0,26.5,2388770,99555777.3,6716,ELECTCAST
2022-11-15,EQ,39.9,42.65,38.8,40.05,41.5,41.85,41.21,48.0,26.5,5863191,241605590.35,15384,ELECTCAST
2022-11-14,EQ,42.5,42.5,39.1,44.1,39.9,40.05,40.15,48.0,26.5,4805821,192945637.7,14329,ELECTCAST
2022-11-11,EQ,44.55,45.7,43.65,43.85,43.75,44.1,44.68,48.0,26.5,4051974,181061439.0,12005,ELECTCAST
2022-11-10,EQ,41.6,45.75,41.25,41.6,44.05,43.85,44.43,48.0,26.5,8418011,373974975.35,21957,ELECTCAST
2022-11-09,EQ,42.35,43.4,41.4,42.35,41.7,41.6,42.42,48.0,26.5,1846405,78322950.75,5208,ELECTCAST
2022-11-07,EQ,42.0,42.9,41.6,41.75,42.3,42.35,42.41,48.0,26.5,1772697,75180055.6,5135,ELECTCAST
2022-11-04,EQ,41.75,42.5,41.0,41.6,41.7,41.75,41.75,48.0,26.5,1877737,78394257.1,4781,ELECTCAST
2022-11-03,EQ,41.7,42.9,41.3,41.95,41.5,41.6,42.0,48.0,26.5,1765444,74154634.8,5522,ELECTCAST
2022-11-02,EQ,40.95,42.4,40.0,40.75,41.9,41.95,41.02,48.0,26.5,4201907,172352186.7,6925,ELECTCAST
2022-11-01,EQ,40.2,41.0,39.8,40.15,40.8,40.75,40.41,48.0,26.5,1133856,45821366.6,3824,ELECTCAST
2022-10-31,EQ,41.5,41.65,39.9,41.35,40.1,40.15,40.66,48.0,26.5,1299223,52829920.25,4483,ELECTCAST
2022-10-28,EQ,40.0,42.0,39.9,39.8,41.3,41.35,41.43,48.0,26.5,4728577,195883118.15,9047,ELECTCAST
2022-10-27,EQ,39.2,39.95,39.15,39.05,39.85,39.8,39.63,48.0,26.5,734956,29124512.25,2903,ELECTCAST
2022-10-25,EQ,39.9,39.9,38.9,39.7,39.1,39.05,39.15,48.0,26.5,600166,23494826.35,2264,ELECTCAST
2022-10-24,EQ,39.0,39.95,38.95,39.0,39.9,39.7,39.6,48.0,26.5,345303,13672396.85,1822,ELECTCAST
