DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2021-09-30,EQ,434.94,435.9,430.01,434.94,435.5,435.33,433.04,448.13,321.0,359,155460.97,93,EQ30
2021-09-29,EQ,436.57,436.57,423.95,436.57,436.0,434.94,429.75,448.13,321.0,993,426740.93,112,EQ30
2021-09-28,EQ,437.49,438.99,432.16,437.49,433.0,436.57,436.68,448.13,321.0,355,155021.2,82,EQ30
2021-09-27,EQ,439.89,439.89,431.8,435.38,437.6,437.49,435.12,448.13,321.0,485,211034.45,144,EQ30
2021-09-24,EQ,433.12,438.0,426.5,433.12,435.45,435.38,433.22,448.13,321.0,862,373436.11,156,EQ30
2021-09-23,EQ,432.9,434.0,428.1,431.4,434.0,433.12,431.34,448.13,321.0,325,140187.09,110,EQ30
2021-09-22,EQ,433.0,433.38,427.01,428.24,432.9,431.4,431.44,448.13,321.0,617,266199.22,91,EQ30
2021-09-21,EQ,426.01,431.99,415.0,429.26,428.98,428.24,425.02,448.13,321.0,1160,493028.25,234,EQ30
2021-09-20,EQ,432.65,432.65,424.2,424.16,430.98,429.26,428.77,448.13,321.0,619,265406.04,149,EQ30
2021-09-17,EQ,430.0,441.0,419.95,426.61,425.0,424.16,429.82,448.13,321.0,2549,1095612.03,142,EQ30
2021-09-16,EQ,419.4,440.89,415.0,414.81,427.19,426.61,424.98,448.13,321.0,1210,514226.41,97,EQ30
2021-09-15,EQ,416.0,418.0,406.5,411.84,414.21,414.81,415.35,448.13,321.0,1458,605576.5,117,EQ30
2021-09-14,EQ,413.0,413.94,402.02,405.95,412.5,411.84,409.84,448.13,321.0,995,407788.37,254,EQ30
2021-09-13,EQ,408.0,408.0,395.0,401.67,406.0,405.95,404.36,448.13,321.0,507,205009.34,229,EQ30
2021-09-09,EQ,407.7,407.7,400.2,407.74,402.93,401.67,402.7,448.13,317.18,2034,819096.28,366,EQ30
2021-09-08,EQ,414.0,414.0,404.1,409.39,408.0,407.74,406.58,448.13,317.18,460,187025.66,102,EQ30
2021-09-07,EQ,414.0,414.0,405.51,409.58,409.39,409.39,409.56,448.13,317.18,269,110171.83,101,EQ30
2021-09-06,EQ,403.0,415.0,402.0,407.79,410.5,409.58,408.36,448.13,317.18,1305,532910.36,118,EQ30
2021-09-03,EQ,446.0,446.0,400.2,405.72,407.93,407.79,403.99,448.13,314.1,809,326825.35,229,EQ30
2021-09-02,EQ,405.0,409.98,400.64,403.09,406.9,405.72,404.67,448.13,314.1,311,125851.01,62,EQ30
2021-09-01,EQ,404.0,407.0,402.0,401.82,402.63,403.09,404.26,448.13,314.1,236,95404.88,77,EQ30
2021-08-31,EQ,414.25,414.25,395.1,402.32,401.5,401.82,401.2,448.13,314.1,747,299697.5,161,EQ30
2021-08-30,EQ,406.8,406.8,400.0,398.78,405.0,402.32,401.5,448.13,314.1,1179,473372.12,152,EQ30
2021-08-27,EQ,414.25,414.25,393.0,398.5,401.0,398.78,397.51,448.13,314.1,622,247248.84,266,EQ30
2021-08-26,EQ,397.0,400.0,396.0,397.25,398.5,398.5,398.36,448.13,314.1,362,144204.8,90,EQ30
2021-08-25,EQ,398.0,398.0,394.0,395.46,397.3,397.25,396.67,448.13,314.1,277,109878.72,83,EQ30
2021-08-24,EQ,398.0,398.0,392.53,394.86,395.47,395.46,395.3,448.13,314.1,349,137960.3,89,EQ30
2021-08-23,EQ,398.99,398.99,389.0,393.28,394.85,394.86,392.17,448.13,314.1,319,125100.8,172,EQ30
2021-08-20,EQ,394.86,394.99,383.0,394.86,393.0,393.28,392.47,448.13,310.08,333,130693.14,160,EQ30
2021-08-18,EQ,395.0,399.6,394.0,396.0,394.0,394.86,395.14,448.13,310.08,549,216929.9,78,EQ30
2021-08-17,EQ,395.0,401.47,392.01,390.83,396.0,396.0,395.44,448.13,310.08,870,344035.62,63,EQ30
2021-08-16,EQ,392.5,410.0,390.0,392.57,390.7,390.83,393.53,448.13,310.08,603,237297.07,189,EQ30
2021-08-13,EQ,391.0,395.0,390.0,391.03,395.0,392.57,391.7,448.13,310.05,396,155111.71,85,EQ30
2021-08-12,EQ,389.0,393.0,389.0,388.95,391.0,391.03,391.31,448.13,310.05,248,97044.95,80,EQ30
2021-08-11,EQ,393.0,393.0,386.26,391.99,388.0,388.95,390.44,448.13,310.05,326,127283.55,81,EQ30
2021-08-10,EQ,390.0,393.85,388.35,389.26,392.0,391.99,391.91,448.13,310.05,476,186548.21,49,EQ30
2021-08-09,EQ,393.99,393.99,385.5,392.96,389.43,389.26,388.87,448.13,310.05,1453,565021.78,120,EQ30
2021-08-06,EQ,386.01,394.0,386.01,391.93,394.0,392.96,390.23,448.13,302.93,175,68290.77,87,EQ30
2021-08-05,EQ,392.74,394.0,388.61,384.43,394.0,391.93,390.96,448.13,302.93,654,255689.19,54,EQ30
2021-08-04,EQ,390.05,394.99,380.1,390.05,380.2,384.43,387.38,448.13,302.93,667,258379.73,113,EQ30
2021-08-03,EQ,389.9,394.85,386.01,388.39,390.05,390.05,391.42,448.13,302.93,387,151478.12,63,EQ30
2021-08-02,EQ,378.05,388.79,378.05,385.17,388.39,388.39,387.41,448.13,302.93,1331,515649.25,150,EQ30
2021-07-30,EQ,387.4,387.4,382.51,387.4,385.0,385.17,385.47,448.13,300.15,235,90584.82,62,EQ30
2021-07-29,EQ,387.9,388.7,382.5,387.21,387.4,387.4,385.75,448.13,300.15,458,176674.64,173,EQ30
2021-07-28,EQ,388.0,388.88,380.3,388.0,387.5,387.21,385.3,448.13,300.15,476,183401.14,114,EQ30
2021-07-27,EQ,389.0,389.0,385.09,388.74,388.0,388.0,386.99,448.13,300.15,285,110291.29,36,EQ30
2021-07-26,EQ,389.0,389.0,386.0,388.19,388.74,388.74,388.34,448.13,300.15,197,76502.96,30,EQ30
2021-07-23,EQ,388.5,388.5,386.0,386.99,388.2,388.19,387.6,448.13,300.15,117,45348.87,90,EQ30
2021-07-22,EQ,388.99,388.99,380.5,385.01,386.0,386.99,387.64,448.13,300.15,331,128308.54,92,EQ30
2021-07-20,EQ,389.6,389.6,385.0,385.36,385.01,385.01,385.48,448.13,300.15,233,89816.97,37,EQ30
2021-07-19,EQ,389.8,390.0,382.0,389.8,385.5,385.36,387.11,448.13,300.15,563,217940.7,150,EQ30
2021-07-16,EQ,386.1,389.9,386.1,389.0,389.8,389.8,389.47,448.13,294.7,178,69326.39,64,EQ30
2021-07-15,EQ,390.5,390.5,385.07,389.45,389.0,389.0,389.08,448.13,294.7,331,128786.19,67,EQ30
2021-07-14,EQ,390.7,390.7,389.0,389.45,389.45,389.45,389.74,448.13,294.7,172,67035.68,17,EQ30
2021-07-13,EQ,390.0,390.07,386.5,390.07,389.9,389.45,389.9,448.13,294.7,275,107222.21,36,EQ30
2021-07-12,EQ,388.3,390.5,385.51,388.35,390.45,390.07,389.78,448.13,294.7,161,62754.8,56,EQ30
2021-07-09,EQ,385.05,389.0,380.15,387.29,388.85,388.35,387.77,448.13,292.0,298,115554.74,110,EQ30
2021-07-08,EQ,390.0,390.0,378.95,389.05,389.45,387.29,385.76,448.13,292.0,634,244569.09,209,EQ30
2021-07-07,EQ,389.5,389.5,387.85,386.59,389.1,389.05,389.09,448.13,292.0,449,174699.62,28,EQ30
2021-07-06,EQ,388.0,388.0,381.55,386.37,388.0,386.59,387.14,448.13,292.0,340,131626.28,52,EQ30
2021-07-05,EQ,388.7,388.7,381.16,384.83,385.5,386.37,386.19,448.13,292.0,461,178035.13,114,EQ30
2021-07-02,EQ,380.7,384.95,380.1,380.92,384.84,384.83,382.73,448.13,276.1,672,257196.32,127,EQ30
2021-07-01,EQ,417.8,417.8,378.01,380.04,378.01,380.92,385.18,448.13,276.1,519,199908.97,148,EQ30
2021-06-30,EQ,388.0,388.0,376.2,384.5,379.1,380.04,382.13,448.13,276.1,414,158201.39,136,EQ30
2021-06-29,EQ,384.53,384.53,379.0,384.53,384.5,384.5,382.69,448.13,276.1,268,102561.08,70,EQ30
2021-06-28,EQ,382.9,390.6,376.1,382.9,385.0,384.53,385.65,448.13,276.1,522,201309.86,113,EQ30
2021-06-25,EQ,380.05,384.9,375.1,374.59,384.0,382.9,380.05,448.13,276.1,254,96531.94,82,EQ30
2021-06-24,EQ,385.95,386.0,373.0,379.96,373.0,374.59,376.37,448.13,276.1,2424,912315.76,296,EQ30
2021-06-23,EQ,390.0,390.0,378.0,383.74,380.0,379.96,381.56,448.13,276.1,904,344933.73,129,EQ30
2021-06-22,EQ,388.95,388.95,382.55,383.57,383.95,383.74,384.09,448.13,276.1,470,180522.28,138,EQ30
2021-06-21,EQ,394.99,394.99,381.11,387.94,381.11,383.57,384.65,448.13,276.1,1259,484271.34,272,EQ30
2021-06-18,EQ,397.0,397.0,380.25,386.03,388.0,387.94,388.95,448.13,276.1,983,382335.35,131,EQ30
2021-06-17,EQ,388.05,397.8,386.0,390.84,386.0,386.03,388.62,448.13,276.1,2229,866229.13,218,EQ30
2021-06-16,EQ,403.0,403.0,387.0,384.89,391.0,390.84,392.09,448.13,276.1,366,143506.17,133,EQ30
2021-06-15,EQ,418.0,418.0,384.0,395.1,384.0,384.89,387.43,448.13,276.1,3075,1191349.63,334,EQ30
2021-06-14,EQ,415.0,415.0,385.0,394.39,395.1,395.1,397.69,448.13,276.1,1411,561145.59,215,EQ30
2021-06-11,EQ,400.0,418.0,383.33,399.99,393.5,394.39,389.59,448.13,276.1,5003,1949126.0,407,EQ30
2021-06-10,EQ,412.9,412.9,390.01,405.14,399.99,399.99,402.83,448.13,276.1,876,352881.71,255,EQ30
2021-06-09,EQ,435.2,435.2,403.0,408.7,405.99,405.14,406.93,448.13,276.1,999,406523.18,223,EQ30
2021-06-08,EQ,410.05,423.89,408.0,410.25,410.0,408.7,409.91,448.13,276.1,1377,564450.83,158,EQ30
2021-06-07,EQ,412.0,424.36,408.0,420.89,410.0,410.25,413.3,448.13,276.1,1280,529022.0,332,EQ30
2021-06-04,EQ,419.0,424.3,412.05,409.71,420.89,420.89,419.95,448.13,258.7,339,142363.54,130,EQ30
2021-06-03,EQ,421.0,421.0,408.0,416.83,409.0,409.71,409.74,448.13,258.7,2534,1038293.17,222,EQ30
2021-06-02,EQ,421.0,431.0,416.0,418.06,416.0,416.83,419.75,448.13,258.7,1356,569179.65,117,EQ30
2021-06-01,EQ,447.0,447.0,408.0,431.17,420.0,418.06,419.56,448.13,258.7,1599,670869.49,253,EQ30
2021-05-31,EQ,448.0,448.0,428.0,447.75,430.0,431.17,431.46,448.13,258.7,1735,748583.21,299,EQ30
2021-05-28,EQ,448.0,448.13,425.6,441.75,447.75,447.75,441.51,448.13,258.7,69,30464.33,19,EQ30
2021-05-27,EQ,445.28,445.28,440.0,441.97,442.0,441.75,442.09,445.28,258.7,51,22546.56,11,EQ30
2021-05-26,EQ,441.97,441.97,441.97,441.1,441.97,441.97,441.97,441.97,258.7,50,22098.5,9,EQ30
2021-05-25,EQ,441.1,441.1,425.0,435.0,441.1,441.1,440.71,441.28,258.7,41,18069.0,15,EQ30
2021-05-24,EQ,435.0,435.0,435.0,435.0,435.0,435.0,435.0,441.28,258.7,6,2610.0,4,EQ30
2021-05-21,EQ,439.0,440.5,435.0,439.0,435.0,435.0,437.65,441.28,255.0,53,23195.26,18,EQ30
2021-05-20,EQ,439.72,439.72,421.0,430.0,439.0,439.0,438.16,441.28,255.0,94,41187.32,27,EQ30
2021-05-19,EQ,416.13,433.89,416.13,428.99,430.0,430.0,429.03,441.28,255.0,100,42902.81,52,EQ30
2021-05-18,EQ,429.4,429.4,415.0,422.85,428.99,428.99,424.91,441.28,255.0,115,48865.11,32,EQ30
2021-05-17,EQ,428.2,428.2,411.0,429.62,420.0,422.85,421.47,441.28,255.0,35,14751.55,22,EQ30
2021-05-14,EQ,428.83,429.62,428.83,428.83,429.62,429.62,428.96,441.28,255.0,30,12868.85,3,EQ30
2021-05-12,EQ,428.83,428.83,427.5,422.5,428.83,428.83,428.18,441.28,255.0,214,91631.3,12,EQ30
2021-05-11,EQ,426.38,426.38,421.7,421.7,422.5,422.5,424.04,441.28,255.0,54,22898.4,12,EQ30
2021-05-10,EQ,421.7,421.7,420.0,421.7,421.7,421.7,421.57,441.28,255.0,162,68295.0,17,EQ30
2021-05-07,EQ,421.7,421.7,421.69,412.05,421.7,421.7,421.7,441.28,255.0,36,15181.11,13,EQ30
2021-05-06,EQ,419.41,419.41,412.05,421.0,412.05,412.05,413.89,441.28,255.0,8,3311.12,3,EQ30
2021-05-05,EQ,421.08,421.08,415.0,415.0,421.0,421.0,416.09,441.28,255.0,83,34535.08,13,EQ30
2021-05-04,EQ,419.38,419.38,415.0,423.5,415.0,415.0,415.71,441.28,255.0,230,95612.96,27,EQ30
2021-05-03,EQ,423.5,423.51,423.49,424.2,423.5,423.5,423.5,441.28,255.0,41,17363.48,14,EQ30
2021-04-30,EQ,424.5,424.52,415.0,419.64,424.2,424.2,424.12,441.28,255.0,235,99667.1,21,EQ30
2021-04-29,EQ,419.64,419.64,419.0,416.91,419.64,419.64,419.63,441.28,255.0,99,41543.72,13,EQ30
2021-04-28,EQ,416.0,416.91,416.0,416.1,416.91,416.91,416.6,441.28,255.0,174,72488.59,10,EQ30
2021-04-27,EQ,416.1,416.1,412.01,416.1,416.1,416.1,415.62,441.28,255.0,241,100165.58,14,EQ30
2021-04-26,EQ,418.04,418.04,416.1,415.7,416.1,416.1,416.24,441.28,255.0,81,33715.74,6,EQ30
2021-04-23,EQ,415.7,415.7,413.0,419.28,415.7,415.7,415.65,441.28,255.0,52,21613.7,14,EQ30
2021-04-22,EQ,412.25,419.28,412.25,425.0,419.28,419.28,418.62,441.28,255.0,39,16326.08,16,EQ30
2021-04-20,EQ,420.0,425.0,416.0,421.99,425.0,425.0,424.84,441.28,255.0,107,45457.58,13,EQ30
2021-04-19,EQ,419.0,423.79,410.0,420.7,421.99,421.99,418.65,441.28,255.0,192,80380.73,26,EQ30
2021-04-16,EQ,420.7,420.7,419.0,434.0,420.7,420.7,420.6,441.28,255.0,154,64771.8,30,EQ30
2021-04-13,EQ,434.0,434.0,434.0,431.6,434.0,434.0,434.0,441.28,255.0,3,1302.0,1,EQ30
2021-04-12,EQ,433.61,433.61,420.7,433.62,421.0,431.6,432.39,441.28,255.0,184,79558.88,22,EQ30
2021-04-09,EQ,420.7,433.62,420.7,421.0,433.62,433.62,421.16,441.28,255.0,57,24006.24,8,EQ30
2021-04-08,EQ,421.0,421.0,421.0,420.7,421.0,421.0,421.0,441.28,255.0,1,421.0,1,EQ30
2021-04-06,EQ,420.7,420.7,420.7,429.0,420.7,420.7,420.7,441.28,255.0,3,1262.1,3,EQ30
2021-04-05,EQ,429.0,429.0,429.0,432.0,429.0,429.0,429.0,441.28,255.0,150,64350.0,22,EQ30
2021-04-01,EQ,411.0,432.12,411.0,416.0,432.0,432.0,425.83,441.28,255.0,73,31085.85,17,EQ30
2021-03-31,EQ,416.01,422.49,416.0,416.0,416.0,416.0,418.83,441.28,255.0,246,103031.53,11,EQ30
2021-03-30,EQ,412.0,416.06,408.05,424.0,416.0,416.0,412.78,441.28,255.0,117,48295.46,31,EQ30
2021-03-26,EQ,410.05,424.75,410.05,429.75,424.0,424.0,414.29,441.28,238.0,142,58829.76,14,EQ30
