DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,1723.4,1758.2,1706.05,1714.8,1736.1,1734.45,1736.46,2087.0,806.6,21002,36469232.5,3897,FIEMIND
2022-12-29,EQ,1729.6,1732.6,1690.1,1730.1,1711.0,1714.8,1710.49,2087.0,806.6,15034,25715526.25,2960,FIEMIND
2022-12-28,EQ,1718.0,1743.95,1712.45,1719.7,1732.0,1730.1,1729.86,2087.0,806.6,15561,26918296.35,2862,FIEMIND
2022-12-27,EQ,1758.0,1798.95,1715.0,1753.4,1721.0,1719.7,1742.93,2087.0,806.6,37645,65612510.25,5897,FIEMIND
2022-12-26,EQ,1710.95,1775.45,1690.15,1722.9,1748.0,1753.4,1736.89,2087.0,806.6,28151,48895326.65,5114,FIEMIND
2022-12-23,EQ,1755.05,1766.75,1702.2,1790.95,1711.0,1722.9,1743.63,2087.0,806.6,37047,64596313.6,6487,FIEMIND
2022-12-22,EQ,1825.0,1839.45,1760.0,1802.15,1782.0,1790.95,1781.39,2087.0,806.6,48333,86100041.3,8487,FIEMIND
2022-12-21,EQ,1893.25,1919.0,1783.3,1879.6,1814.0,1802.15,1847.35,2087.0,806.6,39891,73692800.65,6952,FIEMIND
2022-12-20,EQ,1854.7,1885.95,1843.65,1843.45,1878.0,1879.6,1869.46,2087.0,806.6,21344,39901794.7,4902,FIEMIND
2022-12-19,EQ,1869.95,1879.95,1833.5,1868.05,1839.5,1843.45,1859.38,2087.0,806.6,13917,25876922.2,2497,FIEMIND
2022-12-16,EQ,1849.0,1888.85,1805.05,1852.45,1868.95,1868.05,1850.63,2087.0,806.6,32547,60232424.6,5770,FIEMIND
2022-12-15,EQ,1870.0,1871.2,1846.0,1850.8,1847.05,1852.45,1858.08,2087.0,806.6,22212,41271577.8,3481,FIEMIND
2022-12-14,EQ,1842.05,1920.7,1841.35,1843.9,1842.0,1850.8,1876.74,2087.0,806.6,49579,93046858.35,9109,FIEMIND
2022-12-13,EQ,1866.85,1874.95,1834.1,1857.95,1841.5,1843.9,1856.46,2087.0,806.6,16830,31244183.0,2745,FIEMIND
2022-12-12,EQ,1825.05,1884.85,1818.1,1857.0,1853.0,1857.95,1855.5,2087.0,806.6,18305,33964966.05,4213,FIEMIND
2022-12-09,EQ,1889.9,1895.45,1835.05,1880.45,1857.0,1857.0,1857.08,2087.0,806.6,24463,45429674.4,3791,FIEMIND
2022-12-08,EQ,1890.0,1895.05,1871.0,1877.15,1889.0,1880.45,1882.56,2087.0,806.6,14568,27425108.85,2446,FIEMIND
2022-12-07,EQ,1909.25,1917.95,1851.05,1893.15,1884.4,1877.15,1879.59,2087.0,806.6,22132,41599029.0,3645,FIEMIND
2022-12-06,EQ,1930.0,1935.9,1832.55,1928.25,1889.0,1893.15,1874.38,2087.0,806.6,98585,184785393.1,14424,FIEMIND
2022-12-05,EQ,2000.0,2000.0,1912.6,1984.7,1922.05,1928.25,1958.25,2087.0,806.6,49212,96369543.05,8775,FIEMIND
2022-12-02,EQ,1971.8,1999.35,1954.85,1954.7,1991.0,1984.7,1976.36,2087.0,806.6,35965,71079859.4,5448,FIEMIND
