DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,148.85,148.95,143.5,147.7,145.2,144.25,145.74,221.9,126.0,437954,63827199.05,5092,GATI
2022-12-29,EQ,144.0,149.35,144.0,145.2,147.4,147.7,147.35,221.9,126.0,945912,139376436.75,10493,GATI
2022-12-28,EQ,135.0,147.25,134.8,135.7,146.0,145.2,141.47,221.9,126.0,2736445,387127143.35,23512,GATI
2022-12-27,EQ,136.95,142.85,134.5,134.9,134.95,135.7,137.57,221.9,126.0,1018238,140079162.25,9892,GATI
2022-12-26,EQ,136.55,140.4,134.5,135.9,134.95,134.9,137.42,221.9,126.0,379454,52144827.9,8293,GATI
2022-12-23,EQ,138.0,140.25,134.1,138.8,136.7,135.9,135.98,221.9,126.0,261189,35516013.7,5748,GATI
2022-12-22,EQ,146.75,146.75,137.6,145.1,139.95,138.8,140.47,221.9,126.0,394255,55379395.65,9331,GATI
2022-12-21,EQ,150.9,152.0,144.95,149.7,145.2,145.1,147.44,221.9,126.0,468421,69062961.2,8193,GATI
2022-12-20,EQ,154.25,155.95,147.2,155.05,150.0,149.7,150.75,221.9,126.0,504812,76101065.95,7430,GATI
2022-12-19,EQ,156.0,158.3,154.0,155.0,154.8,155.05,155.45,221.9,126.0,196844,30600109.65,6867,GATI
2022-12-16,EQ,157.15,159.5,154.15,157.15,155.95,155.0,156.76,221.9,126.0,237320,37202170.5,4498,GATI
2022-12-15,EQ,159.95,160.0,156.1,157.9,157.2,157.15,157.73,221.9,126.0,130103,20521125.5,3000,GATI
2022-12-14,EQ,161.15,162.7,157.35,160.15,158.25,157.9,159.23,221.9,126.0,377591,60124563.3,11190,GATI
2022-12-13,EQ,155.1,162.0,155.0,155.2,160.2,160.15,159.35,221.9,126.0,509724,81222063.0,15688,GATI
2022-12-12,EQ,157.0,158.2,154.8,157.05,155.1,155.2,155.82,221.9,126.0,162296,25288215.85,5726,GATI
2022-12-09,EQ,161.0,161.55,154.05,160.4,157.5,157.05,158.79,221.9,126.0,217625,34557299.55,3850,GATI
2022-12-08,EQ,161.6,162.5,159.8,160.65,159.85,160.4,161.04,221.9,126.0,190846,30734005.4,6046,GATI
2022-12-07,EQ,162.45,163.1,159.05,161.1,161.8,160.65,160.87,221.9,126.0,289485,46568907.9,4532,GATI
2022-12-06,EQ,161.1,163.6,160.5,162.0,161.05,161.1,161.76,221.9,126.0,218642,35367798.3,6395,GATI
2022-12-05,EQ,163.45,163.6,161.05,161.95,162.0,162.0,162.12,221.9,126.0,242486,39312196.45,3607,GATI
2022-12-02,EQ,162.1,164.0,161.5,163.65,162.0,161.95,162.64,221.9,126.0,219134,35639071.7,4323,GATI
2022-12-01,EQ,165.0,165.45,163.05,163.7,163.45,163.65,164.2,221.9,126.0,147319,24190350.9,2478,GATI
2022-11-30,EQ,166.5,167.45,163.0,166.5,163.9,163.7,164.89,221.9,126.0,376479,62076412.6,4186,GATI
2022-11-29,EQ,165.9,170.6,164.15,165.2,166.45,166.5,167.01,221.9,126.0,366567,61218602.2,6814,GATI
2022-11-28,EQ,166.5,167.15,164.8,166.5,165.5,165.2,166.16,221.9,126.0,176368,29304443.3,3656,GATI
2022-11-25,EQ,163.65,168.75,161.15,162.7,167.0,166.5,164.9,221.9,126.0,351945,58035124.35,5735,GATI
2022-11-24,EQ,164.4,164.6,162.3,163.5,163.0,162.7,163.17,221.9,126.0,133796,21831427.25,2510,GATI
2022-11-23,EQ,163.8,166.9,162.1,162.85,163.7,163.5,163.97,221.9,126.0,167553,27473726.5,4019,GATI
2022-11-22,EQ,164.9,165.6,162.0,163.5,162.5,162.85,163.88,221.9,126.0,140113,22961378.95,4818,GATI
2022-11-21,EQ,164.6,164.6,161.45,163.3,163.9,163.5,163.14,221.9,126.0,135938,22177253.1,3745,GATI
2022-11-18,EQ,165.45,165.45,161.0,164.1,163.2,163.3,163.29,221.9,126.0,162773,26579868.6,5607,GATI
2022-11-17,EQ,166.45,166.45,163.1,165.7,163.45,164.1,164.65,221.9,126.0,128579,21170953.45,3018,GATI
2022-11-16,EQ,167.5,171.0,164.45,167.25,165.4,165.7,167.61,221.9,126.0,383931,64350816.9,12621,GATI
2022-11-15,EQ,166.4,168.6,164.3,165.7,167.0,167.25,166.56,221.9,126.0,191249,31854561.45,8967,GATI
2022-11-14,EQ,163.35,168.8,162.3,163.35,165.15,165.7,165.92,221.9,126.0,353086,58585039.95,9168,GATI
2022-11-11,EQ,169.0,169.7,162.35,165.65,163.0,163.35,164.64,221.9,126.0,401801,66152022.2,8350,GATI
