DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,835.45,863.95,835.45,832.05,840.9,840.1,849.83,1759.5,721.5,80021,68004014.8,6217,GLOBUSSPR
2022-12-29,EQ,828.75,839.0,822.55,828.75,831.0,832.05,829.59,1759.5,721.5,30907,25640228.45,3071,GLOBUSSPR
2022-12-28,EQ,807.35,837.0,806.0,814.35,828.5,828.75,824.68,1759.5,721.5,79753,65770664.95,5972,GLOBUSSPR
2022-12-27,EQ,813.25,831.55,807.95,803.95,817.4,814.35,815.82,1759.5,721.5,56689,46248295.45,5429,GLOBUSSPR
2022-12-26,EQ,792.2,818.8,782.5,789.6,803.9,803.95,805.62,1759.5,721.5,88921,71636931.3,7734,GLOBUSSPR
2022-12-23,EQ,825.0,825.0,783.0,827.15,794.0,789.6,797.62,1759.5,721.5,109371,87236078.6,8850,GLOBUSSPR
2022-12-22,EQ,865.0,865.0,814.0,865.3,827.95,827.15,831.68,1759.5,721.5,132192,109941666.25,10309,GLOBUSSPR
2022-12-21,EQ,904.9,914.0,860.05,897.3,865.0,865.3,880.3,1759.5,721.5,98161,86410878.3,7041,GLOBUSSPR
2022-12-20,EQ,907.0,911.45,895.95,908.9,897.4,897.3,899.52,1759.5,721.5,41623,37440806.95,3141,GLOBUSSPR
2022-12-19,EQ,896.3,923.45,896.3,901.05,909.4,908.9,913.32,1759.5,721.5,90825,82952446.15,5317,GLOBUSSPR
2022-12-16,EQ,903.95,925.65,890.0,905.8,900.0,901.05,906.66,1759.5,721.5,95982,87022661.85,6916,GLOBUSSPR
2022-12-15,EQ,942.9,942.9,893.25,943.2,911.0,905.8,914.82,1759.5,721.5,141374,129331779.4,8831,GLOBUSSPR
2022-12-14,EQ,929.9,949.0,922.5,919.85,942.3,943.2,936.54,1759.5,721.5,176632,165423680.85,9839,GLOBUSSPR
2022-12-13,EQ,910.0,923.0,910.0,908.35,916.05,919.85,918.03,1759.5,721.5,100445,92211731.85,7786,GLOBUSSPR
2022-12-12,EQ,906.0,916.0,896.0,904.4,910.0,908.35,906.81,1759.5,721.5,97649,88549086.15,8112,GLOBUSSPR
2022-12-09,EQ,905.9,913.6,892.55,903.0,895.25,904.4,901.84,1759.5,721.5,138803,125177593.2,9704,GLOBUSSPR
2022-12-08,EQ,892.9,906.0,888.6,891.7,898.0,903.0,902.16,1759.5,721.5,116106,104746195.05,7045,GLOBUSSPR
2022-12-07,EQ,883.2,907.75,874.2,883.2,886.0,891.7,895.22,1759.5,721.5,166158,148747324.05,12688,GLOBUSSPR
2022-12-06,EQ,881.0,888.7,873.2,887.5,885.0,883.2,878.85,1759.5,721.5,97273,85488288.1,7097,GLOBUSSPR
2022-12-05,EQ,892.7,897.0,873.0,888.9,891.0,887.5,885.62,1759.5,721.5,135384,119898993.65,7939,GLOBUSSPR
2022-12-02,EQ,856.95,896.0,850.55,851.5,890.0,888.9,878.79,1759.5,721.5,394523,346702238.8,15866,GLOBUSSPR
2022-12-01,EQ,836.0,856.8,832.1,828.8,850.0,851.5,845.47,1759.5,721.5,215780,182434958.2,10716,GLOBUSSPR
2022-11-30,EQ,801.3,836.55,797.0,801.3,830.0,828.8,818.96,1759.5,721.5,172545,141308076.25,7762,GLOBUSSPR
2022-11-29,EQ,789.75,804.5,787.05,784.55,797.75,801.3,796.01,1759.5,721.5,99331,79068510.9,4792,GLOBUSSPR
2022-11-28,EQ,797.0,803.95,780.0,797.5,786.2,784.55,790.94,1759.5,721.5,99142,78415391.3,5930,GLOBUSSPR
2022-11-25,EQ,820.9,820.9,791.25,821.5,802.0,797.5,801.9,1759.5,721.5,165248,132512603.85,6066,GLOBUSSPR
2022-11-24,EQ,826.55,839.75,813.25,817.95,815.05,821.5,831.48,1759.5,721.5,210957,175406918.4,10658,GLOBUSSPR
2022-11-23,EQ,778.9,829.8,775.0,771.95,825.0,817.95,814.83,1759.5,721.5,454142,370046324.35,18861,GLOBUSSPR
2022-11-22,EQ,762.25,781.0,759.0,754.7,772.1,771.95,771.13,1759.5,721.5,125210,96552599.45,7102,GLOBUSSPR
2022-11-21,EQ,746.9,758.8,739.8,739.8,757.0,754.7,749.06,1759.5,721.5,87937,65869898.85,6643,GLOBUSSPR
2022-11-18,EQ,748.4,748.4,735.4,742.35,742.0,739.8,740.22,1759.5,721.5,45171,33436631.35,3152,GLOBUSSPR
2022-11-17,EQ,747.0,754.5,740.0,745.55,743.0,742.35,745.19,1759.5,721.5,69158,51535723.1,5114,GLOBUSSPR
2022-11-16,EQ,737.5,759.9,733.45,737.05,747.0,745.55,747.3,1759.5,721.5,197983,147953437.6,9470,GLOBUSSPR
2022-11-15,EQ,732.0,769.0,721.5,805.85,739.5,737.05,738.22,1759.5,721.5,613218,452689493.3,27176,GLOBUSSPR
2022-11-14,EQ,775.0,819.0,775.0,777.55,807.9,805.85,799.4,1759.5,770.0,79474,63531722.1,5537,GLOBUSSPR
2022-11-11,EQ,788.25,788.25,774.05,779.0,779.0,777.55,778.11,1759.5,770.0,50682,39436204.5,3611,GLOBUSSPR
2022-11-10,EQ,783.95,788.45,770.85,783.95,779.95,779.0,781.47,1759.5,770.0,37792,29533136.1,2664,GLOBUSSPR
2022-11-09,EQ,803.0,803.0,781.05,794.2,785.0,783.95,788.36,1759.5,770.0,47042,37086252.45,3971,GLOBUSSPR
2022-11-07,EQ,793.8,798.9,783.4,788.3,794.0,794.2,789.89,1759.5,770.0,40477,31972391.3,3467,GLOBUSSPR
2022-11-04,EQ,793.4,801.85,785.0,790.35,788.5,788.3,788.87,1759.5,770.0,47809,37714858.65,5640,GLOBUSSPR
2022-11-03,EQ,785.05,804.9,785.05,810.85,793.4,790.35,793.98,1759.5,770.0,95434,75773163.8,6069,GLOBUSSPR
2022-11-02,EQ,824.4,830.25,806.65,821.25,812.95,810.85,820.36,1759.5,770.0,55674,45672636.15,6264,GLOBUSSPR
2022-11-01,EQ,807.0,825.0,800.8,789.8,822.0,821.25,818.24,1759.5,770.0,180174,147424819.75,10428,GLOBUSSPR
2022-10-31,EQ,777.7,806.85,771.4,772.1,796.0,789.8,781.56,1759.5,770.0,89125,69656308.25,5044,GLOBUSSPR
