DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,667.97,667.97,660.01,662.68,662.4,663.35,664.41,719.99,487.4,2783,1849039.34,181,HDFCSENETF
2022-12-29,EQ,663.86,663.99,655.61,663.88,662.51,662.68,659.92,719.99,487.4,1908,1259129.73,182,HDFCSENETF
2022-12-28,EQ,666.98,666.98,660.0,663.47,664.24,663.88,662.2,719.99,487.4,1521,1007202.62,190,HDFCSENETF
2022-12-27,EQ,665.97,669.0,655.54,661.67,664.86,663.47,661.06,719.99,487.4,1870,1236181.78,211,HDFCSENETF
2022-12-26,EQ,657.99,662.39,651.61,652.64,660.5,661.67,655.64,719.99,487.4,17380,11395005.26,355,HDFCSENETF
2022-12-23,EQ,662.97,662.97,650.09,663.1,653.2,652.64,655.5,719.99,487.4,19417,12727764.49,501,HDFCSENETF
2022-12-22,EQ,669.97,669.97,657.43,665.66,663.55,663.1,660.68,719.99,487.4,5820,3845147.99,416,HDFCSENETF
2022-12-21,EQ,673.97,673.97,664.01,668.95,667.45,665.66,665.68,719.99,487.4,12478,8306372.41,178,HDFCSENETF
2022-12-20,EQ,695.0,719.99,661.31,670.82,671.0,668.95,667.57,719.99,487.4,3828,2555449.28,265,HDFCSENETF
2022-12-19,EQ,674.97,674.97,663.15,669.22,671.25,670.82,669.39,709.99,487.4,7404,4956144.67,443,HDFCSENETF
2022-12-16,EQ,674.49,674.49,665.33,672.2,669.0,669.22,670.26,709.99,487.4,1992,1335162.83,229,HDFCSENETF
2022-12-15,EQ,684.97,684.97,667.3,681.6,670.0,672.2,676.94,709.99,487.4,5323,3603369.75,391,HDFCSENETF
2022-12-14,EQ,677.68,683.13,677.68,677.68,679.04,681.6,681.4,709.99,487.4,2066,1407775.24,271,HDFCSENETF
2022-12-13,EQ,673.03,680.5,673.03,676.13,677.1,677.68,678.84,709.99,487.4,1181,801708.67,153,HDFCSENETF
2022-12-12,EQ,678.0,683.0,670.5,677.43,677.5,676.13,675.04,709.99,487.4,6946,4688837.72,430,HDFCSENETF
2022-12-09,EQ,682.99,682.99,673.3,682.23,678.0,677.43,677.24,709.99,487.4,6030,4083784.47,277,HDFCSENETF
2022-12-08,EQ,684.97,684.97,675.02,680.0,682.13,682.23,681.22,709.99,487.4,19835,13512060.68,177,HDFCSENETF
2022-12-07,EQ,680.13,682.6,667.56,680.14,680.0,680.0,678.73,709.99,487.4,2049,1390726.92,192,HDFCSENETF
2022-12-06,EQ,688.89,688.89,678.2,684.3,680.84,680.14,680.62,709.99,487.4,2155,1466744.62,173,HDFCSENETF
2022-12-05,EQ,685.98,685.98,677.58,681.76,685.0,684.3,681.88,709.99,487.4,1986,1354209.24,290,HDFCSENETF
2022-12-02,EQ,687.01,689.99,680.5,687.33,681.2,681.76,683.43,709.99,487.4,3286,2245757.52,200,HDFCSENETF
2022-12-01,EQ,687.99,691.98,685.0,684.35,687.0,687.33,687.86,709.99,487.4,3785,2603549.49,280,HDFCSENETF
2022-11-30,EQ,684.99,685.1,679.33,682.63,685.1,684.35,682.7,709.99,487.4,5777,3943934.84,220,HDFCSENETF
2022-11-29,EQ,684.96,684.96,676.51,679.0,682.9,682.63,681.01,709.99,487.4,2035,1385847.17,172,HDFCSENETF
2022-11-28,EQ,675.01,681.99,675.0,677.0,679.7,679.0,679.26,709.99,487.4,6398,4345876.22,301,HDFCSENETF
2022-11-25,EQ,674.17,678.21,672.99,674.18,677.5,677.0,676.59,709.99,487.4,2466,1668481.87,191,HDFCSENETF
2022-11-24,EQ,672.97,675.02,667.94,668.74,674.58,674.18,671.69,709.99,487.4,4189,2813728.59,268,HDFCSENETF
2022-11-23,EQ,670.99,671.0,663.1,665.51,666.25,668.74,668.02,709.99,487.4,3329,2223825.36,266,HDFCSENETF
2022-11-22,EQ,664.3,666.0,662.84,664.34,665.25,665.51,664.15,709.99,487.4,2797,1857633.46,148,HDFCSENETF
2022-11-21,EQ,668.99,668.99,662.2,669.22,666.0,664.34,665.38,709.99,487.4,2119,1409932.68,225,HDFCSENETF
2022-11-18,EQ,670.3,671.4,666.0,671.54,670.65,669.22,668.82,709.99,487.4,2288,1530259.93,225,HDFCSENETF
2022-11-17,EQ,669.26,673.9,669.26,671.63,671.25,671.54,672.26,709.99,487.4,3077,2068558.65,242,HDFCSENETF
2022-11-16,EQ,671.99,672.99,663.01,670.48,671.16,671.63,671.45,709.99,487.4,6887,4624297.29,231,HDFCSENETF
2022-11-15,EQ,669.84,678.0,667.75,669.83,672.0,670.48,670.19,709.99,487.4,4813,3225636.85,191,HDFCSENETF
2022-11-14,EQ,671.99,671.99,667.39,669.52,669.0,669.83,669.7,709.99,487.4,4146,2776592.37,244,HDFCSENETF
2022-11-11,EQ,666.97,672.0,661.01,657.06,669.75,669.52,668.88,709.99,487.4,14705,9835807.11,296,HDFCSENETF
2022-11-10,EQ,679.0,709.99,656.03,663.7,657.99,657.06,661.31,709.99,487.4,4240,2803934.18,278,HDFCSENETF
2022-11-09,EQ,682.5,699.7,661.0,662.18,663.0,663.7,665.07,699.7,487.4,4068,2705504.51,238,HDFCSENETF
2022-11-07,EQ,663.49,667.97,660.0,660.3,662.41,662.18,661.16,697.7,487.4,13041,8622168.05,302,HDFCSENETF
2022-11-04,EQ,656.01,662.99,656.01,659.69,660.3,660.3,658.35,697.7,487.4,10218,6727029.72,268,HDFCSENETF
2022-11-03,EQ,659.23,661.95,652.6,659.44,659.0,659.69,659.52,697.7,487.4,6095,4019792.6,273,HDFCSENETF
2022-11-02,EQ,662.1,665.0,659.01,662.48,659.24,659.44,661.35,697.7,487.4,2608,1724799.85,249,HDFCSENETF
2022-11-01,EQ,660.0,667.0,658.0,657.83,662.1,662.48,663.36,697.7,487.4,3246,2153270.97,345,HDFCSENETF
2022-10-31,EQ,654.99,658.98,649.99,649.75,657.56,657.83,656.38,697.7,487.4,8459,5552343.02,333,HDFCSENETF
2022-10-28,EQ,650.01,652.44,647.55,647.93,650.65,649.75,649.94,697.7,487.4,4439,2885093.59,287,HDFCSENETF
2022-10-27,EQ,659.28,659.28,646.0,648.29,648.32,647.93,648.55,697.7,487.4,4128,2677212.94,322,HDFCSENETF
2022-10-25,EQ,654.99,654.99,645.03,647.46,647.0,648.29,649.1,697.7,487.4,2725,1768797.27,277,HDFCSENETF
2022-10-24,EQ,636.12,652.9,636.12,642.08,647.0,647.46,648.17,697.7,487.4,2076,1345592.35,264,HDFCSENETF
2022-10-21,EQ,646.97,646.97,640.5,642.83,641.52,642.08,644.14,697.7,487.4,1055,679563.64,127,HDFCSENETF
2022-10-20,EQ,649.0,654.0,620.6,641.14,640.5,642.83,639.6,697.7,487.4,914,584597.08,129,HDFCSENETF
2022-10-19,EQ,635.03,645.97,635.03,639.47,641.5,641.14,641.72,697.7,487.4,4758,3053314.59,327,HDFCSENETF
2022-10-18,EQ,647.45,647.45,634.3,634.74,641.75,639.47,640.24,697.7,487.4,2835,1815070.97,266,HDFCSENETF
2022-10-17,EQ,630.49,635.34,626.81,627.6,634.99,634.74,632.85,697.7,487.4,6739,4264768.06,308,HDFCSENETF
2022-10-14,EQ,627.01,633.48,627.0,623.09,630.5,627.6,630.92,697.7,487.4,1778,1121771.99,183,HDFCSENETF
2022-10-13,EQ,636.0,636.0,620.01,626.64,623.57,623.09,623.14,697.7,487.4,1298,808833.6,183,HDFCSENETF
2022-10-12,EQ,621.91,627.0,621.0,621.45,626.99,626.64,623.34,697.7,487.4,2913,1815784.66,183,HDFCSENETF
2022-10-11,EQ,635.97,635.97,617.65,629.26,621.0,621.45,623.26,697.7,487.4,10797,6729367.94,268,HDFCSENETF
2022-10-10,EQ,631.99,633.0,621.51,633.06,627.0,629.26,626.94,697.7,487.4,4173,2616213.11,348,HDFCSENETF
2022-10-07,EQ,632.5,633.32,628.44,632.22,633.32,633.06,630.48,697.7,487.4,1244,784313.3,180,HDFCSENETF
2022-10-06,EQ,636.97,637.42,631.91,630.96,632.05,632.22,634.55,697.7,487.4,4753,3015998.75,241,HDFCSENETF
2022-10-04,EQ,627.97,631.99,622.01,618.31,630.99,630.96,629.98,697.7,487.4,2285,1439507.13,183,HDFCSENETF
2022-10-03,EQ,687.7,687.7,612.0,624.66,612.0,618.31,623.63,697.7,487.4,6307,3933252.99,359,HDFCSENETF
2022-09-30,EQ,615.99,626.38,610.99,614.14,623.11,624.66,618.22,697.7,487.4,2596,1604886.72,284,HDFCSENETF
2022-09-29,EQ,677.7,677.7,610.11,615.54,615.58,614.14,616.46,697.7,487.4,2820,1738426.01,231,HDFCSENETF
2022-09-28,EQ,619.97,622.0,614.5,621.68,615.5,615.54,619.64,697.7,487.4,14287,8852784.32,492,HDFCSENETF
2022-09-27,EQ,627.97,627.97,620.0,622.1,622.3,621.68,622.0,697.7,487.4,22257,13843904.24,558,HDFCSENETF
2022-09-26,EQ,632.5,672.0,619.32,632.62,621.1,622.1,625.15,697.7,487.4,15477,9675374.5,597,HDFCSENETF
2022-09-23,EQ,641.99,644.69,630.0,642.04,633.5,632.62,633.55,697.7,487.4,5215,3303944.39,310,HDFCSENETF
2022-09-22,EQ,645.06,645.06,639.0,644.86,642.0,642.04,641.85,697.7,487.4,2678,1718886.36,298,HDFCSENETF
2022-09-21,EQ,648.42,649.91,642.0,647.77,645.06,644.86,645.51,697.7,487.4,3160,2039809.32,249,HDFCSENETF
2022-09-20,EQ,649.97,652.46,645.01,642.63,645.6,647.77,649.87,697.7,487.4,3903,2536433.41,431,HDFCSENETF
2022-09-19,EQ,642.98,645.0,633.3,639.91,643.45,642.63,639.59,697.7,487.4,8566,5478757.05,453,HDFCSENETF
2022-09-16,EQ,652.76,652.76,638.0,651.08,645.06,639.91,642.43,697.7,487.4,4270,2743185.82,456,HDFCSENETF
