DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,220.35,223.45,208.55,218.25,214.5,212.4,215.51,247.0,111.1,62729,13518611.0,3497,HERCULES
2022-12-29,EQ,216.7,224.2,213.4,217.9,217.15,218.25,219.21,247.0,111.1,53922,11820222.4,3362,HERCULES
2022-12-28,EQ,218.8,224.15,216.4,218.0,219.0,217.9,219.76,247.0,111.1,63129,13873345.5,3631,HERCULES
2022-12-27,EQ,210.1,219.9,209.1,207.7,218.0,218.0,214.74,247.0,111.1,86941,18669699.95,4991,HERCULES
2022-12-26,EQ,200.3,210.4,198.55,197.35,206.5,207.7,206.8,247.0,111.1,70212,14519868.75,3371,HERCULES
2022-12-23,EQ,212.9,212.9,195.0,213.6,201.4,197.35,202.87,247.0,111.1,113049,22934036.9,5289,HERCULES
2022-12-22,EQ,226.2,232.05,212.0,225.3,213.5,213.6,218.05,247.0,111.1,174253,37995997.6,6832,HERCULES
2022-12-21,EQ,235.0,247.0,221.55,231.75,226.0,225.3,237.27,247.0,111.1,726183,172300861.65,19795,HERCULES
2022-12-20,EQ,223.5,234.55,216.5,222.6,231.0,231.75,227.97,238.0,111.1,200764,45767309.9,6849,HERCULES
2022-12-19,EQ,213.6,226.95,211.6,211.6,222.1,222.6,221.2,238.0,111.1,112956,24985907.7,5581,HERCULES
2022-12-16,EQ,220.0,220.0,210.55,220.3,214.5,211.6,214.7,238.0,111.1,85544,18366490.8,4338,HERCULES
2022-12-15,EQ,222.75,228.8,218.1,222.75,220.0,220.3,223.95,238.0,111.1,91621,20518785.1,3395,HERCULES
2022-12-14,EQ,226.3,238.0,220.25,224.9,223.0,222.75,229.73,238.0,111.1,245196,56328106.95,7456,HERCULES
2022-12-13,EQ,216.8,232.9,215.3,215.4,225.1,224.9,227.93,232.9,111.1,530892,121006128.95,15637,HERCULES
2022-12-12,EQ,208.5,221.35,204.75,207.25,215.7,215.4,214.61,231.65,111.1,116995,25108172.95,6808,HERCULES
2022-12-09,EQ,222.55,222.55,205.0,220.5,209.0,207.25,211.06,231.65,111.1,91538,19320428.1,4669,HERCULES
2022-12-08,EQ,218.8,225.0,213.0,216.2,219.5,220.5,220.73,231.65,111.1,302610,66793614.95,10401,HERCULES
2022-12-07,EQ,194.0,224.2,193.3,193.8,217.5,216.2,212.2,231.65,111.1,598280,126955032.15,14485,HERCULES
2022-12-06,EQ,191.4,196.75,191.35,192.55,194.45,193.8,194.5,231.65,111.1,47276,9195035.55,1928,HERCULES
2022-12-05,EQ,190.05,197.0,190.05,192.15,193.25,192.55,192.68,231.65,111.1,24282,4678625.65,1119,HERCULES
2022-12-02,EQ,189.0,194.0,189.0,191.9,192.0,192.15,192.07,231.65,111.1,20891,4012502.6,820,HERCULES
2022-12-01,EQ,190.35,195.9,188.1,190.15,191.5,191.9,192.08,231.65,111.1,41238,7921037.25,1815,HERCULES
2022-11-30,EQ,186.0,194.9,185.5,186.0,189.65,190.15,190.94,231.65,111.1,61149,11675496.6,1903,HERCULES
2022-11-29,EQ,186.7,189.5,185.0,185.9,185.6,186.0,185.94,231.65,111.1,13777,2561718.85,564,HERCULES
2022-11-28,EQ,184.4,187.9,183.05,184.4,185.0,185.9,185.75,231.65,111.1,26034,4835916.65,1368,HERCULES
2022-11-25,EQ,187.2,189.25,183.1,187.25,183.65,184.4,185.34,231.65,111.1,26577,4925881.0,1086,HERCULES
2022-11-24,EQ,186.45,192.0,186.45,186.45,187.0,187.25,189.56,231.65,111.1,27899,5288538.25,1569,HERCULES
2022-11-23,EQ,191.95,192.8,185.5,191.25,185.5,186.45,188.46,231.65,111.1,30947,5832203.35,1206,HERCULES
2022-11-22,EQ,196.0,197.55,191.0,194.5,191.75,191.25,193.79,231.65,111.1,28106,5446717.35,1255,HERCULES
2022-11-21,EQ,192.0,198.5,187.1,186.75,193.15,194.5,193.57,231.65,111.1,106251,20566748.95,3414,HERCULES
2022-11-18,EQ,181.7,190.9,180.95,180.65,186.5,186.75,186.14,231.65,111.1,61988,11538527.2,2804,HERCULES
2022-11-17,EQ,181.0,183.4,179.5,181.25,179.7,180.65,181.3,231.65,111.1,21671,3929035.8,884,HERCULES
2022-11-16,EQ,183.2,184.75,180.1,184.0,182.4,181.25,182.53,231.65,111.1,20421,3727346.15,651,HERCULES
2022-11-15,EQ,184.4,188.05,183.15,184.4,184.5,184.0,184.8,231.65,111.1,12426,2296340.5,657,HERCULES
2022-11-14,EQ,186.8,189.25,184.0,185.75,185.4,184.4,186.12,231.65,111.1,24904,4635251.7,890,HERCULES
2022-11-11,EQ,183.55,191.05,183.55,185.1,186.2,185.75,186.84,231.65,111.1,40490,7565284.6,1315,HERCULES
2022-11-10,EQ,193.1,194.5,183.0,193.85,184.75,185.1,187.53,231.65,111.1,50828,9531792.1,1968,HERCULES
2022-11-09,EQ,197.9,203.0,193.2,196.2,193.7,193.85,198.19,231.65,111.1,63021,12489894.7,2189,HERCULES
2022-11-07,EQ,194.4,200.0,192.55,193.15,196.2,196.2,196.65,231.65,111.1,67000,13175308.1,2235,HERCULES
2022-11-04,EQ,191.0,194.45,190.8,190.8,193.0,193.15,192.98,231.65,111.1,29768,5744525.8,1029,HERCULES
2022-11-03,EQ,189.45,194.05,188.6,189.6,191.1,190.8,191.48,231.65,111.1,25247,4834277.85,1134,HERCULES
2022-11-02,EQ,191.75,192.0,188.0,190.2,189.4,189.6,190.26,231.65,111.1,28183,5362095.25,1077,HERCULES
2022-11-01,EQ,192.55,196.4,188.55,193.6,189.2,190.2,191.88,231.65,111.1,28237,5418135.25,1095,HERCULES
2022-10-31,EQ,192.4,197.45,192.4,193.45,193.25,193.6,194.71,231.65,111.1,15727,3062249.25,662,HERCULES
2022-10-28,EQ,196.05,198.2,193.0,195.45,193.1,193.45,194.98,231.65,111.1,20117,3922429.75,848,HERCULES
2022-10-27,EQ,192.0,201.0,192.0,192.5,195.3,195.45,197.51,231.65,111.1,46734,9230644.95,1809,HERCULES
2022-10-25,EQ,196.5,196.5,191.55,194.65,192.0,192.5,193.13,231.65,111.1,14179,2738428.55,923,HERCULES
2022-10-24,EQ,194.7,202.8,191.1,191.55,193.0,194.65,194.78,231.65,111.1,35499,6914342.35,794,HERCULES
2022-10-21,EQ,198.4,198.4,190.85,196.8,191.5,191.55,193.86,231.65,111.1,47505,9209204.75,2178,HERCULES
2022-10-20,EQ,200.4,200.4,195.0,197.9,197.2,196.8,197.87,231.65,111.1,29552,5847429.25,1518,HERCULES
2022-10-19,EQ,193.6,200.75,192.5,193.7,198.8,197.9,197.84,231.65,111.1,72226,14288963.4,3104,HERCULES
2022-10-18,EQ,193.6,197.3,191.5,191.8,192.0,193.7,194.96,231.65,111.1,38559,7517517.2,1655,HERCULES
2022-10-17,EQ,195.9,196.1,190.05,195.15,193.5,191.8,192.58,231.65,111.1,35067,6753040.3,2213,HERCULES
2022-10-14,EQ,199.85,204.9,194.1,197.95,195.8,195.15,198.73,231.65,111.1,35535,7061921.3,1882,HERCULES
2022-10-13,EQ,196.4,206.8,196.35,197.2,198.0,197.95,200.29,231.65,111.1,64078,12834005.2,3555,HERCULES
2022-10-12,EQ,202.9,204.95,195.0,201.3,200.0,197.2,198.77,231.65,111.1,55220,10975939.95,3082,HERCULES
2022-10-11,EQ,210.3,214.4,200.25,209.3,201.4,201.3,207.32,231.65,111.1,69372,14382071.05,3453,HERCULES
2022-10-10,EQ,194.0,216.25,192.55,195.85,208.0,209.3,209.48,231.65,111.1,216863,45429117.95,10070,HERCULES
2022-10-07,EQ,195.9,198.1,192.4,195.0,196.5,195.85,195.7,231.65,111.1,50128,9810209.1,2286,HERCULES
2022-10-06,EQ,195.0,197.55,190.3,192.0,195.4,195.0,195.04,231.65,111.1,61436,11982605.45,2124,HERCULES
2022-10-04,EQ,189.35,197.65,189.35,187.55,192.0,192.0,193.29,231.65,111.1,56433,10908042.35,2547,HERCULES
2022-10-03,EQ,193.45,198.0,186.0,193.7,186.2,187.55,191.26,231.65,111.1,67333,12877973.6,3333,HERCULES
2022-09-30,EQ,192.4,198.8,192.05,192.2,193.55,193.7,194.62,231.65,111.1,62223,12109705.75,3410,HERCULES
2022-09-29,EQ,197.55,201.7,189.75,194.35,191.7,192.2,195.35,231.65,111.1,48781,9529199.15,2585,HERCULES
2022-09-28,EQ,192.0,204.9,192.0,197.05,194.5,194.35,198.04,231.65,111.1,103322,20462032.55,4933,HERCULES
2022-09-27,EQ,203.45,208.6,195.1,200.4,197.1,197.05,201.2,231.65,111.1,117471,23634921.25,4426,HERCULES
2022-09-26,EQ,213.0,215.1,198.5,216.9,204.0,200.4,204.09,231.65,111.1,150955,30807886.05,6037,HERCULES
2022-09-23,EQ,225.5,231.65,214.4,222.95,220.0,216.9,224.03,231.65,111.1,434672,97380205.8,14439,HERCULES
2022-09-22,EQ,211.9,227.0,205.1,213.25,223.95,222.95,216.27,227.0,111.1,395749,85589515.75,10312,HERCULES
2022-09-21,EQ,209.0,222.5,205.85,206.15,211.9,213.25,214.78,226.0,111.1,637066,136826929.7,16939,HERCULES
2022-09-20,EQ,222.05,226.0,204.1,217.8,209.0,206.15,213.56,226.0,111.1,679428,145101088.25,16060,HERCULES
2022-09-19,EQ,195.0,217.8,195.0,181.5,217.8,217.8,211.23,217.8,111.1,1270445,268352263.85,22155,HERCULES
2022-09-16,EQ,190.5,191.65,180.4,190.75,182.5,181.5,184.83,202.95,111.1,60827,11242459.3,2727,HERCULES
2022-09-15,EQ,191.5,195.95,189.0,189.9,191.0,190.75,192.43,202.95,111.1,79252,15250096.75,2473,HERCULES
2022-09-14,EQ,190.0,195.0,186.8,195.65,190.0,189.9,191.77,202.95,111.1,111823,21443990.85,3455,HERCULES
2022-09-13,EQ,199.6,202.95,191.75,196.3,195.0,195.65,197.86,202.95,111.1,285565,56502297.25,6045,HERCULES
2022-09-12,EQ,180.8,198.95,180.8,177.2,197.0,196.3,192.14,198.95,111.1,893607,171694014.15,15850,HERCULES
2022-09-09,EQ,173.3,182.0,171.5,172.2,176.3,177.2,178.06,182.0,111.1,390950,69612989.7,8515,HERCULES
