DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,233.9,236.4,232.9,233.2,235.5,235.15,234.84,332.2,200.05,2417674,567754990.55,20658,HINDPETRO
2022-12-29,EQ,230.9,233.65,228.5,230.95,233.0,233.2,231.33,332.2,200.05,2035681,470912035.6,20642,HINDPETRO
2022-12-28,EQ,231.4,232.8,228.4,231.15,230.5,230.95,230.38,332.2,200.05,2061111,474833230.75,17845,HINDPETRO
2022-12-27,EQ,231.95,232.95,228.35,230.9,232.0,231.15,229.95,332.2,200.05,2631093,605007761.05,26629,HINDPETRO
2022-12-26,EQ,226.5,232.75,224.5,227.5,230.1,230.9,230.7,332.2,200.05,1990224,459149164.8,18789,HINDPETRO
2022-12-23,EQ,229.6,229.6,224.55,230.1,227.3,227.5,227.51,332.2,200.05,3077985,700263449.9,25667,HINDPETRO
2022-12-22,EQ,234.5,234.5,225.75,232.0,230.0,230.1,229.04,332.2,200.05,2848600,652453904.15,23902,HINDPETRO
2022-12-21,EQ,240.7,242.35,231.1,241.35,231.6,232.0,236.32,332.2,200.05,4016854,949268775.1,30818,HINDPETRO
2022-12-20,EQ,242.6,243.75,239.4,243.5,240.7,241.35,240.99,332.2,200.05,1852342,446389286.65,28829,HINDPETRO
2022-12-19,EQ,244.9,245.25,239.45,243.2,243.0,243.5,241.55,332.2,200.05,3718744,898245504.45,32628,HINDPETRO
2022-12-16,EQ,246.9,249.05,241.05,246.55,243.05,243.2,243.72,332.2,200.05,3790998,923953652.05,39057,HINDPETRO
2022-12-15,EQ,243.2,248.9,242.75,242.7,245.8,246.55,246.71,332.2,200.05,4490416,1107850692.5,35840,HINDPETRO
2022-12-14,EQ,247.3,247.7,242.25,246.05,243.05,242.7,244.99,332.2,200.05,4846174,1187281018.85,54961,HINDPETRO
2022-12-13,EQ,251.75,252.8,245.0,251.9,247.1,246.05,247.29,332.2,200.05,4602148,1138044151.85,45345,HINDPETRO
2022-12-12,EQ,239.95,253.0,238.0,240.0,251.35,251.9,248.23,332.2,200.05,10115374,2510937838.4,102277,HINDPETRO
2022-12-09,EQ,240.0,244.85,235.1,235.2,240.0,240.0,241.08,332.2,200.05,6969509,1680180288.1,67556,HINDPETRO
2022-12-08,EQ,234.55,237.5,231.25,232.55,234.9,235.2,234.72,332.2,200.05,4210130,988192666.1,36827,HINDPETRO
2022-12-07,EQ,227.5,233.5,225.75,224.05,233.1,232.55,231.21,332.2,200.05,7136303,1649969699.25,51732,HINDPETRO
2022-12-06,EQ,231.0,231.7,223.3,230.1,224.3,224.05,225.97,332.2,200.05,4157323,939449243.85,41827,HINDPETRO
2022-12-05,EQ,235.5,236.15,229.4,235.7,229.9,230.1,232.13,332.2,200.05,2602442,604098468.75,29770,HINDPETRO
2022-12-02,EQ,236.45,238.65,234.25,236.45,235.85,235.7,236.08,332.2,200.05,4206982,993186954.85,42896,HINDPETRO
2022-12-01,EQ,239.1,240.0,235.05,239.1,236.05,236.45,236.82,332.2,200.05,2413514,571566790.85,32902,HINDPETRO
2022-11-30,EQ,238.5,241.5,234.85,238.5,239.4,239.1,238.56,332.2,200.05,4640871,1107118433.85,31343,HINDPETRO
2022-11-29,EQ,239.0,239.7,235.6,238.5,238.0,238.5,237.94,332.2,200.05,3248659,772998473.55,27572,HINDPETRO
2022-11-28,EQ,228.0,239.5,228.0,226.05,238.8,238.5,236.99,332.2,200.05,11274525,2671941891.55,61700,HINDPETRO
2022-11-25,EQ,221.95,228.4,219.2,221.5,225.5,226.05,225.53,332.2,200.05,4056452,914865648.95,31415,HINDPETRO
2022-11-24,EQ,216.2,221.85,215.7,214.45,221.4,221.5,219.58,332.2,200.05,4605946,1011365908.8,36328,HINDPETRO
2022-11-23,EQ,213.35,215.6,212.1,212.4,213.5,214.45,214.41,332.2,200.05,2293009,491640099.5,18945,HINDPETRO
2022-11-22,EQ,214.45,215.25,210.5,215.3,212.0,212.4,212.3,332.2,200.05,2984354,633565987.95,27374,HINDPETRO
2022-11-21,EQ,210.15,216.35,209.5,209.1,214.9,215.3,214.38,332.2,200.05,4584083,982727779.9,34119,HINDPETRO
2022-11-18,EQ,211.0,211.8,207.05,210.1,209.05,209.1,208.34,354.8,200.05,1803758,375786423.2,23051,HINDPETRO
