DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,55.4,56.05,55.0,55.1,55.25,55.4,55.48,83.4,47.8,23130,1283334.95,369,HMVL
2022-12-29,EQ,55.0,55.55,54.6,55.2,54.75,55.1,54.97,83.4,47.8,7624,419088.9,208,HMVL
2022-12-28,EQ,55.0,56.35,54.1,54.6,55.0,55.2,55.24,83.4,47.8,21461,1185414.9,477,HMVL
2022-12-27,EQ,53.5,54.9,53.5,53.05,54.75,54.6,54.39,83.4,47.8,26853,1460525.65,468,HMVL
2022-12-26,EQ,51.4,53.85,50.35,52.05,53.0,53.05,52.67,83.4,47.8,37666,1983766.95,922,HMVL
2022-12-23,EQ,55.0,55.8,51.65,54.9,51.65,52.05,53.09,83.4,47.8,69943,3712939.85,1062,HMVL
2022-12-22,EQ,56.2,57.05,54.55,56.2,54.85,54.9,55.11,83.4,47.8,38837,2140219.5,794,HMVL
2022-12-21,EQ,58.95,59.5,55.65,58.85,56.25,56.2,57.56,83.4,47.8,56349,3243668.25,774,HMVL
2022-12-20,EQ,59.55,59.9,58.15,59.55,58.8,58.85,58.9,83.4,47.8,25809,1520054.8,645,HMVL
2022-12-19,EQ,58.05,60.45,57.7,58.05,59.15,59.55,59.35,83.4,47.8,70973,4212444.85,788,HMVL
2022-12-16,EQ,59.8,59.8,57.65,59.0,58.05,58.05,58.53,83.4,47.8,25005,1463541.35,450,HMVL
2022-12-15,EQ,60.4,60.4,58.2,58.9,59.0,59.0,59.55,83.4,47.8,47534,2830847.95,780,HMVL
2022-12-14,EQ,57.05,60.25,57.0,56.95,59.6,58.9,58.78,83.4,47.8,84796,4984063.15,1679,HMVL
2022-12-13,EQ,57.35,58.75,56.0,56.55,57.0,56.95,57.22,83.4,47.8,311538,17827331.75,1102,HMVL
2022-12-12,EQ,56.4,58.0,56.05,56.45,56.95,56.55,57.1,83.4,47.8,31217,1782595.7,583,HMVL
2022-12-09,EQ,58.6,59.25,55.35,58.65,57.0,56.45,57.54,83.4,47.8,86123,4955474.45,1111,HMVL
2022-12-08,EQ,58.7,59.4,58.55,59.0,58.7,58.65,58.78,83.4,47.8,22390,1316022.3,392,HMVL
2022-12-07,EQ,60.75,61.1,58.8,59.95,58.85,59.0,60.11,83.4,47.8,91151,5479007.9,1265,HMVL
2022-12-06,EQ,59.7,61.8,59.35,59.2,59.75,59.95,60.58,83.4,47.8,68117,4126792.15,834,HMVL
2022-12-05,EQ,58.0,59.85,58.0,58.0,59.7,59.2,58.99,83.4,47.8,46179,2724134.3,883,HMVL
2022-12-02,EQ,59.15,60.7,57.55,59.0,57.6,58.0,58.73,83.4,47.8,74677,4385883.9,1025,HMVL
2022-12-01,EQ,60.4,60.5,58.05,59.85,58.3,59.0,59.64,83.4,47.8,44674,2664227.65,691,HMVL
2022-11-30,EQ,60.4,61.5,58.6,60.4,60.0,59.85,60.37,83.4,47.8,101806,6146047.5,1211,HMVL
2022-11-29,EQ,57.65,61.0,57.5,56.65,60.0,60.4,59.65,83.4,47.8,279661,16682666.1,3401,HMVL
2022-11-28,EQ,56.0,57.25,54.3,55.25,56.5,56.65,56.0,83.4,47.8,116408,6519072.85,1021,HMVL
2022-11-25,EQ,54.7,55.45,54.25,53.7,55.4,55.25,55.04,83.4,47.8,51230,2819540.35,596,HMVL
2022-11-24,EQ,53.55,54.5,53.45,54.2,54.0,53.7,53.81,83.4,47.8,26730,1438393.75,376,HMVL
2022-11-23,EQ,52.2,54.7,52.2,51.95,54.1,54.2,54.09,83.4,47.8,42473,2297206.85,646,HMVL
2022-11-22,EQ,52.8,53.4,51.5,52.75,52.3,51.95,52.63,83.4,47.8,48714,2563789.0,523,HMVL
2022-11-21,EQ,54.35,54.35,52.3,53.55,52.95,52.75,53.06,83.4,47.8,23782,1261922.2,433,HMVL
2022-11-18,EQ,54.7,55.3,53.45,54.7,53.5,53.55,54.2,83.4,47.8,35856,1943348.45,567,HMVL
2022-11-17,EQ,56.0,56.05,54.2,55.3,54.2,54.7,55.18,83.4,47.8,39408,2174541.65,459,HMVL
2022-11-16,EQ,55.65,56.95,54.95,54.9,56.0,55.3,55.59,83.4,47.8,64637,3593058.15,761,HMVL
2022-11-15,EQ,55.0,55.45,54.05,55.0,54.85,54.9,54.96,83.4,47.8,64213,3529001.75,616,HMVL
2022-11-14,EQ,55.7,56.1,54.0,56.15,55.5,55.0,54.94,83.4,47.8,68668,3772866.15,1020,HMVL
2022-11-11,EQ,54.85,57.25,53.6,52.45,55.75,56.15,56.05,83.4,47.8,556265,31177219.85,4777,HMVL
2022-11-10,EQ,50.35,54.4,50.35,50.35,51.75,52.45,51.26,83.4,47.8,2563342,131395561.45,6841,HMVL
2022-11-09,EQ,51.1,51.9,49.95,51.1,51.25,50.35,50.76,83.4,47.8,86242,4377345.2,1183,HMVL
2022-11-07,EQ,51.1,51.8,50.5,51.1,51.2,51.1,51.18,83.4,47.8,54926,2811016.45,671,HMVL
2022-11-04,EQ,51.4,52.5,50.75,51.5,51.1,51.1,51.46,83.4,47.8,78938,4061882.85,760,HMVL
2022-11-03,EQ,50.5,51.75,50.0,52.05,51.3,51.5,51.13,83.4,47.8,70133,3585895.5,1024,HMVL
2022-11-02,EQ,53.2,53.5,51.75,52.65,52.0,52.05,52.47,83.4,47.8,47795,2508009.4,575,HMVL
2022-11-01,EQ,53.75,53.75,52.45,53.35,52.45,52.65,52.84,83.4,47.8,35754,1889159.55,496,HMVL
