DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-05,EQ,729.4,749.0,708.0,720.95,709.0,715.0,731.13,2370.0,405.0,127378,93129850.75,7499,HNDFDS
2022-12-02,EQ,721.0,730.0,711.05,708.85,720.3,720.95,722.14,2370.0,405.0,70361,50810754.45,5380,HNDFDS
2022-12-01,EQ,691.75,720.0,690.0,676.05,708.0,708.85,706.85,2370.0,405.0,164897,116556997.05,12062,HNDFDS
2022-11-30,EQ,648.2,703.0,646.1,648.2,703.0,676.05,673.86,2370.0,405.0,451855,304485349.2,11423,HNDFDS
2022-11-29,EQ,663.5,684.0,642.0,650.55,644.9,648.2,657.03,2370.0,405.0,66496,43689738.55,5438,HNDFDS
2022-11-28,EQ,688.8,695.9,639.15,684.85,653.55,650.55,653.14,2370.0,405.0,156172,102002904.5,14556,HNDFDS
2022-11-25,EQ,669.0,705.0,642.6,661.25,685.0,684.85,682.34,2370.0,405.0,248398,169492903.15,16006,HNDFDS
2022-11-24,EQ,663.9,669.6,651.0,656.25,656.0,661.25,661.03,2370.0,405.0,88074,58219367.0,7356,HNDFDS
2022-11-23,EQ,667.0,673.9,634.05,645.3,655.0,656.25,659.86,2370.0,405.0,201388,132888060.0,11356,HNDFDS
2022-11-22,EQ,600.0,655.0,596.5,596.5,648.9,645.3,627.58,2370.0,405.0,160706,100855766.5,9896,HNDFDS
2022-11-21,EQ,581.9,605.1,581.9,581.9,596.3,596.5,597.73,2370.0,405.0,103676,61970281.95,5504,HNDFDS
2022-11-18,EQ,600.0,614.0,572.0,597.25,583.0,581.9,586.01,2370.0,405.0,95758,56115457.6,7414,HNDFDS
2022-11-17,EQ,609.0,634.95,592.1,608.75,594.0,597.25,609.7,2370.0,405.0,100570,61317263.45,6649,HNDFDS
2022-11-16,EQ,626.1,627.0,591.35,626.1,610.0,608.75,607.41,2370.0,405.0,148037,89918727.9,10568,HNDFDS
2022-11-15,EQ,618.8,648.85,595.5,607.75,630.0,626.1,629.34,2370.0,405.0,462706,291201430.35,24756,HNDFDS
2022-11-14,EQ,569.8,617.0,565.55,559.2,610.0,607.75,601.71,2370.0,405.0,647088,389357367.0,32512,HNDFDS
2022-11-11,EQ,507.0,566.7,502.1,497.8,556.85,559.2,548.22,2370.0,405.0,529920,290510739.6,32213,HNDFDS
2022-11-10,EQ,503.0,503.0,493.75,496.2,495.1,497.8,499.13,2370.0,405.0,40663,20295945.95,4607,HNDFDS
2022-11-09,EQ,506.0,510.0,490.55,480.0,496.0,496.2,499.63,2370.0,405.0,53641,26800876.1,5956,HNDFDS
2022-11-07,EQ,485.0,485.0,475.0,478.5,484.0,480.0,478.66,2370.0,405.0,25899,12396782.45,3148,HNDFDS
2022-11-04,EQ,470.85,485.0,468.7,467.7,479.95,478.5,474.65,2370.0,405.0,24994,11863319.9,4216,HNDFDS
2022-11-03,EQ,473.0,483.85,465.0,478.55,468.05,467.7,471.42,2370.0,405.0,29757,14028151.5,4063,HNDFDS
2022-11-02,EQ,494.5,494.5,476.65,487.3,478.45,478.55,481.61,2370.0,405.0,23594,11363133.3,3299,HNDFDS
2022-11-01,EQ,505.8,505.8,485.0,502.15,496.0,487.3,490.73,2370.0,405.0,35358,17351089.75,4829,HNDFDS
2022-10-31,EQ,499.95,506.0,495.0,496.35,504.0,502.15,503.13,2370.0,405.0,36594,18411466.55,2907,HNDFDS
2022-10-28,EQ,506.0,506.0,492.2,501.05,496.4,496.35,501.14,2370.0,405.0,38121,19103820.15,4827,HNDFDS
2022-10-27,EQ,495.0,513.0,484.1,487.3,502.75,501.05,502.93,2370.0,405.0,83707,42098777.85,9479,HNDFDS
2022-10-25,EQ,480.5,494.3,476.55,480.5,489.0,487.3,488.0,2370.0,405.0,30879,15068810.05,3689,HNDFDS
2022-10-24,EQ,484.9,492.5,463.05,476.25,485.0,480.5,484.18,2370.0,405.0,17579,8511316.95,2073,HNDFDS
