DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,101.55,103.5,99.8,101.0,101.15,100.8,101.89,108.85,42.35,3702156,377214126.1,16091,HSCL
2022-12-29,EQ,94.6,101.3,94.6,96.1,101.15,101.0,99.19,108.85,42.35,4838712,479969260.1,16262,HSCL
2022-12-28,EQ,94.0,96.7,93.0,93.95,96.2,96.1,95.41,108.85,42.35,2331447,222454676.9,9068,HSCL
2022-12-27,EQ,95.7,96.75,92.95,95.05,93.9,93.95,94.54,108.85,42.35,1837170,173691087.8,10435,HSCL
2022-12-26,EQ,83.65,95.75,82.65,85.8,95.45,95.05,91.25,108.85,42.35,6364076,580729692.0,22195,HSCL
2022-12-23,EQ,87.3,87.9,82.4,88.5,86.2,85.8,85.12,108.85,41.55,6052094,515179394.4,21183,HSCL
2022-12-22,EQ,94.0,94.85,87.3,93.95,88.95,88.5,89.86,108.85,41.55,3975140,357205937.0,20254,HSCL
2022-12-21,EQ,97.35,98.0,93.25,96.9,93.95,93.95,95.54,108.85,41.55,2492138,238110657.3,12141,HSCL
2022-12-20,EQ,97.65,98.0,96.2,97.7,96.8,96.9,96.91,108.85,41.55,1250737,121207433.7,6769,HSCL
2022-12-19,EQ,98.45,99.25,97.3,97.95,97.75,97.7,98.08,108.85,41.55,1308930,128383971.1,7041,HSCL
2022-12-16,EQ,97.8,99.2,96.3,97.8,98.8,97.95,97.72,108.85,41.55,2267926,221629555.15,9583,HSCL
2022-12-15,EQ,98.95,100.55,97.25,98.95,97.9,97.8,98.84,108.85,41.55,2550056,252060230.05,12627,HSCL
2022-12-14,EQ,99.8,100.05,98.5,99.4,98.8,98.95,99.17,108.85,41.55,1793701,177887056.85,8112,HSCL
2022-12-13,EQ,100.0,100.9,99.0,99.5,99.3,99.4,99.9,108.85,41.55,1299651,129837772.25,8906,HSCL
2022-12-12,EQ,99.8,100.15,98.5,99.8,99.4,99.5,99.31,108.85,41.55,1459360,144931060.45,8505,HSCL
2022-12-09,EQ,102.0,102.35,99.25,101.45,99.85,99.8,100.46,108.85,41.55,1840692,184911082.0,8141,HSCL
