DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,52.75,53.1,51.8,52.15,52.1,52.1,52.53,58.85,30.6,6566969,344968290.85,13814,HUDCO
2022-12-29,EQ,50.75,52.95,50.7,51.7,52.15,52.15,51.87,58.85,30.6,9582157,497002077.3,20216,HUDCO
2022-12-28,EQ,50.3,52.1,49.7,50.2,51.4,51.7,51.0,58.85,30.6,10132199,516757710.9,18699,HUDCO
2022-12-27,EQ,50.2,51.4,49.1,49.35,50.25,50.2,50.16,58.85,30.6,11071705,555354790.15,19077,HUDCO
2022-12-26,EQ,45.75,49.95,45.3,45.8,49.9,49.35,48.43,58.85,30.6,14231832,689284886.9,23115,HUDCO
2022-12-23,EQ,49.25,49.5,45.4,49.95,46.1,45.8,47.39,58.85,30.6,13806920,654357517.85,26518,HUDCO
2022-12-22,EQ,52.6,53.1,49.0,51.9,49.8,49.95,50.29,58.85,30.6,17243013,867196533.35,29921,HUDCO
2022-12-21,EQ,56.65,57.55,50.25,56.3,51.65,51.9,53.6,58.85,30.6,22087643,1184001384.35,36090,HUDCO
2022-12-20,EQ,57.9,58.1,55.45,57.9,56.2,56.3,56.48,58.85,30.6,13019544,735311956.8,21993,HUDCO
2022-12-19,EQ,54.3,58.8,53.75,53.7,57.7,57.9,57.07,58.85,30.6,33188218,1894007555.85,55978,HUDCO
2022-12-16,EQ,56.4,57.4,53.2,56.4,53.95,53.7,55.15,58.85,30.6,14826511,817689492.25,29348,HUDCO
2022-12-15,EQ,55.7,58.85,55.15,55.8,56.75,56.4,57.18,58.85,30.6,27382347,1565676961.3,46695,HUDCO
2022-12-14,EQ,56.0,57.45,54.85,55.05,55.7,55.8,56.3,57.45,30.6,30297827,1705690527.15,49453,HUDCO
2022-12-13,EQ,49.85,56.2,49.65,49.3,56.1,55.05,53.93,56.2,30.6,49094896,2647732760.25,79823,HUDCO
2022-12-12,EQ,49.3,50.25,48.55,49.15,49.55,49.3,49.36,55.2,30.6,7379041,364237145.9,13605,HUDCO
2022-12-09,EQ,52.1,52.8,48.5,51.8,49.4,49.15,50.53,55.2,30.6,12800730,646805505.25,20495,HUDCO
2022-12-08,EQ,52.6,53.1,51.5,52.4,51.9,51.8,52.17,55.2,30.6,5838385,304602394.3,14067,HUDCO
2022-12-07,EQ,52.25,53.15,51.5,51.75,52.35,52.4,52.29,55.2,30.6,9894610,517382736.95,16645,HUDCO
2022-12-06,EQ,52.95,53.6,51.4,52.9,51.85,51.75,52.2,55.2,30.6,7599239,396667484.0,14166,HUDCO
2022-12-05,EQ,53.2,54.0,52.3,52.8,52.95,52.9,53.13,55.2,30.6,10411579,553210923.45,18910,HUDCO
2022-12-02,EQ,53.15,54.2,52.6,53.2,52.8,52.8,53.25,55.2,30.6,9958913,530333108.9,19554,HUDCO
2022-12-01,EQ,53.65,53.7,52.25,53.3,53.15,53.2,53.0,55.2,30.6,16352727,866736984.4,30129,HUDCO
2022-11-30,EQ,49.15,55.2,49.0,48.75,53.1,53.3,53.61,55.2,30.6,80235507,4301174209.4,124699,HUDCO
2022-11-29,EQ,50.0,50.85,48.55,49.8,48.65,48.75,49.42,52.4,30.6,9012285,445345655.05,16378,HUDCO
2022-11-28,EQ,49.95,52.4,49.55,49.7,49.6,49.8,50.98,52.4,30.6,19340450,986071453.7,39873,HUDCO
2022-11-25,EQ,49.85,50.75,49.4,49.65,49.65,49.7,49.98,51.35,30.6,9451137,472334411.35,17469,HUDCO
2022-11-24,EQ,50.8,51.35,49.5,50.85,49.55,49.65,50.19,51.35,30.6,12936932,649249800.75,24913,HUDCO
2022-11-23,EQ,48.3,51.15,47.5,48.2,50.6,50.85,50.01,51.15,30.6,34237755,1712373013.7,60911,HUDCO
2022-11-22,EQ,46.75,49.75,46.7,46.25,48.05,48.2,48.48,49.8,30.6,26885242,1303282694.5,44732,HUDCO
2022-11-21,EQ,46.85,47.45,45.65,46.85,46.3,46.25,46.38,49.8,30.6,11480858,532506220.3,18984,HUDCO
2022-11-18,EQ,48.65,48.65,46.5,48.9,46.9,46.85,47.12,49.8,30.6,17155482,808326963.1,30406,HUDCO
