DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,1241.95,1259.0,1234.95,1235.75,1239.0,1236.8,1247.25,1472.0,1071.0,608914,759466860.2,21970,ICICIGI
2022-12-29,EQ,1230.0,1245.0,1219.75,1236.1,1244.8,1235.75,1232.64,1472.0,1071.0,532654,656568208.1,32345,ICICIGI
2022-12-28,EQ,1242.75,1254.0,1230.0,1242.75,1239.95,1236.1,1237.12,1472.0,1071.0,432836,535470219.95,26619,ICICIGI
2022-12-27,EQ,1239.0,1254.0,1228.4,1238.7,1243.2,1242.75,1242.48,1472.0,1071.0,330784,410992416.6,18144,ICICIGI
2022-12-26,EQ,1223.05,1253.95,1223.0,1223.6,1235.15,1238.7,1240.26,1472.0,1071.0,665901,825891480.25,22293,ICICIGI
2022-12-23,EQ,1234.25,1239.0,1214.15,1239.75,1228.9,1223.6,1223.33,1472.0,1071.0,824353,1008458608.2,41130,ICICIGI
2022-12-22,EQ,1224.4,1243.0,1212.65,1224.4,1235.2,1239.75,1226.76,1472.0,1071.0,533499,654474822.15,30321,ICICIGI
2022-12-21,EQ,1237.55,1252.0,1216.6,1236.45,1219.6,1224.4,1233.14,1472.0,1071.0,493935,609090995.95,27924,ICICIGI
2022-12-20,EQ,1248.35,1253.85,1229.25,1248.35,1237.15,1236.45,1235.88,1472.0,1071.0,584204,722007352.0,32490,ICICIGI
2022-12-19,EQ,1237.0,1250.0,1224.45,1236.45,1246.25,1248.35,1240.25,1472.0,1071.0,307588,381484487.75,23649,ICICIGI
2022-12-16,EQ,1230.0,1242.0,1221.5,1234.2,1237.0,1236.45,1235.79,1472.0,1071.0,423279,523084784.7,19556,ICICIGI
2022-12-15,EQ,1249.9,1261.55,1225.3,1243.7,1234.05,1234.2,1235.9,1472.0,1071.0,515065,636567109.0,44819,ICICIGI
2022-12-14,EQ,1225.0,1248.95,1225.0,1224.45,1244.75,1243.7,1239.58,1472.0,1071.0,410641,509022566.35,17016,ICICIGI
2022-12-13,EQ,1236.0,1251.75,1215.0,1229.85,1224.8,1224.45,1232.2,1472.0,1071.0,436001,537239888.2,23728,ICICIGI
2022-12-12,EQ,1247.95,1251.95,1225.8,1247.95,1232.3,1229.85,1238.09,1472.0,1071.0,380539,471141399.0,31659,ICICIGI
2022-12-09,EQ,1258.8,1261.95,1242.15,1249.15,1248.0,1247.95,1251.04,1472.0,1071.0,552253,690889347.0,46228,ICICIGI
2022-12-08,EQ,1247.0,1261.0,1241.65,1245.9,1247.15,1249.15,1251.82,1472.0,1071.0,778965,975126813.2,29957,ICICIGI
2022-12-07,EQ,1227.0,1258.65,1227.0,1220.15,1248.0,1245.9,1246.63,1472.0,1071.0,762091,950047537.65,30901,ICICIGI
2022-12-06,EQ,1217.5,1239.0,1211.65,1223.4,1221.0,1220.15,1221.49,1472.0,1071.0,823892,1006376046.75,34215,ICICIGI
2022-12-05,EQ,1239.95,1244.75,1218.0,1238.65,1219.9,1223.4,1228.49,1472.0,1071.0,423089,519761946.05,16577,ICICIGI
2022-12-02,EQ,1224.6,1253.95,1222.05,1224.6,1245.0,1238.65,1242.14,1486.4,1071.0,864356,1073652010.15,70739,ICICIGI
2022-12-01,EQ,1212.4,1229.0,1205.0,1211.15,1224.8,1224.6,1219.04,1486.4,1071.0,971036,1183732948.5,28160,ICICIGI
2022-11-30,EQ,1181.6,1213.2,1176.05,1175.7,1212.0,1211.15,1204.59,1486.4,1071.0,1400360,1686853934.0,74802,ICICIGI
2022-11-29,EQ,1163.0,1187.0,1159.1,1158.8,1175.95,1175.7,1173.01,1486.4,1071.0,538581,631762743.75,32898,ICICIGI
2022-11-28,EQ,1162.5,1173.4,1153.6,1159.35,1157.5,1158.8,1157.52,1486.4,1071.0,1132220,1310562113.35,36155,ICICIGI
2022-11-25,EQ,1175.0,1175.0,1155.0,1169.9,1155.0,1159.35,1162.21,1522.0,1071.0,475121,552190683.85,24838,ICICIGI
2022-11-24,EQ,1135.6,1171.0,1134.85,1133.95,1170.0,1169.9,1162.09,1522.0,1071.0,1462853,1699965688.1,23045,ICICIGI
2022-11-23,EQ,1128.65,1137.25,1125.65,1128.65,1135.95,1133.95,1130.7,1522.0,1071.0,1248207,1411349474.65,22441,ICICIGI
2022-11-22,EQ,1127.75,1134.0,1124.5,1127.75,1132.1,1128.65,1129.16,1522.0,1071.0,341523,385633351.9,29250,ICICIGI
2022-11-21,EQ,1136.7,1139.25,1121.0,1136.7,1126.9,1127.75,1128.12,1522.0,1071.0,1030548,1162586110.9,38136,ICICIGI
2022-11-18,EQ,1129.0,1142.0,1124.25,1127.25,1142.0,1136.7,1133.43,1548.25,1071.0,449207,509146273.4,25725,ICICIGI
2022-11-17,EQ,1136.55,1147.0,1123.5,1131.35,1125.95,1127.25,1134.37,1548.25,1071.0,641922,728179219.85,36190,ICICIGI
2022-11-16,EQ,1124.8,1137.45,1117.25,1120.2,1133.0,1131.35,1122.97,1548.25,1071.0,892837,1002632943.1,33366,ICICIGI
2022-11-15,EQ,1131.5,1132.95,1116.1,1133.45,1122.5,1120.2,1120.25,1548.25,1071.0,1274776,1428070377.4,31744,ICICIGI
2022-11-14,EQ,1137.6,1140.75,1123.6,1131.9,1131.5,1133.45,1131.73,1548.25,1071.0,334306,378345408.75,24423,ICICIGI
2022-11-11,EQ,1140.55,1148.95,1128.45,1134.85,1133.0,1131.9,1134.95,1548.25,1071.0,619654,703278146.75,21210,ICICIGI
2022-11-10,EQ,1154.0,1159.95,1130.3,1155.5,1135.0,1134.85,1138.92,1548.25,1071.0,467236,532145376.6,31155,ICICIGI
2022-11-09,EQ,1160.25,1171.0,1148.7,1160.25,1149.9,1155.5,1159.28,1548.25,1071.0,364895,423014966.8,28298,ICICIGI
2022-11-07,EQ,1162.5,1166.45,1147.55,1161.15,1163.9,1160.25,1157.95,1548.25,1071.0,472838,547520782.75,26570,ICICIGI
2022-11-04,EQ,1169.0,1169.0,1152.1,1165.2,1162.2,1161.15,1158.73,1548.25,1071.0,235006,272307486.55,20823,ICICIGI
2022-11-03,EQ,1158.4,1169.95,1156.65,1167.85,1161.25,1165.2,1164.23,1548.25,1071.0,391305,455570120.5,20506,ICICIGI
2022-11-02,EQ,1172.0,1177.0,1158.95,1172.1,1170.0,1167.85,1167.87,1548.25,1071.0,799025,933157584.4,47828,ICICIGI
2022-11-01,EQ,1175.0,1176.75,1162.1,1169.95,1172.0,1172.1,1170.79,1548.25,1071.0,375840,440031450.0,23333,ICICIGI
2022-10-31,EQ,1176.0,1183.9,1156.5,1164.35,1171.7,1169.95,1166.89,1548.25,1071.0,829508,967948551.2,37414,ICICIGI
2022-10-28,EQ,1167.9,1172.8,1159.3,1162.05,1169.0,1164.35,1164.11,1548.25,1071.0,468144,544970398.15,25597,ICICIGI
2022-10-27,EQ,1162.95,1164.95,1150.5,1153.95,1161.0,1162.05,1159.22,1548.25,1071.0,493714,572321737.35,26066,ICICIGI
2022-10-25,EQ,1155.0,1166.75,1149.65,1150.0,1156.0,1153.95,1157.44,1548.25,1071.0,594839,688491654.75,32649,ICICIGI
2022-10-24,EQ,1165.0,1168.65,1145.85,1151.75,1150.0,1150.0,1153.94,1548.25,1071.0,79894,92192942.85,4036,ICICIGI
2022-10-21,EQ,1153.0,1163.65,1135.1,1152.95,1156.1,1151.75,1151.97,1548.25,1071.0,995950,1147307608.3,33693,ICICIGI
2022-10-20,EQ,1138.9,1157.25,1127.0,1137.9,1150.55,1152.95,1147.73,1548.25,1071.0,914488,1049586373.25,54371,ICICIGI
2022-10-19,EQ,1178.0,1182.0,1131.95,1149.4,1137.95,1137.9,1147.25,1548.25,1071.0,2589174,2970431293.75,92116,ICICIGI
2022-10-18,EQ,1138.05,1151.0,1131.65,1132.35,1147.0,1149.4,1143.68,1548.25,1071.0,1490999,1705221716.45,74507,ICICIGI
2022-10-17,EQ,1126.0,1137.5,1118.6,1126.65,1133.65,1132.35,1131.71,1548.25,1071.0,915437,1036007697.25,46646,ICICIGI
2022-10-14,EQ,1137.0,1145.0,1123.05,1131.8,1126.0,1126.65,1136.13,1548.25,1071.0,1441873,1638158044.85,65700,ICICIGI
2022-10-13,EQ,1130.0,1142.75,1120.75,1134.3,1131.0,1131.8,1132.63,1548.25,1071.0,476988,540251364.25,27714,ICICIGI
2022-10-12,EQ,1135.05,1143.0,1120.8,1135.05,1135.25,1134.3,1128.14,1548.25,1071.0,746825,842523308.95,40083,ICICIGI
2022-10-11,EQ,1135.0,1152.15,1126.95,1129.1,1136.5,1135.05,1136.25,1548.25,1071.0,836099,950021063.4,60470,ICICIGI
2022-10-10,EQ,1135.6,1138.75,1116.3,1144.9,1135.0,1129.1,1127.29,1548.25,1071.0,1053052,1187097825.8,118322,ICICIGI
2022-10-07,EQ,1164.85,1164.85,1139.0,1160.45,1148.35,1144.9,1145.51,1606.95,1071.0,1134702,1299809013.55,40708,ICICIGI
2022-10-06,EQ,1155.7,1167.0,1146.3,1149.95,1159.1,1160.45,1160.2,1606.95,1071.0,1007667,1169096834.4,61794,ICICIGI
2022-10-04,EQ,1136.0,1153.85,1135.0,1125.45,1144.1,1149.95,1143.55,1606.95,1071.0,523647,598818337.15,45738,ICICIGI
2022-10-03,EQ,1150.85,1154.05,1119.0,1151.15,1122.05,1125.45,1134.05,1606.95,1071.0,1267334,1437217362.4,111576,ICICIGI
2022-09-30,EQ,1165.95,1166.0,1148.0,1165.95,1150.05,1151.15,1153.48,1628.0,1071.0,1527493,1761934022.75,62728,ICICIGI
