DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,199.99,201.41,198.96,200.0,199.01,199.77,200.04,223.49,167.32,6315,1263266.44,214,ICICINF100
2022-12-29,EQ,200.95,200.95,197.81,199.07,200.75,200.0,198.95,223.49,167.32,2335,464550.1,238,ICICINF100
2022-12-28,EQ,199.42,200.15,198.2,199.13,198.7,199.07,199.42,223.49,167.32,4267,850928.18,210,ICICINF100
2022-12-27,EQ,200.34,200.34,196.27,198.32,199.75,199.13,199.01,223.49,167.32,4697,934745.06,338,ICICINF100
2022-12-26,EQ,195.65,198.68,195.01,195.65,198.27,198.32,197.09,223.49,167.32,9103,1794116.31,696,ICICINF100
2022-12-23,EQ,217.29,217.3,195.0,199.34,195.1,195.65,197.48,223.49,167.32,8292,1637468.45,516,ICICINF100
2022-12-22,EQ,203.46,203.46,198.81,201.07,199.1,199.34,200.01,223.49,167.32,10884,2176861.88,486,ICICINF100
2022-12-21,EQ,204.57,204.57,200.62,202.65,201.2,201.07,202.5,223.49,167.32,9546,1933037.19,413,ICICINF100
2022-12-20,EQ,217.69,217.69,200.98,203.27,202.85,202.65,202.21,223.49,167.32,11431,2311461.7,328,ICICINF100
2022-12-19,EQ,204.75,210.0,201.45,201.98,203.5,203.27,202.97,223.49,167.32,12531,2543465.36,767,ICICINF100
2022-12-16,EQ,222.0,222.0,200.19,203.68,203.0,201.98,202.44,223.49,167.32,20837,4218208.46,409,ICICINF100
2022-12-15,EQ,205.6,207.85,203.46,205.6,203.57,203.68,204.33,223.49,167.32,11254,2299577.48,439,ICICINF100
2022-12-14,EQ,205.0,206.88,204.64,204.64,205.16,205.6,206.03,223.49,167.32,4283,882408.04,376,ICICINF100
2022-12-13,EQ,217.7,217.7,203.95,204.3,204.3,204.64,204.86,223.49,167.32,12921,2647057.27,351,ICICINF100
2022-12-12,EQ,205.77,205.77,201.9,203.95,203.65,204.3,204.05,223.49,167.32,11846,2417227.43,859,ICICINF100
2022-12-09,EQ,207.86,207.86,203.65,205.43,204.67,203.95,204.98,223.49,167.32,17805,3649701.7,468,ICICINF100
2022-12-08,EQ,207.48,207.48,204.21,205.04,204.85,205.43,205.39,223.49,167.32,4389,901452.2,418,ICICINF100
2022-12-07,EQ,207.28,207.28,205.0,205.68,205.25,205.04,205.61,223.49,167.32,4963,1020457.07,535,ICICINF100
2022-12-06,EQ,207.49,207.49,204.22,206.0,205.65,205.68,205.61,223.49,167.32,5462,1123056.33,497,ICICINF100
2022-12-05,EQ,217.7,217.7,205.01,206.62,206.19,206.0,206.11,223.49,167.32,9049,1865047.86,798,ICICINF100
2022-12-02,EQ,209.48,209.48,204.51,207.47,206.69,206.62,206.44,223.49,167.32,16759,3459726.0,556,ICICINF100
