DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,132.5,136.65,132.5,132.35,134.0,134.55,134.78,275.05,119.55,84844,11435222.35,2178,ICIL
2022-12-29,EQ,135.25,135.5,131.6,135.25,133.2,132.35,133.21,275.05,119.55,70922,9447533.6,2202,ICIL
2022-12-28,EQ,130.7,136.7,130.1,130.7,134.3,135.25,133.79,275.05,119.55,162687,21765215.95,4027,ICIL
2022-12-27,EQ,127.5,133.15,126.75,126.65,133.0,130.7,129.13,275.05,119.55,103639,13382569.5,2327,ICIL
2022-12-26,EQ,122.0,128.4,120.05,120.9,127.1,126.65,125.93,275.05,119.55,175021,22039933.1,4275,ICIL
2022-12-23,EQ,127.0,127.0,120.2,128.1,121.0,120.9,122.51,275.05,119.55,221014,27076208.75,5918,ICIL
2022-12-22,EQ,132.35,133.2,127.05,131.35,128.4,128.1,128.71,275.05,119.55,171207,22035910.35,4883,ICIL
2022-12-21,EQ,135.8,137.2,130.65,135.0,130.9,131.35,133.25,275.05,119.55,135685,18080596.9,3935,ICIL
2022-12-20,EQ,135.3,136.65,134.0,135.9,135.25,135.0,135.05,275.05,119.55,63518,8578117.45,2067,ICIL
2022-12-19,EQ,135.95,137.1,134.25,135.95,136.0,135.9,135.85,275.05,119.55,89001,12090876.5,1954,ICIL
2022-12-16,EQ,136.9,139.6,135.4,136.3,135.5,135.95,137.4,275.05,119.55,91231,12535057.1,2229,ICIL
2022-12-15,EQ,139.85,140.9,135.9,139.05,136.4,136.3,138.64,275.05,119.55,143595,19908193.85,2755,ICIL
2022-12-14,EQ,139.7,140.75,137.05,138.55,139.25,139.05,139.08,275.05,119.55,131132,18237549.15,3000,ICIL
2022-12-13,EQ,139.4,141.9,138.1,138.9,138.5,138.55,140.01,275.05,119.55,116218,16271255.85,2556,ICIL
2022-12-12,EQ,140.0,140.0,137.65,139.25,139.5,138.9,138.96,275.05,119.55,70796,9837582.25,1647,ICIL
2022-12-09,EQ,143.0,143.5,138.4,142.5,139.9,139.25,140.89,278.2,119.55,144267,20325752.6,2850,ICIL
2022-12-08,EQ,142.7,143.2,141.0,141.7,142.6,142.5,142.11,278.2,119.55,109941,15623788.1,2156,ICIL
2022-12-07,EQ,140.0,147.55,139.8,139.0,141.4,141.7,143.51,278.2,119.55,643672,92370507.4,8617,ICIL
2022-12-06,EQ,140.0,140.75,137.7,140.25,139.0,139.0,138.97,278.2,119.55,111374,15477350.0,1644,ICIL
2022-12-05,EQ,140.25,141.9,140.05,139.15,140.5,140.25,140.67,278.2,119.55,144263,20292838.7,2369,ICIL
2022-12-02,EQ,139.65,140.9,138.1,138.95,139.5,139.15,139.65,278.2,119.55,235036,32822211.55,3319,ICIL
2022-12-01,EQ,138.5,141.3,137.0,137.15,139.1,138.95,139.14,278.2,119.55,347950,48413831.4,4561,ICIL
2022-11-30,EQ,137.7,138.0,135.9,137.0,137.15,137.15,137.13,278.2,119.55,119901,16441494.0,1870,ICIL
2022-11-29,EQ,136.0,141.7,136.0,136.6,136.75,137.0,138.31,278.2,119.55,382222,52863361.95,5634,ICIL
2022-11-28,EQ,135.0,138.3,134.55,134.5,136.6,136.6,136.47,278.2,119.55,201191,27456229.55,3023,ICIL
2022-11-25,EQ,133.0,135.85,132.05,132.55,133.8,134.5,134.1,278.2,119.55,197996,26550880.55,4563,ICIL
2022-11-24,EQ,132.7,133.9,131.3,132.75,132.75,132.55,132.53,278.2,119.55,173315,22969675.55,3909,ICIL
2022-11-23,EQ,133.25,133.7,132.0,132.55,132.55,132.75,132.65,278.2,119.55,160294,21263746.8,3478,ICIL
2022-11-22,EQ,132.4,133.85,130.2,132.2,133.2,132.55,131.84,278.2,119.55,177435,23392507.1,2894,ICIL
2022-11-21,EQ,134.0,134.9,131.9,134.55,132.0,132.2,132.92,278.2,119.55,72408,9624415.3,1715,ICIL
2022-11-18,EQ,134.05,136.85,133.7,133.35,134.2,134.55,134.91,278.2,119.55,114482,15444580.7,2965,ICIL
2022-11-17,EQ,132.8,135.0,132.5,132.55,134.45,133.35,133.66,278.2,119.55,110388,14754004.1,2552,ICIL
2022-11-16,EQ,133.7,136.3,131.55,133.0,132.5,132.55,133.78,278.2,119.55,101743,13611071.8,2466,ICIL
2022-11-15,EQ,134.85,136.9,132.2,136.2,133.0,133.0,134.15,278.2,119.55,151941,20382301.65,2862,ICIL
2022-11-14,EQ,135.35,138.8,134.3,134.65,136.2,136.2,136.76,278.2,119.55,199871,27334528.4,4772,ICIL
2022-11-11,EQ,134.2,135.85,132.5,132.9,135.3,134.65,134.37,278.2,119.55,115227,15483563.45,2656,ICIL
2022-11-10,EQ,133.35,134.2,132.05,134.1,133.0,132.9,133.03,278.2,119.55,64649,8600516.75,2205,ICIL
2022-11-09,EQ,136.0,136.4,133.2,136.25,134.45,134.1,134.7,278.2,119.55,142444,19187421.95,2696,ICIL
2022-11-07,EQ,136.55,137.7,135.05,135.85,137.0,136.25,136.32,278.2,119.55,149408,20367016.05,3566,ICIL
2022-11-04,EQ,133.0,139.4,132.6,132.3,136.25,135.85,136.49,278.2,119.55,420874,57443023.7,6862,ICIL
2022-11-03,EQ,134.4,135.6,131.5,134.45,132.9,132.3,133.51,278.2,119.55,198855,26548642.65,4612,ICIL
2022-11-02,EQ,135.8,140.1,133.4,135.8,134.0,134.45,135.92,278.2,119.55,266406,36209104.35,5523,ICIL
2022-11-01,EQ,141.0,141.25,134.75,140.3,136.25,135.8,136.71,278.2,119.55,401429,54880624.55,9124,ICIL
2022-10-31,EQ,131.35,148.9,131.1,130.65,140.0,140.3,144.03,278.2,119.55,2743855,395194800.65,49185,ICIL
2022-10-28,EQ,132.3,133.35,130.1,132.05,131.8,130.65,131.37,285.2,119.55,63854,8388328.85,3393,ICIL
2022-10-27,EQ,132.6,134.4,131.5,131.4,132.6,132.05,132.69,285.2,119.55,115838,15370445.85,5041,ICIL
2022-10-25,EQ,135.5,135.5,130.9,135.2,131.8,131.4,132.85,285.2,119.55,98945,13144777.8,2952,ICIL
2022-10-24,EQ,134.9,135.85,133.6,133.55,135.5,135.2,134.78,285.2,119.55,51093,6886510.6,743,ICIL
2022-10-21,EQ,129.6,134.5,129.6,130.05,133.8,133.55,132.9,303.0,119.55,232121,30849314.15,4534,ICIL
2022-10-20,EQ,129.0,130.7,127.8,129.35,130.5,130.05,129.6,303.0,119.55,142751,18500570.6,5197,ICIL
2022-10-19,EQ,131.2,133.0,128.35,131.6,129.5,129.35,131.05,303.0,119.55,96830,12689809.3,3339,ICIL
2022-10-18,EQ,130.3,133.1,130.0,129.65,132.35,131.6,131.29,303.0,119.55,184684,24247788.1,4000,ICIL
2022-10-17,EQ,130.15,130.8,127.4,129.5,130.0,129.65,129.65,303.0,119.55,138106,17905134.3,3497,ICIL
2022-10-14,EQ,129.55,133.4,128.0,128.35,129.8,129.5,129.83,315.0,119.55,135776,17627990.05,2769,ICIL
2022-10-13,EQ,129.4,130.5,127.25,129.25,129.0,128.35,128.68,315.0,119.55,171912,22121872.5,4107,ICIL
2022-10-12,EQ,131.45,131.6,128.5,131.15,129.2,129.25,129.65,315.0,119.55,207594,26914068.2,3995,ICIL
2022-10-11,EQ,137.0,138.7,129.55,137.15,130.0,131.15,133.54,315.0,119.55,231332,30891077.25,4854,ICIL
2022-10-10,EQ,136.8,138.25,135.45,137.25,137.15,137.15,136.83,315.0,119.55,117664,16100070.75,2999,ICIL
2022-10-07,EQ,139.15,139.9,134.95,138.45,137.65,137.25,136.78,315.0,119.55,199768,27325133.95,4907,ICIL
2022-10-06,EQ,138.4,141.9,137.7,137.65,138.0,138.45,139.4,315.0,119.55,262793,36634419.55,5257,ICIL
