DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,57.55,59.5,57.2,56.75,58.85,58.8,58.46,64.3,28.95,55516065,3245500542.2,72268,IDFCFIRSTB
2022-12-29,EQ,55.6,58.9,54.8,55.85,57.3,56.75,56.09,64.3,28.95,51604303,2894525267.85,78215,IDFCFIRSTB
2022-12-28,EQ,56.0,56.4,55.35,55.95,55.75,55.85,55.83,64.3,28.95,28870928,1611767963.6,44369,IDFCFIRSTB
2022-12-27,EQ,56.2,56.55,54.95,55.65,55.95,55.95,55.74,64.3,28.95,39445196,2198492444.15,95902,IDFCFIRSTB
2022-12-26,EQ,53.0,56.15,52.3,53.0,55.65,55.65,54.65,64.3,28.95,54697186,2989440366.3,94267,IDFCFIRSTB
2022-12-23,EQ,56.1,56.6,52.45,56.95,53.1,53.0,54.07,64.3,28.95,62775042,3394504893.7,95216,IDFCFIRSTB
2022-12-22,EQ,59.4,59.6,56.3,58.95,56.85,56.95,57.32,64.3,28.95,53775906,3082661575.5,86023,IDFCFIRSTB
2022-12-21,EQ,61.75,62.0,58.7,61.45,58.85,58.95,60.13,64.3,28.95,36730533,2208666305.05,59283,IDFCFIRSTB
2022-12-20,EQ,62.75,62.75,60.5,62.5,61.5,61.45,61.34,64.3,28.95,30569636,1874992089.5,59027,IDFCFIRSTB
2022-12-19,EQ,62.25,62.7,61.35,61.95,62.65,62.5,62.1,64.3,28.95,23508086,1459798836.8,56689,IDFCFIRSTB
2022-12-16,EQ,62.1,63.0,61.2,62.6,61.95,61.95,62.02,64.3,28.95,39089164,2424463537.35,74497,IDFCFIRSTB
2022-12-15,EQ,63.0,64.3,62.35,62.7,62.55,62.6,63.43,64.3,28.95,72230847,4581770991.35,128701,IDFCFIRSTB
2022-12-14,EQ,60.5,63.2,60.0,60.15,62.65,62.7,62.0,63.2,28.95,84343663,5229472354.05,126473,IDFCFIRSTB
2022-12-13,EQ,59.2,60.3,59.2,59.1,60.2,60.15,59.8,61.2,28.95,26880905,1607386562.25,61627,IDFCFIRSTB
2022-12-12,EQ,58.65,59.25,57.65,58.6,59.15,59.1,58.61,61.2,28.95,19725963,1156070199.2,44673,IDFCFIRSTB
2022-12-09,EQ,60.2,60.4,57.9,59.7,58.7,58.6,59.15,61.2,28.95,33371203,1973924709.85,53777,IDFCFIRSTB
