DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,544.95,545.15,538.0,537.45,539.0,538.65,540.78,867.0,478.0,1832,990714.05,220,IFBAGRO
2022-12-29,EQ,532.1,541.95,532.0,538.05,540.0,537.45,535.72,867.0,478.0,1392,745726.35,184,IFBAGRO
2022-12-28,EQ,537.05,545.0,532.85,529.2,538.0,538.05,539.52,867.0,478.0,3808,2054489.15,471,IFBAGRO
2022-12-27,EQ,522.5,535.45,522.5,520.9,531.0,529.2,530.19,867.0,478.0,6183,3278149.75,586,IFBAGRO
2022-12-26,EQ,517.0,527.2,504.95,515.1,520.05,520.9,514.65,867.0,478.0,13376,6883952.45,997,IFBAGRO
2022-12-23,EQ,545.0,545.0,512.0,543.0,516.0,515.1,522.97,867.0,478.0,11531,6030328.05,860,IFBAGRO
2022-12-22,EQ,551.0,551.0,536.0,546.7,544.0,543.0,540.17,867.0,478.0,3420,1847395.15,370,IFBAGRO
2022-12-21,EQ,564.05,571.7,545.0,565.65,547.0,546.7,555.38,867.0,478.0,11748,6524638.15,742,IFBAGRO
2022-12-20,EQ,579.0,579.0,559.0,571.15,563.0,565.65,566.83,867.0,478.0,3537,2004872.2,383,IFBAGRO
2022-12-19,EQ,551.0,590.0,550.05,553.5,575.55,571.15,573.99,867.0,478.0,16072,9225088.65,1170,IFBAGRO
2022-12-16,EQ,558.0,561.15,551.1,558.95,553.0,553.5,555.4,867.0,478.0,4183,2323233.2,441,IFBAGRO
2022-12-15,EQ,568.85,568.85,557.0,562.65,558.05,558.95,561.97,867.0,478.0,3827,2150655.75,600,IFBAGRO
2022-12-14,EQ,569.95,569.95,561.1,562.65,563.7,562.65,563.23,867.0,478.0,2157,1214891.0,223,IFBAGRO
2022-12-13,EQ,568.95,571.15,561.0,561.65,561.0,562.65,564.82,867.0,478.0,3503,1978578.65,398,IFBAGRO
2022-12-12,EQ,569.85,569.9,556.85,561.8,560.0,561.65,563.14,867.0,478.0,4566,2571290.85,454,IFBAGRO
2022-12-09,EQ,574.95,575.85,556.95,570.25,563.85,561.8,566.76,867.0,478.0,6719,3808044.0,485,IFBAGRO
2022-12-08,EQ,579.7,583.25,565.5,574.65,566.1,570.25,575.45,867.0,478.0,4878,2807039.6,442,IFBAGRO
2022-12-07,EQ,579.75,586.2,571.55,571.2,573.25,574.65,579.6,867.0,478.0,10639,6166368.35,930,IFBAGRO
2022-12-06,EQ,567.1,575.15,564.0,567.15,569.25,571.2,570.66,867.0,478.0,6628,3782364.6,604,IFBAGRO
2022-12-05,EQ,568.75,573.0,561.8,565.3,563.0,567.15,567.67,867.0,478.0,7591,4309145.7,514,IFBAGRO
2022-12-02,EQ,555.5,575.65,552.1,553.65,560.55,565.3,564.22,867.0,478.0,12084,6817975.5,745,IFBAGRO
2022-12-01,EQ,563.55,564.95,552.75,555.25,554.0,553.65,555.67,867.0,478.0,5280,2933911.3,332,IFBAGRO
2022-11-30,EQ,558.4,563.0,550.0,556.25,554.0,555.25,556.31,867.0,478.0,8050,4478301.35,530,IFBAGRO
2022-11-29,EQ,574.35,574.35,550.0,569.15,555.0,556.25,555.35,867.0,478.0,22762,12640911.9,1162,IFBAGRO
2022-11-28,EQ,561.9,572.75,559.55,561.9,572.0,569.15,568.67,867.0,478.0,2697,1533693.15,280,IFBAGRO
2022-11-25,EQ,568.8,572.5,556.0,563.4,558.1,561.9,563.77,867.0,478.0,4582,2583178.1,420,IFBAGRO
2022-11-24,EQ,561.0,571.45,558.1,560.8,570.95,563.4,562.14,867.0,478.0,3780,2124904.75,346,IFBAGRO
2022-11-23,EQ,562.15,566.2,558.9,558.8,560.5,560.8,561.12,867.0,478.0,1953,1095864.1,187,IFBAGRO
