DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,271.25,272.5,259.0,267.25,259.0,261.55,264.48,354.0,241.0,15327,4053661.75,915,IFGLEXPOR
2022-12-29,EQ,263.05,270.45,263.05,266.15,268.5,267.25,266.36,354.0,241.0,11096,2955551.9,743,IFGLEXPOR
2022-12-28,EQ,270.95,275.0,262.15,268.1,262.55,266.15,270.94,354.0,241.0,44063,11938342.4,1913,IFGLEXPOR
2022-12-27,EQ,250.4,272.0,248.4,247.6,271.55,268.1,261.17,354.0,241.0,42884,11199988.5,2439,IFGLEXPOR
2022-12-26,EQ,249.55,256.95,246.25,249.6,253.4,247.6,250.34,354.0,241.0,15547,3892023.15,946,IFGLEXPOR
2022-12-23,EQ,251.75,256.5,245.0,249.65,254.0,249.6,247.93,354.0,241.0,14519,3599735.85,1006,IFGLEXPOR
2022-12-22,EQ,261.65,261.65,245.25,257.8,251.5,249.65,250.36,354.0,241.0,18818,4711303.3,805,IFGLEXPOR
2022-12-21,EQ,265.0,275.0,251.55,269.75,258.0,257.8,263.82,354.0,241.0,13759,3629936.05,1170,IFGLEXPOR
2022-12-20,EQ,266.75,272.0,260.6,265.45,272.0,269.75,266.28,354.0,241.0,8750,2329911.7,670,IFGLEXPOR
2022-12-19,EQ,260.05,267.45,260.05,264.9,267.0,265.45,264.4,354.0,241.0,9580,2532956.25,675,IFGLEXPOR
2022-12-16,EQ,262.15,268.2,255.6,258.3,265.65,264.9,262.53,354.0,241.0,14360,3769954.05,1078,IFGLEXPOR
2022-12-15,EQ,254.9,273.95,254.55,255.05,259.8,258.3,264.2,354.0,241.0,42149,11135690.25,1915,IFGLEXPOR
2022-12-14,EQ,255.85,255.85,253.15,253.15,254.75,255.05,254.75,354.0,241.0,12311,3136278.55,212,IFGLEXPOR
2022-12-13,EQ,255.95,256.0,251.0,252.25,253.8,253.15,254.24,354.0,241.0,11834,3008698.3,344,IFGLEXPOR
