DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,408.55,416.45,408.0,406.5,414.25,413.95,412.58,492.15,321.0,1286597,530822836.75,20287,IGL
2022-12-29,EQ,410.0,411.75,404.0,411.1,406.75,406.5,406.26,492.15,321.0,1173036,476557053.5,17636,IGL
2022-12-28,EQ,413.7,413.95,408.05,413.65,410.1,411.1,410.36,492.15,321.0,772753,317106578.25,17242,IGL
2022-12-27,EQ,416.05,416.25,408.0,412.05,414.0,413.65,411.92,492.15,321.0,891862,367377845.55,15332,IGL
2022-12-26,EQ,401.45,414.0,390.0,401.45,412.8,412.05,408.18,492.15,321.0,785323,320555816.4,15723,IGL
2022-12-23,EQ,419.95,425.15,399.95,424.45,402.5,401.45,408.12,504.0,321.0,2190887,894143439.4,38610,IGL
2022-12-22,EQ,440.0,440.15,423.2,438.1,424.0,424.45,427.53,504.0,321.0,1926488,823631656.45,27080,IGL
2022-12-21,EQ,444.0,447.0,436.35,442.6,436.9,438.1,441.17,504.0,321.0,1333203,588163565.1,19354,IGL
2022-12-20,EQ,440.0,443.95,435.8,441.15,443.0,442.6,439.95,504.0,321.0,1045642,460027725.45,16984,IGL
2022-12-19,EQ,433.8,442.0,431.4,429.55,441.25,441.15,437.63,504.0,321.0,1519313,664891576.9,23890,IGL
2022-12-16,EQ,442.65,443.0,426.25,442.65,429.6,429.55,430.88,513.45,321.0,2237051,963898970.2,34522,IGL
2022-12-15,EQ,442.0,446.2,439.2,442.7,442.5,442.65,443.43,513.45,321.0,941925,417677649.55,18105,IGL
2022-12-14,EQ,439.1,444.8,437.55,438.65,441.55,442.7,441.98,513.45,321.0,1029109,454846978.45,16482,IGL
2022-12-13,EQ,439.0,443.85,436.85,438.1,438.5,438.65,439.54,513.45,321.0,932282,409770914.15,21420,IGL
2022-12-12,EQ,436.0,439.1,428.05,435.75,438.9,438.1,435.86,513.45,321.0,1186245,517037645.45,21822,IGL
2022-12-09,EQ,438.1,443.5,433.25,437.3,435.35,435.75,438.41,513.45,321.0,1444628,633339886.6,24978,IGL
2022-12-08,EQ,435.0,438.4,433.3,434.85,437.1,437.3,436.03,513.45,321.0,753605,328593764.8,20303,IGL
2022-12-07,EQ,439.95,440.9,433.5,439.75,434.7,434.85,436.48,513.45,321.0,1343736,586509196.65,18923,IGL
2022-12-06,EQ,436.5,441.5,434.0,435.45,439.45,439.75,438.25,513.45,321.0,1555165,681548603.75,25781,IGL
2022-12-05,EQ,440.65,440.65,425.75,438.45,435.0,435.45,432.49,513.45,321.0,3186894,1378295842.35,51936,IGL
2022-12-02,EQ,436.0,440.35,432.0,434.1,437.95,438.45,436.91,513.45,321.0,2690990,1175723518.35,37768,IGL
2022-12-01,EQ,444.85,446.15,432.25,442.6,433.75,434.1,436.81,513.45,321.0,4288370,1873191726.0,48572,IGL
2022-11-30,EQ,435.0,452.0,433.3,433.5,443.25,442.6,443.72,513.45,321.0,8014378,3556135862.0,71562,IGL
2022-11-29,EQ,446.15,446.15,427.8,443.55,432.5,433.5,434.39,513.45,321.0,4984379,2165155267.0,86257,IGL
2022-11-28,EQ,430.0,449.6,429.0,430.6,443.05,443.55,441.95,513.45,321.0,4836920,2137697537.95,62991,IGL
2022-11-25,EQ,415.1,431.55,414.0,416.7,430.0,430.6,426.61,513.45,321.0,2563469,1093607855.25,35740,IGL
2022-11-24,EQ,414.75,418.35,408.5,412.65,416.0,416.7,414.56,513.45,321.0,1865349,773304453.9,34283,IGL
2022-11-23,EQ,415.75,417.2,407.4,414.85,413.0,412.65,411.03,513.45,321.0,1308646,537888720.35,22489,IGL
2022-11-22,EQ,422.0,430.0,406.5,420.9,414.05,414.85,414.71,513.45,321.0,2930887,1215480838.35,37590,IGL
2022-11-21,EQ,418.8,423.7,415.0,418.05,422.2,420.9,420.11,513.45,321.0,1811940,761215511.95,30409,IGL
2022-11-18,EQ,414.0,428.45,412.2,412.05,418.4,418.05,420.82,513.45,321.0,4557223,1917762646.35,57931,IGL
2022-11-17,EQ,422.5,424.8,411.3,422.3,412.7,412.05,415.38,513.45,321.0,1290457,536035828.7,21676,IGL
2022-11-16,EQ,434.85,435.45,420.25,433.7,422.2,422.3,426.17,513.45,321.0,2736082,1166039860.0,36156,IGL
2022-11-15,EQ,418.9,438.5,416.5,416.8,433.75,433.7,429.84,513.45,321.0,5850693,2514835454.05,60454,IGL
2022-11-14,EQ,422.0,424.75,415.45,422.3,416.95,416.8,419.11,513.45,321.0,1598478,669940810.85,15054,IGL
2022-11-11,EQ,420.5,428.5,417.8,419.45,421.8,422.3,423.54,513.45,321.0,1366343,578707536.3,18687,IGL
2022-11-10,EQ,416.0,423.45,413.8,416.65,420.0,419.45,419.26,513.45,321.0,1248285,523355436.3,16754,IGL
2022-11-09,EQ,423.15,426.25,415.65,423.15,416.6,416.65,419.68,513.45,321.0,1042657,437584396.35,17535,IGL
2022-11-07,EQ,422.45,424.7,418.7,420.3,423.05,423.15,422.29,513.45,321.0,745158,314674991.85,16023,IGL
2022-11-04,EQ,421.2,421.7,415.5,419.65,419.25,420.3,418.45,513.45,321.0,1372420,574293371.5,18491,IGL
2022-11-03,EQ,418.0,424.25,417.1,422.05,418.7,419.65,420.04,513.45,321.0,1205619,506406665.2,29910,IGL
2022-11-02,EQ,422.3,427.9,420.05,424.7,421.5,422.05,424.13,513.45,321.0,830294,352151617.0,16970,IGL
2022-11-01,EQ,428.0,429.3,421.2,428.25,424.0,424.7,424.27,513.45,321.0,1592971,675844241.25,28020,IGL
2022-10-31,EQ,422.3,429.0,418.5,422.5,427.0,428.25,424.77,513.45,321.0,1466718,623011803.6,23592,IGL
2022-10-28,EQ,426.1,430.0,418.1,425.55,421.25,422.5,422.92,513.45,321.0,1723410,728861071.05,21584,IGL
2022-10-27,EQ,410.0,427.65,405.55,407.65,427.0,425.55,419.63,513.45,321.0,4720502,1980867440.6,72588,IGL
2022-10-25,EQ,382.95,412.4,379.15,383.35,405.55,407.65,404.22,513.45,321.0,6825606,2759073789.8,81375,IGL
2022-10-24,EQ,385.55,385.7,381.1,381.75,382.1,383.35,383.29,513.45,321.0,327257,125434943.85,6863,IGL
2022-10-21,EQ,379.45,384.35,373.65,379.4,381.55,381.75,379.21,518.8,321.0,1609881,610486228.1,24063,IGL
2022-10-20,EQ,376.0,381.4,373.6,376.4,379.55,379.4,377.75,518.8,321.0,1719519,649541208.1,28524,IGL
