DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,315.25,321.0,313.1,313.65,318.5,318.65,317.77,349.0,172.15,4873538,1548647148.0,39535,INDHOTEL
2022-12-29,EQ,313.0,315.9,310.6,316.1,314.1,313.65,313.19,349.0,172.15,4182789,1310023932.6,42706,INDHOTEL
2022-12-28,EQ,314.0,317.15,308.0,314.45,314.95,316.1,312.41,349.0,172.15,4590662,1434151195.65,42493,INDHOTEL
2022-12-27,EQ,316.5,318.2,310.5,314.35,314.0,314.45,314.28,349.0,172.15,2856144,897614959.0,31665,INDHOTEL
2022-12-26,EQ,296.0,315.8,295.25,299.5,315.0,314.35,308.15,349.0,172.15,7047516,2171718895.55,66862,INDHOTEL
2022-12-23,EQ,298.0,302.35,294.85,304.05,299.85,299.5,298.94,349.0,172.15,8489375,2537793479.45,80498,INDHOTEL
2022-12-22,EQ,309.0,312.15,294.8,309.45,304.45,304.05,301.64,349.0,172.15,9373234,2827353826.45,135782,INDHOTEL
2022-12-21,EQ,326.2,327.2,304.8,324.6,309.85,309.45,312.75,349.0,172.15,6052926,1893024301.55,69957,INDHOTEL
2022-12-20,EQ,326.0,328.35,320.4,326.8,324.0,324.6,323.26,349.0,172.15,3438177,1111428505.8,36685,INDHOTEL
2022-12-19,EQ,327.15,328.4,320.25,327.15,327.1,326.8,324.29,349.0,172.15,3337250,1082243969.4,41839,INDHOTEL
2022-12-16,EQ,331.75,334.25,325.85,333.25,327.0,327.15,328.81,349.0,172.15,4900647,1611360055.45,69827,INDHOTEL
2022-12-15,EQ,333.95,335.9,331.5,333.5,332.25,333.25,333.92,349.0,172.15,3169919,1058502182.85,37548,INDHOTEL
2022-12-14,EQ,329.35,334.1,328.55,327.6,333.2,333.5,332.62,349.0,172.15,4038800,1343375151.2,37236,INDHOTEL
2022-12-13,EQ,333.5,334.8,325.55,332.85,328.1,327.6,328.81,349.0,172.15,3005181,988134057.8,29988,INDHOTEL
2022-12-12,EQ,330.0,334.7,328.0,330.1,333.35,332.85,332.65,349.0,172.15,4086392,1359332589.5,45936,INDHOTEL
2022-12-09,EQ,327.9,332.0,323.25,327.1,330.0,330.1,329.19,349.0,172.15,3530051,1162071977.2,50761,INDHOTEL
2022-12-08,EQ,326.0,328.55,324.7,325.15,327.45,327.1,326.89,349.0,172.15,1866220,610051366.95,21945,INDHOTEL
2022-12-07,EQ,328.0,329.9,323.3,327.95,324.4,325.15,326.24,349.0,172.15,1917604,625591842.35,21764,INDHOTEL
2022-12-06,EQ,323.6,328.85,321.55,324.25,327.85,327.95,326.04,349.0,172.15,3795855,1237598980.75,34101,INDHOTEL
2022-12-05,EQ,325.85,326.35,321.1,324.55,323.55,324.25,324.2,349.0,172.15,2844044,922045385.95,37101,INDHOTEL
2022-12-02,EQ,324.5,326.75,322.5,324.0,324.0,324.55,324.7,349.0,171.0,2541213,825137856.0,31046,INDHOTEL
2022-12-01,EQ,321.5,324.9,318.7,321.65,324.6,324.0,321.8,349.0,171.0,5236081,1684959542.05,45030,INDHOTEL
2022-11-30,EQ,317.2,325.2,316.3,316.2,321.65,321.65,321.64,349.0,171.0,116361726,37426959697.65,191272,INDHOTEL
2022-11-29,EQ,325.5,326.25,315.05,325.85,315.85,316.2,319.9,349.0,171.0,4642496,1485137240.15,96036,INDHOTEL
2022-11-28,EQ,321.85,327.0,319.3,322.0,325.9,325.85,325.19,349.0,171.0,6391422,2078404792.9,44079,INDHOTEL
2022-11-25,EQ,319.4,324.25,318.55,317.75,321.6,322.0,322.3,349.0,171.0,5361133,1727903927.1,104672,INDHOTEL
2022-11-24,EQ,319.0,319.85,315.1,318.3,319.4,317.75,317.16,349.0,171.0,5245401,1663639833.15,56641,INDHOTEL
2022-11-23,EQ,320.35,320.35,316.65,318.3,318.0,318.3,318.3,349.0,171.0,4492020,1429802839.5,61904,INDHOTEL
2022-11-22,EQ,317.95,320.3,314.3,316.5,318.55,318.3,317.26,349.0,171.0,4820283,1529305457.9,49171,INDHOTEL
