DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,763.75,772.3,760.0,763.75,760.1,767.6,767.31,1151.95,596.75,21513,16507086.0,2080,INDIAGLYCO
2022-12-29,EQ,752.8,772.1,752.8,764.25,760.35,763.75,761.29,1151.95,596.75,36940,28121961.65,3638,INDIAGLYCO
2022-12-28,EQ,765.25,767.0,753.5,765.25,767.0,764.25,761.32,1151.95,596.75,23062,17557575.05,2928,INDIAGLYCO
2022-12-27,EQ,741.0,773.05,741.0,735.55,767.0,765.25,758.85,1151.95,596.75,76183,57811733.3,6270,INDIAGLYCO
2022-12-26,EQ,719.95,738.85,710.5,710.5,737.35,735.55,728.73,1151.95,596.75,68299,49771710.35,4455,INDIAGLYCO
2022-12-23,EQ,735.9,735.9,695.0,739.0,721.0,710.5,708.49,1151.95,596.75,58676,41571486.95,4847,INDIAGLYCO
2022-12-22,EQ,750.0,758.2,726.0,749.85,748.0,739.0,737.98,1151.95,596.75,31817,23480340.1,3337,INDIAGLYCO
2022-12-21,EQ,782.35,791.95,741.55,784.85,748.0,749.85,757.41,1151.95,596.75,99978,75724387.95,5205,INDIAGLYCO
2022-12-20,EQ,773.0,788.1,765.0,769.15,785.0,784.85,779.05,1151.95,596.75,67608,52670321.65,5293,INDIAGLYCO
2022-12-19,EQ,760.0,799.2,760.0,751.5,767.8,769.15,782.7,1151.95,596.75,220599,172663625.95,12606,INDIAGLYCO
2022-12-16,EQ,739.0,762.45,734.55,738.5,750.0,751.5,750.96,1151.95,596.75,81963,61550671.35,7493,INDIAGLYCO
2022-12-15,EQ,754.9,754.9,735.0,743.05,740.7,738.5,745.5,1151.95,596.75,30542,22769083.1,3303,INDIAGLYCO
2022-12-14,EQ,746.45,755.0,742.0,742.7,743.95,743.05,746.09,1151.95,596.75,44331,33075007.15,2227,INDIAGLYCO
2022-12-13,EQ,750.0,756.65,738.0,748.7,742.0,742.7,749.05,1151.95,596.75,17213,12893415.45,3112,INDIAGLYCO
2022-12-12,EQ,749.4,753.45,739.0,746.7,751.35,748.7,746.85,1151.95,596.75,14449,10791194.9,1929,INDIAGLYCO
2022-12-09,EQ,759.45,762.25,740.0,756.7,750.5,746.7,748.87,1151.95,596.75,22227,16645156.25,2435,INDIAGLYCO
2022-12-08,EQ,751.0,761.05,751.0,752.65,759.85,756.7,755.7,1151.95,596.75,18290,13821668.6,1608,INDIAGLYCO
2022-12-07,EQ,758.0,764.25,751.0,755.75,751.9,752.65,755.93,1151.95,596.75,30014,22688513.4,1954,INDIAGLYCO
2022-12-06,EQ,773.0,778.35,753.0,772.55,760.0,755.75,762.18,1151.95,596.75,41337,31506238.5,3055,INDIAGLYCO
2022-12-05,EQ,784.65,786.0,770.0,780.2,770.2,772.55,777.9,1151.95,596.75,20812,16189745.45,1656,INDIAGLYCO
2022-12-02,EQ,764.5,784.45,764.5,766.45,781.0,780.2,778.7,1151.95,596.75,49214,38323167.55,3152,INDIAGLYCO
2022-12-01,EQ,769.75,771.9,760.9,766.3,765.5,766.45,766.38,1151.95,596.75,32279,24737974.85,1343,INDIAGLYCO
2022-11-30,EQ,764.2,773.35,762.1,764.2,769.85,766.3,767.63,1151.95,596.75,23643,18149114.8,2101,INDIAGLYCO
2022-11-29,EQ,771.0,775.85,761.1,769.05,763.1,764.2,768.16,1151.95,596.75,22879,17574671.0,1742,INDIAGLYCO
2022-11-28,EQ,765.0,776.45,765.0,765.0,767.0,769.05,771.0,1151.95,596.75,33450,25789938.2,1953,INDIAGLYCO
2022-11-25,EQ,763.55,775.0,757.0,759.75,762.45,765.0,765.85,1151.95,596.75,27333,20932920.25,2449,INDIAGLYCO
2022-11-24,EQ,768.9,780.0,755.5,768.9,760.0,759.75,765.71,1151.95,596.75,33490,25643536.05,2878,INDIAGLYCO
2022-11-23,EQ,761.05,781.0,761.05,763.55,766.0,768.9,773.35,1151.95,596.75,31418,24297236.7,2688,INDIAGLYCO
2022-11-22,EQ,787.7,787.7,759.95,783.85,766.5,763.55,772.09,1151.95,596.75,25861,19967070.6,2692,INDIAGLYCO
2022-11-21,EQ,781.0,788.0,776.0,781.1,781.25,783.85,780.22,1151.95,596.75,28138,21953794.45,1585,INDIAGLYCO
2022-11-18,EQ,798.9,807.0,775.0,794.9,780.75,781.1,784.47,1151.95,596.75,35508,27854822.55,2900,INDIAGLYCO
2022-11-17,EQ,804.9,808.95,792.2,804.9,794.0,794.9,800.29,1151.95,596.75,21855,17490266.55,1632,INDIAGLYCO
