DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,59.95,62.0,57.0,57.95,59.5,60.0,59.74,73.9,42.8,11669,697160.15,273,INSPIRISYS
2022-12-29,EQ,60.0,60.0,54.25,56.45,58.0,57.95,56.91,73.9,42.8,4262,242539.75,106,INSPIRISYS
2022-12-28,EQ,55.0,61.95,55.0,58.1,58.4,56.45,56.49,73.9,42.8,7621,430475.0,157,INSPIRISYS
2022-12-27,EQ,61.4,61.4,53.55,56.85,58.0,58.1,57.92,73.9,42.8,4467,258736.75,96,INSPIRISYS
2022-12-26,EQ,50.95,57.6,50.45,52.4,57.0,56.85,56.71,73.9,42.8,21008,1191294.95,209,INSPIRISYS
2022-12-23,EQ,54.05,57.6,51.4,55.5,51.45,52.4,53.62,73.9,42.8,34123,1829675.75,338,INSPIRISYS
2022-12-22,EQ,60.25,60.25,55.05,59.9,55.45,55.5,56.71,73.9,42.8,30443,1726461.4,344,INSPIRISYS
2022-12-21,EQ,62.0,62.95,57.15,62.2,59.95,59.9,60.14,73.9,42.8,17109,1028870.35,163,INSPIRISYS
2022-12-20,EQ,62.95,63.0,60.0,61.9,62.0,62.2,61.84,73.9,42.8,18928,1170418.6,182,INSPIRISYS
2022-12-19,EQ,62.3,63.95,61.0,61.5,63.0,61.9,62.77,73.9,42.8,18398,1154922.9,197,INSPIRISYS
2022-12-16,EQ,60.25,63.95,60.25,61.9,61.25,61.5,62.41,76.3,42.8,31174,1945723.1,262,INSPIRISYS
2022-12-15,EQ,60.75,62.2,60.35,61.35,62.0,61.9,61.48,76.3,42.8,20310,1248565.85,227,INSPIRISYS
2022-12-14,EQ,60.3,62.7,59.9,61.4,61.55,61.35,61.14,76.3,42.8,20288,1240496.75,226,INSPIRISYS
2022-12-13,EQ,64.95,64.95,61.25,61.75,61.25,61.4,62.32,76.3,42.8,21127,1316736.05,232,INSPIRISYS
2022-12-12,EQ,64.0,64.0,59.0,61.2,61.5,61.75,62.08,76.3,42.8,25413,1577678.8,401,INSPIRISYS
2022-12-09,EQ,61.35,64.0,58.05,62.25,61.25,61.2,61.54,76.3,42.8,23466,1444066.05,294,INSPIRISYS
2022-12-08,EQ,59.35,63.3,57.1,61.7,62.25,62.25,61.81,76.3,42.8,22595,1396638.45,156,INSPIRISYS
2022-12-07,EQ,59.55,64.05,59.55,61.6,61.6,61.7,62.71,76.3,42.8,41294,2589705.0,341,INSPIRISYS
2022-12-06,EQ,62.8,65.05,60.2,62.8,62.55,61.6,63.0,76.3,42.8,31736,1999351.2,361,INSPIRISYS
2022-12-05,EQ,58.7,64.05,58.4,58.25,63.1,62.8,62.57,76.3,42.8,89404,5593651.1,883,INSPIRISYS
2022-12-02,EQ,61.0,61.6,58.0,60.4,58.05,58.25,59.55,76.3,42.8,49597,2953387.2,362,INSPIRISYS
2022-12-01,EQ,59.25,62.9,58.55,58.35,59.9,60.4,60.02,76.3,42.8,48653,2919973.05,451,INSPIRISYS
2022-11-30,EQ,56.4,59.7,54.0,55.0,58.05,58.35,56.85,76.3,42.8,66706,3792402.4,859,INSPIRISYS
2022-11-29,EQ,55.95,55.95,54.75,53.95,55.15,55.0,55.16,76.3,42.8,24386,1345193.1,258,INSPIRISYS
