DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,416.0,424.35,416.0,418.5,423.55,420.1,420.81,510.0,205.15,18114,7622535.25,1754,ANDHRAPAP
2022-12-29,EQ,418.2,419.95,414.05,420.95,419.95,418.5,416.74,510.0,205.15,16159,6734171.8,799,ANDHRAPAP
2022-12-28,EQ,410.35,424.0,410.35,413.75,420.9,420.95,419.3,510.0,205.15,25176,10556355.15,1431,ANDHRAPAP
2022-12-27,EQ,405.5,417.7,403.55,405.15,416.5,413.75,409.68,510.0,205.15,26959,11044545.6,1616,ANDHRAPAP
2022-12-26,EQ,378.2,409.0,376.5,376.5,408.95,405.15,396.13,510.0,205.15,44232,17521594.55,2689,ANDHRAPAP
2022-12-23,EQ,411.25,411.35,371.0,411.35,376.55,376.5,394.53,510.0,205.15,104099,41070050.0,4816,ANDHRAPAP
2022-12-22,EQ,428.35,431.8,403.55,424.15,410.0,411.35,411.27,510.0,205.15,69537,28598767.25,3020,ANDHRAPAP
2022-12-21,EQ,445.0,449.0,420.0,441.9,423.0,424.15,432.98,510.0,205.15,43017,18625607.05,2045,ANDHRAPAP
2022-12-20,EQ,448.8,451.0,440.1,444.7,441.6,441.9,447.49,510.0,205.15,156301,69943622.6,5032,ANDHRAPAP
2022-12-19,EQ,434.0,449.4,430.2,433.25,447.1,444.7,443.45,510.0,205.15,97662,43308625.75,4982,ANDHRAPAP
2022-12-16,EQ,441.95,441.95,424.3,437.75,434.45,433.25,431.72,510.0,205.15,34642,14955759.7,1402,ANDHRAPAP
2022-12-15,EQ,446.0,447.25,436.95,445.0,438.0,437.75,441.4,510.0,205.15,20318,8968455.35,1193,ANDHRAPAP
2022-12-14,EQ,443.75,448.9,439.0,439.6,444.0,445.0,444.91,510.0,205.15,37171,16537931.3,2680,ANDHRAPAP
2022-12-13,EQ,447.9,447.9,437.0,443.1,441.8,439.6,440.43,510.0,205.15,29415,12955346.4,1300,ANDHRAPAP
2022-12-12,EQ,448.5,448.5,437.65,445.4,445.0,443.1,442.8,510.0,205.15,42246,18706643.95,2457,ANDHRAPAP
2022-12-09,EQ,439.0,452.0,433.65,436.3,445.05,445.4,448.75,510.0,205.15,335429,150524512.3,9123,ANDHRAPAP
2022-12-08,EQ,429.75,438.75,428.8,429.75,434.0,436.3,433.98,510.0,205.15,23226,10079681.35,2339,ANDHRAPAP
2022-12-07,EQ,430.0,434.95,425.0,428.6,428.7,429.75,430.08,510.0,205.15,39024,16783516.4,1553,ANDHRAPAP
2022-12-06,EQ,431.6,436.45,425.0,431.6,429.8,428.6,430.6,510.0,205.15,30874,13294359.9,1720,ANDHRAPAP
2022-12-05,EQ,416.15,440.0,416.15,420.7,433.0,431.6,427.98,510.0,205.15,77882,33331676.1,4605,ANDHRAPAP
2022-12-02,EQ,422.9,426.6,418.3,422.9,422.0,420.7,422.06,510.0,205.15,38934,16432657.95,1623,ANDHRAPAP
2022-12-01,EQ,432.0,433.45,420.8,426.3,424.0,422.9,427.07,510.0,205.15,60407,25797957.0,3216,ANDHRAPAP
2022-11-30,EQ,416.5,429.0,416.5,415.4,425.0,426.3,423.19,510.0,205.15,45222,19137674.85,1684,ANDHRAPAP
2022-11-29,EQ,425.1,435.0,414.0,428.95,416.5,415.4,420.26,510.0,205.15,88074,37013583.5,4049,ANDHRAPAP
2022-11-28,EQ,442.0,442.9,426.0,435.2,428.85,428.95,435.23,510.0,205.15,66159,28794545.4,3027,ANDHRAPAP
2022-11-25,EQ,446.35,446.35,434.0,441.95,434.4,435.2,437.24,510.0,205.15,27558,12049516.35,1660,ANDHRAPAP
2022-11-24,EQ,455.0,455.0,440.05,449.8,441.5,441.95,446.9,510.0,205.15,43148,19282647.25,2490,ANDHRAPAP
2022-11-23,EQ,433.9,450.1,431.3,429.85,450.0,449.8,445.96,510.0,205.15,135298,60338064.35,5498,ANDHRAPAP
2022-11-22,EQ,434.9,434.9,423.8,427.85,431.3,429.85,428.5,510.0,205.15,48105,20612913.55,2409,ANDHRAPAP
2022-11-21,EQ,429.4,437.85,424.15,429.4,425.35,427.85,429.0,510.0,205.15,36784,15780485.5,2359,ANDHRAPAP
2022-11-18,EQ,432.0,435.65,427.5,431.05,430.5,429.4,430.88,510.0,205.15,55561,23940035.0,2171,ANDHRAPAP
2022-11-17,EQ,439.0,440.5,429.0,437.1,431.85,431.05,432.22,510.0,205.15,44581,19268870.95,2339,ANDHRAPAP
2022-11-16,EQ,444.05,449.0,435.1,447.4,437.3,437.1,441.9,510.0,205.15,77408,34206415.2,3969,ANDHRAPAP
2022-11-15,EQ,455.0,455.0,445.35,449.35,449.75,447.4,449.83,510.0,205.15,60732,27319022.65,3537,ANDHRAPAP
2022-11-14,EQ,453.2,458.0,445.0,448.7,450.0,449.35,451.72,510.0,205.15,118999,53753696.1,5955,ANDHRAPAP
2022-11-11,EQ,468.7,468.7,445.2,457.15,450.9,448.7,453.22,510.0,205.15,75025,34003008.85,4681,ANDHRAPAP
2022-11-10,EQ,460.0,471.9,453.5,462.55,458.0,457.15,460.77,510.0,205.15,72976,33624912.05,4550,ANDHRAPAP
2022-11-09,EQ,474.9,476.75,460.1,469.75,461.5,462.55,467.77,510.0,205.15,90813,42479696.55,5118,ANDHRAPAP
2022-11-07,EQ,481.0,481.0,465.1,470.65,469.55,469.75,470.22,510.0,205.15,65374,30740423.0,4724,ANDHRAPAP
2022-11-04,EQ,476.2,479.5,466.0,476.2,472.0,470.65,472.69,510.0,205.15,114292,54024762.9,6625,ANDHRAPAP
2022-11-03,EQ,494.0,499.0,473.0,475.85,475.7,476.2,483.36,510.0,205.15,695112,335991653.25,24987,ANDHRAPAP
2022-11-02,EQ,493.5,493.5,462.0,491.05,482.5,475.85,481.54,510.0,205.15,196543,94642679.0,7903,ANDHRAPAP
2022-11-01,EQ,492.55,493.0,482.75,492.55,492.0,491.05,488.92,510.0,205.15,80385,39302015.35,4499,ANDHRAPAP
