DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,858.0,858.05,841.4,851.9,842.5,843.1,847.36,2222.0,831.05,168630,142890581.85,6975,IPCALAB
2022-12-29,EQ,851.35,857.0,840.05,850.0,850.35,851.9,848.49,2222.0,831.05,365882,310448173.85,11702,IPCALAB
2022-12-28,EQ,859.0,859.0,848.1,855.75,848.75,850.0,851.4,2222.0,831.05,232581,198020538.45,6250,IPCALAB
2022-12-27,EQ,848.2,859.7,845.25,848.2,856.15,855.75,852.52,2222.0,831.05,226639,193213412.3,9832,IPCALAB
2022-12-26,EQ,868.9,869.45,845.0,864.35,848.9,848.2,851.06,2222.0,831.05,194444,165483220.65,8517,IPCALAB
2022-12-23,EQ,870.15,896.9,860.0,878.35,867.4,864.35,879.91,2222.0,831.05,357473,314542353.2,14549,IPCALAB
2022-12-22,EQ,904.0,904.0,872.0,895.3,876.5,878.35,882.25,2222.0,831.05,528360,466143134.7,14938,IPCALAB
2022-12-21,EQ,865.05,904.35,865.05,872.85,896.65,895.3,892.07,2222.0,831.05,880489,785457896.2,22248,IPCALAB
2022-12-20,EQ,858.6,874.7,848.3,854.1,872.5,872.85,865.67,2222.0,831.05,305740,264669571.2,9856,IPCALAB
2022-12-19,EQ,854.35,859.4,846.9,854.35,854.9,854.1,853.52,2222.0,831.05,129641,110651407.8,10580,IPCALAB
2022-12-16,EQ,857.5,858.2,844.25,860.45,854.8,854.35,852.38,2222.0,831.05,194219,165548980.9,8538,IPCALAB
2022-12-15,EQ,868.1,874.4,855.05,864.45,859.75,860.45,862.44,2222.0,831.05,279484,241037325.75,14917,IPCALAB
2022-12-14,EQ,861.85,865.65,857.0,859.25,864.3,864.45,863.03,2222.0,831.05,147208,127045592.8,4053,IPCALAB
2022-12-13,EQ,867.65,867.65,856.5,861.6,857.3,859.25,859.5,2222.0,831.05,97899,84143761.95,3827,IPCALAB
2022-12-12,EQ,862.75,870.7,855.0,859.0,861.5,861.6,864.93,2222.0,831.05,187749,162390463.75,11477,IPCALAB
2022-12-09,EQ,856.0,864.15,854.35,851.1,860.0,859.0,858.25,2222.0,831.05,321659,276064262.4,10347,IPCALAB
2022-12-08,EQ,859.7,860.6,848.65,855.15,850.0,851.1,853.36,2222.0,831.05,97417,83131934.8,5051,IPCALAB
2022-12-07,EQ,857.65,862.0,852.9,857.45,856.0,855.15,855.85,2222.0,831.05,47232,40423280.15,3496,IPCALAB
2022-12-06,EQ,863.2,868.2,852.3,863.8,856.7,857.45,857.41,2222.0,831.05,222011,190355197.45,7593,IPCALAB
2022-12-05,EQ,871.6,871.6,862.05,868.55,863.2,863.8,864.09,2222.0,831.05,238502,206087959.2,8457,IPCALAB
2022-12-02,EQ,862.25,875.0,857.5,864.65,867.05,868.55,867.13,2222.0,831.05,307444,266594653.8,9655,IPCALAB
2022-12-01,EQ,869.95,872.25,863.0,868.0,864.95,864.65,866.15,2222.0,831.05,278503,241225508.65,10518,IPCALAB
2022-11-30,EQ,865.0,876.3,865.0,871.95,867.0,868.0,867.62,2222.0,831.05,310446,269349082.5,10353,IPCALAB
2022-11-29,EQ,874.7,878.45,866.65,877.75,868.55,871.95,871.57,2222.0,831.05,229351,199896559.75,11229,IPCALAB
2022-11-28,EQ,873.55,880.0,858.0,869.05,876.6,877.75,869.86,2222.0,831.05,249828,217315724.6,11176,IPCALAB
2022-11-25,EQ,853.2,880.0,849.0,853.2,867.8,869.05,863.64,2222.0,831.05,334310,288723871.35,13340,IPCALAB
2022-11-24,EQ,857.85,862.45,843.25,857.6,852.0,853.2,850.79,2222.0,831.05,300720,255848802.85,20296,IPCALAB
2022-11-23,EQ,864.0,873.45,855.0,864.65,855.1,857.6,860.47,2222.0,831.05,372691,320689845.5,9259,IPCALAB
2022-11-22,EQ,867.0,869.45,852.15,868.5,860.05,864.65,859.95,2222.0,831.05,297427,255772845.9,11139,IPCALAB
2022-11-21,EQ,865.2,881.95,856.25,864.85,867.3,868.5,872.21,2222.0,831.05,367633,320652020.05,15625,IPCALAB
2022-11-18,EQ,867.0,870.15,851.3,867.8,866.7,864.85,861.7,2257.0,831.05,204335,176075652.85,13665,IPCALAB
2022-11-17,EQ,873.6,880.7,866.0,873.6,866.0,867.8,873.69,2257.0,831.05,175616,153433887.85,11219,IPCALAB
2022-11-16,EQ,869.0,877.45,858.9,869.6,872.65,873.6,866.22,2257.0,831.05,275430,238582371.6,11696,IPCALAB
2022-11-15,EQ,867.95,876.9,862.65,869.2,869.95,869.6,870.9,2257.0,831.05,262459,228576367.15,11772,IPCALAB
2022-11-14,EQ,862.0,875.95,855.0,867.55,862.55,869.2,864.89,2257.0,831.05,269058,232705066.75,14618,IPCALAB
2022-11-11,EQ,892.8,903.2,835.3,888.35,865.0,867.55,862.8,2257.0,831.05,782521,675155998.2,33829,IPCALAB
2022-11-10,EQ,890.0,898.25,875.7,891.65,892.0,888.35,886.88,2257.0,831.05,301637,267515074.0,17764,IPCALAB
2022-11-09,EQ,909.8,910.5,886.75,905.0,891.9,891.65,894.7,2257.0,831.05,197160,176398287.35,16414,IPCALAB
2022-11-07,EQ,905.25,907.1,890.6,904.95,905.7,905.0,899.2,2257.0,831.05,371764,334288703.5,25841,IPCALAB
2022-11-04,EQ,908.0,913.1,901.0,908.4,901.4,904.95,907.92,2257.0,831.05,146801,133283199.95,11224,IPCALAB
2022-11-03,EQ,923.0,928.0,903.15,927.15,904.0,908.4,910.9,2257.0,831.05,501897,457178188.35,17066,IPCALAB
2022-11-02,EQ,924.65,951.3,922.0,924.65,924.8,927.15,935.91,2257.0,831.05,454885,425729624.65,25539,IPCALAB
