DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,638.0,645.55,635.6,633.05,639.5,639.7,640.08,918.65,557.0,1680270,1075506295.7,39677,IRCTC
2022-12-29,EQ,636.0,636.8,627.55,638.75,633.7,633.05,631.58,918.65,557.0,2332891,1473415090.15,58660,IRCTC
2022-12-28,EQ,635.0,641.0,630.45,633.1,638.1,638.75,637.94,918.65,557.0,2067777,1319114456.3,40808,IRCTC
2022-12-27,EQ,628.0,634.95,623.05,622.05,634.0,633.1,629.27,918.65,557.0,2032618,1279061232.65,45223,IRCTC
2022-12-26,EQ,610.1,629.4,606.0,607.25,624.5,622.05,621.04,918.65,557.0,3578861,2222609451.9,74983,IRCTC
2022-12-23,EQ,634.5,638.05,605.0,640.95,609.4,607.25,619.2,918.65,557.0,7402977,4583902193.05,117433,IRCTC
2022-12-22,EQ,657.0,657.45,632.25,653.55,642.35,640.95,640.46,918.65,557.0,4836262,3097452585.5,101592,IRCTC
2022-12-21,EQ,677.5,678.7,650.15,674.15,652.9,653.55,663.39,918.65,557.0,3812361,2529077864.95,109566,IRCTC
2022-12-20,EQ,676.45,678.0,667.0,676.8,675.0,674.15,672.32,918.65,557.0,4253915,2859989884.45,79239,IRCTC
2022-12-19,EQ,675.75,681.6,673.0,672.15,676.8,676.8,677.84,918.65,557.0,2696707,1827945706.1,54222,IRCTC
2022-12-16,EQ,681.4,682.9,668.15,689.05,671.95,672.15,675.15,918.65,557.0,8857773,5980323618.75,167174,IRCTC
2022-12-15,EQ,698.5,702.5,687.0,734.9,687.15,689.05,695.34,918.65,557.0,14531256,10104096384.6,247047,IRCTC
2022-12-14,EQ,725.0,739.9,723.65,722.85,733.5,734.9,732.02,918.65,557.0,1858776,1360664280.65,36970,IRCTC
2022-12-13,EQ,724.5,730.4,721.0,723.9,721.6,722.85,726.05,918.65,557.0,1172294,851144331.35,28980,IRCTC
2022-12-12,EQ,720.95,725.0,710.5,722.15,724.7,723.9,719.47,918.65,557.0,1082376,778733427.0,26577,IRCTC
2022-12-09,EQ,722.5,727.5,717.75,720.65,721.3,722.15,722.82,918.65,557.0,1253279,905889455.15,30250,IRCTC
2022-12-08,EQ,721.6,722.55,715.5,717.3,720.55,720.65,719.64,918.65,557.0,1090422,784712000.75,22333,IRCTC
2022-12-07,EQ,717.5,722.75,712.45,716.45,717.1,717.3,717.03,918.65,557.0,1847900,1325002849.35,37297,IRCTC
2022-12-06,EQ,728.9,742.5,714.1,729.1,716.0,716.45,725.83,918.65,557.0,3646370,2646655813.95,71483,IRCTC
2022-12-05,EQ,733.0,733.7,725.1,730.1,730.0,729.1,728.45,918.65,557.0,1114128,811588512.2,26536,IRCTC
2022-12-02,EQ,735.0,735.0,727.3,731.95,730.0,730.1,730.08,918.65,557.0,926912,676716953.6,22870,IRCTC
2022-12-01,EQ,739.9,739.9,730.0,736.2,730.9,731.95,734.89,918.65,557.0,1155151,848906968.7,27380,IRCTC
2022-11-30,EQ,726.0,739.4,726.0,723.0,737.05,736.2,733.74,918.65,557.0,2643749,1939816475.5,48529,IRCTC
2022-11-29,EQ,722.05,729.4,720.1,725.9,722.0,723.0,725.59,918.65,557.0,848626,615752067.25,22677,IRCTC
2022-11-28,EQ,720.0,735.8,719.0,721.7,724.7,725.9,728.99,918.65,557.0,1780538,1297988901.3,37792,IRCTC
2022-11-25,EQ,727.95,727.95,720.0,723.55,721.0,721.7,723.87,919.7,557.0,800689,579596783.1,21917,IRCTC
2022-11-24,EQ,722.0,727.8,721.4,721.8,722.0,723.55,724.13,919.7,557.0,1110302,803999663.7,27198,IRCTC
2022-11-23,EQ,718.75,724.4,717.2,715.15,723.0,721.8,721.46,919.7,557.0,1116201,805290015.65,26908,IRCTC
2022-11-22,EQ,714.0,719.0,713.0,715.55,715.5,715.15,715.2,919.7,557.0,876182,626646024.55,25189,IRCTC
2022-11-21,EQ,711.0,722.05,710.6,718.1,714.7,715.55,717.04,919.7,557.0,1154333,827704219.45,28058,IRCTC
2022-11-18,EQ,731.0,733.0,714.35,726.45,718.0,718.1,721.82,929.0,557.0,1537039,1109469092.65,37865,IRCTC
2022-11-17,EQ,723.0,738.45,723.0,728.15,727.25,726.45,731.68,929.0,557.0,1607026,1175824177.75,36101,IRCTC
2022-11-16,EQ,742.0,748.8,722.05,740.65,728.0,728.15,736.66,929.0,557.0,2945626,2169931212.05,65759,IRCTC
2022-11-15,EQ,750.0,750.0,731.55,758.8,740.45,740.65,740.27,929.0,557.0,4125858,3054232253.3,79275,IRCTC
2022-11-14,EQ,751.7,765.0,750.05,747.8,759.0,758.8,759.26,929.0,557.0,2342968,1778917456.95,51456,IRCTC
2022-11-11,EQ,755.0,757.7,744.5,744.45,749.05,747.8,749.97,929.0,557.0,1668424,1251264642.1,46051,IRCTC
2022-11-10,EQ,762.0,763.0,738.0,761.25,745.9,744.45,747.06,929.0,557.0,2557799,1910831899.3,53194,IRCTC
2022-11-09,EQ,769.5,771.0,759.5,763.9,761.0,761.25,765.67,929.0,557.0,1566292,1199259437.7,37577,IRCTC
2022-11-07,EQ,762.3,774.9,761.5,758.5,763.5,763.9,768.63,929.0,557.0,4583239,3522804324.95,96834,IRCTC
2022-11-04,EQ,752.0,766.45,748.05,751.4,757.95,758.5,758.38,929.0,557.0,4743835,3597648925.9,99058,IRCTC
2022-11-03,EQ,751.95,760.0,746.0,755.45,752.5,751.4,751.65,929.0,557.0,2828562,2126080122.1,63193,IRCTC
2022-11-02,EQ,742.0,761.3,738.25,742.25,755.4,755.45,751.94,929.0,557.0,3424051,2574668237.45,63874,IRCTC
2022-11-01,EQ,745.0,747.65,739.35,741.2,742.0,742.25,742.66,929.0,557.0,1359226,1009445517.1,30411,IRCTC
2022-10-31,EQ,744.0,752.85,738.0,739.4,739.6,741.2,745.1,929.0,557.0,1993381,1485271927.6,41255,IRCTC
2022-10-28,EQ,741.3,744.8,735.25,741.25,739.0,739.4,739.56,4685.0,557.0,1484665,1098004196.0,36946,IRCTC
2022-10-27,EQ,746.0,746.9,736.8,740.4,741.3,741.25,741.24,4685.0,557.0,1783787,1322206352.8,37369,IRCTC
