DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,181.25,188.8,179.0,177.7,184.4,184.6,184.85,310.9,158.35,64198,11866862.7,2085,JAYAGROGN
2022-12-29,EQ,175.2,185.0,174.0,175.55,184.0,177.7,176.36,310.9,158.35,31907,5627102.15,963,JAYAGROGN
2022-12-28,EQ,174.9,178.05,174.0,174.7,175.0,175.55,175.76,310.9,158.35,13504,2373513.5,667,JAYAGROGN
2022-12-27,EQ,168.15,177.0,168.15,166.5,174.6,174.7,174.27,310.9,158.35,35884,6253411.45,1473,JAYAGROGN
2022-12-26,EQ,162.95,169.45,158.8,161.4,166.1,166.5,165.2,310.9,158.35,18286,3020929.6,1088,JAYAGROGN
2022-12-23,EQ,170.25,171.65,158.35,170.7,160.8,161.4,165.56,310.9,158.35,44409,7352506.85,1581,JAYAGROGN
2022-12-22,EQ,177.55,177.55,168.05,175.85,170.05,170.7,171.96,310.9,165.0,17626,3030900.8,839,JAYAGROGN
2022-12-21,EQ,179.0,181.45,175.0,177.35,175.0,175.85,179.44,310.9,165.0,38755,6954079.5,1556,JAYAGROGN
2022-12-20,EQ,171.4,179.8,168.35,170.4,178.6,177.35,173.89,310.9,165.0,65845,11449870.2,1310,JAYAGROGN
2022-12-19,EQ,169.7,171.65,168.75,171.8,170.4,170.4,170.1,310.9,165.0,20486,3484765.2,677,JAYAGROGN
2022-12-16,EQ,172.0,172.4,169.85,172.3,172.3,171.8,171.39,310.9,165.0,19689,3374411.7,407,JAYAGROGN
2022-12-15,EQ,172.0,174.35,172.0,174.15,172.1,172.3,173.03,310.9,165.0,25220,4363746.4,475,JAYAGROGN
2022-12-14,EQ,173.75,175.2,172.55,174.65,174.6,174.15,174.12,310.9,165.0,17333,3018070.35,506,JAYAGROGN
2022-12-13,EQ,174.0,175.4,172.85,173.5,175.0,174.65,174.56,310.9,165.0,34126,5957012.25,559,JAYAGROGN
2022-12-12,EQ,178.25,179.0,170.95,177.45,174.45,173.5,173.82,310.9,165.0,27675,4810362.15,982,JAYAGROGN
2022-12-09,EQ,177.75,179.95,177.0,177.2,177.6,177.45,177.85,310.9,165.0,19077,3392849.85,442,JAYAGROGN
2022-12-08,EQ,177.65,178.7,176.2,177.9,177.15,177.2,177.63,310.9,165.0,20211,3590012.2,338,JAYAGROGN
2022-12-07,EQ,180.3,180.3,177.05,179.25,177.8,177.9,178.78,310.9,165.0,7461,1333907.85,264,JAYAGROGN
2022-12-06,EQ,180.75,182.05,178.0,180.75,179.0,179.25,179.65,310.9,165.0,12083,2170655.1,318,JAYAGROGN
2022-12-05,EQ,177.5,182.15,177.1,176.25,180.75,180.75,180.22,310.9,165.0,15539,2800453.15,622,JAYAGROGN
2022-12-02,EQ,175.7,177.45,173.75,174.75,176.65,176.25,175.7,310.9,165.0,13350,2345576.6,483,JAYAGROGN
2022-12-01,EQ,174.3,176.35,173.35,172.7,174.4,174.75,175.05,310.9,165.0,8572,1500551.4,358,JAYAGROGN
