DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,521.6,527.75,508.15,515.05,514.0,516.0,515.57,1687.0,361.0,455233,234704294.45,12681,JBMA
2022-12-29,EQ,512.0,520.8,508.4,520.8,513.0,515.05,514.15,1687.0,361.0,287805,147976331.0,10204,JBMA
2022-12-28,EQ,517.1,534.9,507.55,517.5,519.1,520.8,524.21,1687.0,361.0,1272231,666910360.95,33460,JBMA
2022-12-27,EQ,478.4,525.0,467.9,472.8,523.25,517.5,507.35,1687.0,361.0,2641122,1339982636.4,69538,JBMA
2022-12-26,EQ,460.0,483.95,449.4,461.85,472.0,472.8,473.39,1687.0,361.0,482280,228306138.5,20894,JBMA
2022-12-23,EQ,480.0,489.5,455.4,493.45,458.95,461.85,473.91,1687.0,361.0,986917,467709245.95,39049,JBMA
2022-12-22,EQ,450.0,504.0,431.1,442.0,483.6,493.45,486.18,1687.0,361.0,2594691,1261474237.75,69042,JBMA
2022-12-21,EQ,477.0,489.5,426.2,477.3,449.0,442.0,465.27,1687.0,361.0,579325,269541033.65,25119,JBMA
2022-12-20,EQ,449.7,481.4,445.0,449.75,475.6,477.3,472.91,1687.0,361.0,1630672,771154617.15,46260,JBMA
2022-12-19,EQ,415.0,472.5,412.95,412.55,449.55,449.75,451.34,1687.0,361.0,877964,396256917.65,30270,JBMA
2022-12-16,EQ,412.15,417.95,408.3,413.35,414.8,412.55,413.92,1687.0,361.0,75882,31409051.75,4664,JBMA
2022-12-15,EQ,411.65,417.95,408.0,408.3,415.0,413.35,413.05,1687.0,361.0,97403,40232202.65,5226,JBMA
2022-12-14,EQ,411.0,412.65,407.5,410.5,408.0,408.3,409.15,1687.0,361.0,47254,19333941.6,3110,JBMA
2022-12-13,EQ,413.9,416.45,407.0,413.6,411.0,410.5,411.42,1687.0,361.0,46896,19293753.8,3877,JBMA
2022-12-12,EQ,415.05,415.05,405.0,413.0,413.0,413.6,410.67,1687.0,361.0,59226,24322450.35,5508,JBMA
2022-12-09,EQ,425.45,425.6,409.6,421.45,414.7,413.0,415.6,1687.0,361.0,72713,30219798.5,4354,JBMA
2022-12-08,EQ,419.9,423.6,416.15,418.0,421.0,421.45,419.92,1687.0,361.0,52802,22172752.1,3484,JBMA
2022-12-07,EQ,426.1,426.9,416.05,424.0,418.95,418.0,421.64,1687.0,361.0,38134,16078703.6,2400,JBMA
2022-12-06,EQ,427.55,428.95,423.05,427.55,425.5,424.0,426.06,1687.0,361.0,29248,12461361.9,2111,JBMA
2022-12-05,EQ,439.7,439.7,426.2,426.25,429.15,427.55,430.93,1687.0,361.0,48035,20699806.6,4044,JBMA
2022-12-02,EQ,432.8,432.8,422.95,431.05,427.8,426.25,427.33,1687.0,361.0,87413,37353983.05,6522,JBMA
2022-12-01,EQ,431.15,437.0,425.0,427.95,431.0,431.05,430.75,1687.0,361.0,89451,38530926.95,4795,JBMA
2022-11-30,EQ,421.9,437.1,421.0,420.8,428.55,427.95,430.23,1687.0,361.0,109617,47160084.75,6054,JBMA
2022-11-29,EQ,422.0,425.9,418.05,425.9,421.9,420.8,421.68,1687.0,361.0,51044,21524327.75,4535,JBMA
2022-11-28,EQ,426.0,432.05,423.0,425.25,427.1,425.9,426.85,1687.0,361.0,63141,26951836.65,5826,JBMA
