DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,359.95,366.0,347.0,345.8,349.5,348.6,356.7,428.0,175.2,40129,14314059.8,3236,JINDALPHOT
2022-12-29,EQ,347.2,358.8,336.95,354.85,343.4,345.8,347.7,428.0,175.2,37941,13192177.8,3526,JINDALPHOT
2022-12-28,EQ,375.0,384.85,348.6,347.45,350.0,354.85,371.55,428.0,175.2,328067,121894347.05,14477,JINDALPHOT
2022-12-27,EQ,299.95,347.45,294.0,289.55,347.45,347.45,336.1,428.0,175.2,98317,33044134.45,4301,JINDALPHOT
2022-12-26,EQ,273.1,297.05,273.0,272.35,290.0,289.55,288.78,428.0,175.2,26936,7778585.2,2403,JINDALPHOT
2022-12-23,EQ,292.55,299.6,270.0,301.3,273.0,272.35,280.44,428.0,175.2,23268,6525275.5,2040,JINDALPHOT
2022-12-22,EQ,323.55,323.55,295.3,317.75,300.0,301.3,304.76,428.0,175.2,15171,4623524.7,1231,JINDALPHOT
2022-12-21,EQ,335.0,335.0,315.05,330.3,321.9,317.75,323.32,428.0,175.2,7093,2293338.05,708,JINDALPHOT
2022-12-20,EQ,335.0,340.0,325.7,328.5,330.0,330.3,333.25,428.0,175.2,8376,2791266.45,735,JINDALPHOT
2022-12-19,EQ,321.05,334.95,321.05,326.0,328.1,328.5,328.48,428.0,175.2,10440,3429334.05,751,JINDALPHOT
2022-12-16,EQ,332.5,332.5,316.3,326.75,328.5,326.0,324.35,428.0,175.2,15642,5073489.75,2372,JINDALPHOT
2022-12-15,EQ,335.0,337.45,318.15,334.1,329.5,326.75,327.03,428.0,175.2,31176,10195457.5,3580,JINDALPHOT
2022-12-14,EQ,345.0,345.95,333.5,334.7,333.5,334.1,338.82,428.0,175.2,22633,7668423.15,2803,JINDALPHOT
2022-12-13,EQ,339.95,342.4,334.0,336.9,334.2,334.7,337.68,428.0,175.2,10829,3656759.25,1091,JINDALPHOT
