DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,186.85,189.45,182.85,184.65,184.45,184.15,186.78,213.55,95.45,661338,123525363.15,8150,JKTYRE
2022-12-29,EQ,185.2,185.5,182.25,186.15,184.65,184.65,183.88,213.55,95.45,488737,89868905.2,6532,JKTYRE
2022-12-28,EQ,183.9,188.5,181.15,183.9,185.2,186.15,185.41,213.55,95.45,1207449,223868745.0,12062,JKTYRE
2022-12-27,EQ,183.4,186.8,180.45,181.8,184.0,183.9,183.84,213.55,95.45,1348587,247920095.55,14955,JKTYRE
2022-12-26,EQ,169.0,185.0,168.25,168.8,181.85,181.8,178.46,213.55,95.45,2238735,399513666.9,21514,JKTYRE
2022-12-23,EQ,183.25,183.25,166.45,185.2,169.9,168.8,175.3,213.55,95.45,2111135,370072266.7,23905,JKTYRE
2022-12-22,EQ,195.65,198.75,183.0,195.65,184.5,185.2,189.32,213.55,95.45,2696838,510556484.4,26175,JKTYRE
2022-12-21,EQ,202.0,207.85,191.55,200.0,193.0,195.65,203.44,213.55,95.45,5002308,1017677737.8,40498,JKTYRE
2022-12-20,EQ,197.2,202.0,196.15,196.8,202.0,200.0,198.75,213.55,95.45,893365,177552749.75,9738,JKTYRE
2022-12-19,EQ,198.95,199.1,195.0,197.45,196.5,196.8,196.65,213.55,95.45,800612,157438494.25,11627,JKTYRE
2022-12-16,EQ,198.0,201.25,196.5,200.05,196.75,197.45,198.92,213.55,95.45,876350,174320821.05,9108,JKTYRE
2022-12-15,EQ,198.45,203.5,198.3,200.8,199.5,200.05,200.73,213.55,95.45,1638066,328815936.75,16647,JKTYRE
2022-12-14,EQ,202.5,203.7,198.45,201.9,200.5,200.8,201.1,213.55,95.45,1526218,306929560.5,15297,JKTYRE
2022-12-13,EQ,205.7,205.7,200.3,205.9,201.65,201.9,203.2,213.55,95.45,1281730,260453211.75,11323,JKTYRE
2022-12-12,EQ,196.75,207.5,194.15,196.75,206.15,205.9,201.07,213.55,95.45,3311234,665778236.55,25267,JKTYRE
2022-12-09,EQ,207.5,213.55,193.7,206.45,195.9,196.75,204.54,213.55,95.45,4428763,905847714.7,39197,JKTYRE
2022-12-08,EQ,206.9,208.3,204.25,206.1,206.4,206.45,206.26,209.15,95.45,1309965,270186971.3,10417,JKTYRE
2022-12-07,EQ,208.35,208.9,202.05,207.4,206.45,206.1,205.86,209.15,95.45,1984807,408601850.1,14810,JKTYRE
2022-12-06,EQ,203.7,209.15,201.0,204.1,206.35,207.4,205.74,209.15,95.45,3313423,681696405.55,24210,JKTYRE
2022-12-05,EQ,205.0,209.0,202.6,202.95,203.7,204.1,205.17,209.0,95.45,3588678,736300411.85,26824,JKTYRE
2022-12-02,EQ,198.05,207.1,196.25,199.6,202.7,202.95,202.89,207.1,95.45,6203702,1258678749.45,43355,JKTYRE
2022-12-01,EQ,201.2,201.8,197.05,201.2,199.2,199.6,198.93,204.0,95.45,2841926,565357323.5,23970,JKTYRE
2022-11-30,EQ,196.0,203.0,192.25,195.9,202.1,201.2,198.83,204.0,95.45,8546119,1699185101.1,65208,JKTYRE
2022-11-29,EQ,194.55,204.0,193.2,193.55,195.3,195.9,199.36,204.0,95.45,16377514,3264976641.35,107287,JKTYRE
2022-11-28,EQ,174.0,196.8,173.45,172.95,195.45,193.55,188.02,197.45,95.45,16105992,3028309129.5,100011,JKTYRE
2022-11-25,EQ,171.0,175.7,170.5,170.15,173.1,172.95,173.67,197.45,95.45,1637424,284371688.2,17392,JKTYRE
2022-11-24,EQ,170.8,172.9,169.6,169.95,170.15,170.15,171.08,197.45,95.45,596057,101971452.9,10177,JKTYRE
2022-11-23,EQ,170.3,172.7,169.25,169.5,169.9,169.95,170.95,197.45,95.45,619416,105891341.25,16280,JKTYRE
2022-11-22,EQ,171.75,171.8,169.0,170.85,169.45,169.5,170.14,197.45,95.45,558454,95017425.55,9257,JKTYRE
2022-11-21,EQ,168.7,172.5,168.6,168.55,171.0,170.85,170.64,197.45,95.45,850021,145051342.5,10782,JKTYRE
2022-11-18,EQ,171.6,172.0,167.5,170.25,168.95,168.55,169.53,197.45,95.45,652513,110622373.7,9662,JKTYRE
2022-11-17,EQ,168.3,170.9,168.05,168.25,170.5,170.25,169.69,197.45,95.45,832055,141192728.85,12608,JKTYRE
2022-11-16,EQ,175.75,176.35,166.9,174.95,168.2,168.25,170.29,197.45,95.45,2112277,359693128.3,25570,JKTYRE
2022-11-15,EQ,171.85,181.95,171.4,170.7,175.1,174.95,177.57,197.45,95.45,5457526,969085999.9,47649,JKTYRE
2022-11-14,EQ,173.45,173.5,168.8,173.0,171.0,170.7,170.61,197.45,95.45,696645,118857910.7,9799,JKTYRE
2022-11-11,EQ,172.0,177.4,171.4,170.8,172.5,173.0,174.39,197.45,95.45,1833958,319821895.35,20077,JKTYRE
2022-11-10,EQ,172.75,172.75,168.2,172.0,171.0,170.8,170.22,197.45,95.45,1335081,227256520.8,13408,JKTYRE
2022-11-09,EQ,170.45,176.0,169.45,170.45,171.95,172.0,173.26,197.45,95.45,2910559,504270288.0,25637,JKTYRE
2022-11-07,EQ,169.55,173.15,166.7,167.75,169.65,170.45,170.52,197.45,95.45,2852141,486342179.85,23080,JKTYRE
2022-11-04,EQ,170.15,170.85,167.0,169.7,167.45,167.75,168.24,197.45,95.45,962533,161938569.85,8716,JKTYRE
2022-11-03,EQ,172.1,174.7,169.0,172.55,169.85,169.7,171.87,197.45,95.45,811545,139482537.8,10739,JKTYRE
2022-11-02,EQ,165.5,173.5,165.5,168.6,172.85,172.55,170.32,197.45,95.45,2018262,343753774.15,18495,JKTYRE
2022-11-01,EQ,175.65,176.25,167.15,174.4,168.1,168.6,171.07,197.45,95.45,1508420,258045393.95,16264,JKTYRE
2022-10-31,EQ,170.95,178.9,170.7,170.55,174.5,174.4,175.81,197.45,95.45,2470665,434371104.55,25929,JKTYRE
2022-10-28,EQ,169.5,172.6,167.65,168.75,170.7,170.55,169.94,197.45,95.45,1226769,208477995.7,14224,JKTYRE
2022-10-27,EQ,169.7,174.35,168.0,169.0,168.8,168.75,170.5,197.45,95.45,1070500,182515948.45,14916,JKTYRE
2022-10-25,EQ,172.55,173.45,167.7,172.55,168.75,169.0,170.17,197.45,95.45,1122001,190931792.15,16800,JKTYRE
2022-10-24,EQ,168.05,173.4,168.0,166.5,172.9,172.55,171.86,197.45,95.45,585602,100643826.5,7747,JKTYRE
2022-10-21,EQ,169.3,170.75,159.3,168.5,166.0,166.5,168.38,197.45,95.45,937774,157903084.5,9739,JKTYRE
2022-10-20,EQ,167.2,169.95,165.4,167.65,168.7,168.5,167.64,197.45,95.45,738899,123868171.1,9493,JKTYRE
2022-10-19,EQ,168.0,171.35,166.5,166.35,167.35,167.65,168.48,197.45,95.45,1256138,211629480.4,14663,JKTYRE
2022-10-18,EQ,171.0,171.7,165.1,170.15,166.7,166.35,168.03,197.45,95.45,867939,145842769.7,10843,JKTYRE
2022-10-17,EQ,166.2,170.95,165.15,166.2,170.5,170.15,168.47,197.45,95.45,1026999,173019451.15,12331,JKTYRE
2022-10-14,EQ,171.25,172.6,164.4,168.15,166.3,166.2,168.68,197.45,95.45,1227716,207092936.55,15519,JKTYRE
2022-10-13,EQ,173.6,174.15,167.4,173.2,168.5,168.15,169.67,197.45,95.45,1098367,186363640.6,14425,JKTYRE
2022-10-12,EQ,179.8,179.8,172.0,179.45,172.6,173.2,174.25,197.45,95.45,1551544,270359126.35,15054,JKTYRE
2022-10-11,EQ,180.7,183.5,176.0,179.25,178.3,179.45,181.39,197.45,95.45,2614773,474289891.0,28482,JKTYRE
2022-10-10,EQ,176.0,181.8,174.65,179.15,180.0,179.25,177.16,197.45,95.45,1153052,204271518.55,13411,JKTYRE
2022-10-07,EQ,172.1,179.85,170.35,172.0,178.9,179.15,176.29,197.45,95.45,2553090,450096723.1,22054,JKTYRE
2022-10-06,EQ,174.0,174.3,170.85,173.0,172.0,172.0,172.28,197.45,95.45,1389040,239301953.65,12107,JKTYRE
2022-10-04,EQ,162.55,174.3,162.1,159.95,172.55,173.0,171.01,197.45,95.45,5093857,871077678.5,38088,JKTYRE
2022-10-03,EQ,165.2,167.15,159.0,166.35,160.45,159.95,163.14,197.45,95.45,1277391,208399665.0,14082,JKTYRE
