DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,594.6,604.95,590.15,590.4,600.0,600.9,598.92,957.55,520.0,233194,139665536.65,8376,JUSTDIAL
2022-12-29,EQ,589.6,598.45,584.0,590.05,589.0,590.4,590.09,957.55,520.0,95976,56634179.35,4895,JUSTDIAL
2022-12-28,EQ,581.75,597.1,576.0,581.75,589.2,590.05,589.11,957.55,520.0,142624,84021751.25,7195,JUSTDIAL
2022-12-27,EQ,579.0,591.0,577.75,578.1,580.8,581.75,581.61,957.55,520.0,65015,37813360.35,3098,JUSTDIAL
2022-12-26,EQ,575.0,593.2,571.0,572.1,577.0,578.1,580.24,957.55,520.0,107598,62432719.5,5106,JUSTDIAL
2022-12-23,EQ,580.0,580.0,568.25,585.4,572.95,572.1,572.48,957.55,520.0,123397,70642843.15,7825,JUSTDIAL
2022-12-22,EQ,591.0,599.0,580.05,590.65,586.0,585.4,586.66,957.55,520.0,147098,86296092.25,7472,JUSTDIAL
2022-12-21,EQ,606.0,609.6,588.6,608.3,591.25,590.65,598.67,957.55,520.0,1271416,761154721.9,14263,JUSTDIAL
2022-12-20,EQ,622.45,622.5,605.0,622.45,606.0,608.3,610.91,957.55,520.0,291641,178166537.9,11729,JUSTDIAL
2022-12-19,EQ,597.0,629.0,583.65,594.05,621.2,622.45,618.26,957.55,520.0,760457,470161981.4,23960,JUSTDIAL
2022-12-16,EQ,592.2,606.95,591.1,593.65,594.5,594.05,599.0,957.55,520.0,213844,128092845.0,8336,JUSTDIAL
2022-12-15,EQ,601.0,603.95,590.2,605.55,592.0,593.65,595.38,957.55,520.0,105948,63078801.35,4613,JUSTDIAL
2022-12-14,EQ,605.0,609.45,599.0,603.95,603.0,605.55,604.52,957.55,520.0,212284,128330597.95,7431,JUSTDIAL
2022-12-13,EQ,572.5,607.7,572.5,570.2,604.1,603.95,599.4,957.55,520.0,940226,563573340.15,26415,JUSTDIAL
2022-12-12,EQ,572.05,574.8,563.8,574.7,568.5,570.2,569.11,957.55,520.0,97311,55380968.8,4168,JUSTDIAL
2022-12-09,EQ,585.5,585.5,572.0,582.7,574.0,574.7,575.76,957.55,520.0,200106,115212996.6,7828,JUSTDIAL
2022-12-08,EQ,582.0,585.0,577.15,579.4,580.0,582.7,580.96,957.55,520.0,87666,50930060.2,3497,JUSTDIAL
2022-12-07,EQ,588.0,590.65,575.0,586.35,579.0,579.4,582.59,957.55,520.0,111268,64823310.9,4393,JUSTDIAL
2022-12-06,EQ,593.0,597.0,585.1,593.35,586.45,586.35,588.35,957.55,520.0,146672,86295196.0,5217,JUSTDIAL
2022-12-05,EQ,593.0,598.8,589.05,597.5,594.0,593.35,593.37,957.55,520.0,112053,66488864.75,3907,JUSTDIAL
2022-12-02,EQ,597.45,601.7,594.0,597.6,595.0,597.5,597.81,957.55,520.0,89810,53689165.75,2791,JUSTDIAL
2022-12-01,EQ,604.7,607.7,594.05,597.4,594.85,597.6,601.41,957.55,520.0,177083,106499138.55,5693,JUSTDIAL
2022-11-30,EQ,588.55,599.0,588.55,588.55,598.75,597.4,595.36,957.55,520.0,186205,110859604.75,6831,JUSTDIAL
2022-11-29,EQ,588.85,595.95,586.25,588.85,587.0,588.55,590.4,957.55,520.0,120798,71319132.05,4976,JUSTDIAL
2022-11-28,EQ,587.3,594.9,585.55,588.4,589.0,588.85,590.41,957.55,520.0,122691,72438081.2,5177,JUSTDIAL
2022-11-25,EQ,594.8,599.95,584.45,593.6,588.75,588.4,590.58,957.55,520.0,146948,86784445.85,5145,JUSTDIAL
2022-11-24,EQ,596.0,598.95,591.0,593.75,593.6,593.6,593.81,957.55,520.0,78308,46500106.3,3163,JUSTDIAL
2022-11-23,EQ,599.55,602.9,592.0,596.55,594.0,593.75,596.3,957.55,520.0,108838,64900265.05,4172,JUSTDIAL
2022-11-22,EQ,598.0,601.0,591.9,597.3,597.0,596.55,595.61,957.55,520.0,90580,53949945.3,3677,JUSTDIAL
2022-11-21,EQ,601.4,605.5,594.5,600.7,594.5,597.3,599.05,957.55,520.0,86544,51844157.95,3150,JUSTDIAL
2022-11-18,EQ,605.9,610.7,593.0,605.9,598.0,600.7,600.29,957.55,520.0,120407,72279371.4,3978,JUSTDIAL
2022-11-17,EQ,600.0,614.85,596.05,604.45,604.35,605.9,604.15,957.55,520.0,199314,120416464.1,5795,JUSTDIAL
2022-11-16,EQ,609.4,621.0,597.25,608.55,602.1,604.45,610.81,957.55,520.0,241773,147677710.5,8592,JUSTDIAL
2022-11-15,EQ,609.4,611.95,602.0,606.7,607.5,608.55,606.85,957.55,520.0,94727,57485113.0,3491,JUSTDIAL
2022-11-14,EQ,609.5,609.95,602.0,608.7,607.5,606.7,606.28,957.55,520.0,83595,50681753.6,3021,JUSTDIAL
2022-11-11,EQ,607.9,614.75,606.0,604.85,606.05,608.7,609.86,957.55,520.0,110719,67522913.65,3755,JUSTDIAL
2022-11-10,EQ,625.3,625.3,600.0,627.4,604.0,604.85,607.83,957.55,520.0,233790,142104753.85,9373,JUSTDIAL
2022-11-09,EQ,639.0,639.0,622.0,635.3,624.75,627.4,627.34,957.55,520.0,167028,104783549.0,7360,JUSTDIAL
