DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,1046.0,1079.75,1042.4,1051.55,1056.0,1049.45,1053.21,1191.0,594.15,12023,12662793.9,2467,KDDL
2022-12-29,EQ,1034.0,1058.05,1034.0,1033.85,1046.0,1051.55,1050.01,1191.0,594.15,13955,14652921.45,2741,KDDL
2022-12-28,EQ,1027.25,1053.0,1025.45,1037.65,1029.1,1033.85,1043.54,1191.0,594.15,6376,6653593.25,1587,KDDL
2022-12-27,EQ,1024.9,1049.95,1002.15,985.55,1045.0,1037.65,1024.5,1191.0,594.15,13414,13742671.7,2517,KDDL
2022-12-26,EQ,965.9,1000.0,949.25,983.2,988.0,985.55,982.05,1191.0,594.15,22158,21760212.0,3922,KDDL
2022-12-23,EQ,1020.0,1024.85,974.15,1018.75,975.5,983.2,988.0,1191.0,594.15,19062,18833347.0,3906,KDDL
2022-12-22,EQ,1040.0,1057.6,1002.25,1037.9,1022.0,1018.75,1022.23,1191.0,594.15,25309,25871657.2,4795,KDDL
2022-12-21,EQ,1035.95,1125.0,1022.0,1023.9,1044.95,1037.9,1075.58,1191.0,594.15,113894,122502269.2,16231,KDDL
2022-12-20,EQ,1004.35,1030.9,990.0,1006.45,1028.5,1023.9,1013.92,1191.0,594.15,10552,10698839.45,2646,KDDL
2022-12-19,EQ,1020.25,1035.95,1000.1,1026.9,1005.0,1006.45,1013.58,1191.0,594.15,19545,19810339.75,5710,KDDL
2022-12-16,EQ,1029.95,1040.85,1015.55,1033.7,1029.0,1026.9,1026.34,1191.0,594.15,11030,11320552.7,4789,KDDL
2022-12-15,EQ,1028.8,1055.9,1012.3,1026.35,1034.35,1033.7,1034.1,1191.0,594.15,16138,16688253.3,3755,KDDL
2022-12-14,EQ,1035.1,1079.0,1020.0,1035.7,1026.0,1026.35,1043.21,1191.0,594.15,19122,19948325.8,3091,KDDL
2022-12-13,EQ,1028.65,1050.0,991.55,1003.0,1049.0,1035.7,1028.37,1191.0,594.15,13117,13489124.8,1480,KDDL
2022-12-12,EQ,1034.8,1034.8,991.0,1019.5,1017.9,1003.0,1009.89,1191.0,594.15,13134,13263930.5,1669,KDDL
2022-12-09,EQ,1015.4,1039.65,986.15,1023.65,1024.0,1019.5,1014.91,1191.0,594.15,17059,17313356.4,2834,KDDL
2022-12-08,EQ,1024.0,1043.9,1004.15,1017.05,1020.0,1023.65,1026.91,1191.0,594.15,19460,19983628.1,2742,KDDL
2022-12-07,EQ,998.0,1040.0,988.3,995.35,1012.5,1017.05,1019.89,1191.0,594.15,41271,42091775.6,5474,KDDL
2022-12-06,EQ,969.9,999.4,960.25,970.55,996.0,995.35,985.56,1191.0,594.15,13936,13734822.3,1975,KDDL
2022-12-05,EQ,1015.0,1018.0,958.55,1012.7,970.95,970.55,984.66,1191.0,594.15,30509,30040984.6,3202,KDDL
2022-12-02,EQ,1003.0,1018.95,992.0,1003.05,1010.0,1012.7,1006.02,1191.0,589.45,8177,8226259.45,1685,KDDL
