DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,65.45,66.45,64.1,63.6,64.8,64.4,65.17,90.65,19.9,286104,18644039.8,2131,KECL
2022-12-29,EQ,65.8,65.8,63.05,65.0,64.2,63.6,64.16,90.65,19.9,320089,20537929.1,2758,KECL
2022-12-28,EQ,67.5,69.0,64.4,66.8,65.0,65.0,66.7,90.65,19.9,676043,45088972.55,3745,KECL
2022-12-27,EQ,65.55,66.8,64.25,63.65,66.8,66.8,66.14,90.65,19.9,762975,50462209.8,3633,KECL
2022-12-26,EQ,60.15,64.85,60.15,63.3,64.25,63.65,61.7,90.65,19.9,1424267,87882479.6,5223,KECL
2022-12-23,EQ,63.3,64.95,63.3,66.6,63.3,63.3,63.38,90.65,19.9,542288,34367634.75,1142,KECL
2022-12-22,EQ,68.1,69.75,66.6,70.1,66.6,66.6,66.85,90.65,19.9,685499,45825885.35,2433,KECL
2022-12-21,EQ,74.1,76.0,70.1,73.75,70.1,70.1,71.02,90.65,19.9,490134,34810180.05,2669,KECL
2022-12-20,EQ,76.85,76.85,72.9,75.35,74.3,73.75,73.95,90.65,19.9,199549,14756078.4,1797,KECL
2022-12-19,EQ,76.95,77.5,74.9,75.95,75.5,75.35,75.62,90.65,19.9,198588,15017649.75,2065,KECL
2022-12-16,EQ,76.35,79.45,72.6,75.85,76.95,75.95,76.17,90.65,19.9,720094,54850358.45,5284,KECL
2022-12-15,EQ,80.0,80.0,74.95,78.85,76.9,75.85,76.55,90.65,19.9,531156,40662378.9,3671,KECL
2022-12-14,EQ,78.95,82.35,78.2,78.45,78.75,78.85,80.51,90.65,19.9,538699,43371207.25,3504,KECL
2022-12-13,EQ,78.25,83.9,77.5,80.25,78.45,78.45,79.53,90.65,19.9,636060,50587972.45,5357,KECL
2022-12-12,EQ,81.15,84.0,80.25,84.45,80.25,80.25,81.39,90.65,19.9,646488,52614497.6,5276,KECL
2022-12-09,EQ,88.0,90.0,84.45,88.85,84.45,84.45,85.53,90.65,19.9,799400,68374487.45,4621,KECL
2022-12-08,EQ,89.9,90.65,83.3,86.6,88.0,88.85,88.1,90.65,19.9,1223269,107770376.55,10716,KECL
2022-12-07,EQ,86.6,86.6,82.0,82.5,86.6,86.6,85.69,86.6,19.9,1913326,163958769.0,7810,KECL
