DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,239.95,244.0,237.0,237.4,238.0,237.95,240.0,334.0,174.6,29383,7051976.45,1637,KHADIM
2022-12-29,EQ,237.45,240.0,234.1,237.45,236.25,237.4,236.76,334.0,174.6,17273,4089590.25,933,KHADIM
2022-12-28,EQ,234.85,240.0,234.25,234.85,237.65,237.45,237.04,334.0,174.6,37797,8959494.5,1829,KHADIM
2022-12-27,EQ,243.2,248.75,232.7,243.15,234.7,234.85,237.4,334.0,174.6,85612,20324625.25,3550,KHADIM
2022-12-26,EQ,245.55,252.0,239.55,245.55,243.0,243.15,246.18,334.0,174.6,53294,13119816.45,2736,KHADIM
2022-12-23,EQ,258.8,258.8,242.05,260.25,245.0,245.55,246.54,334.0,174.6,35184,8674344.75,1915,KHADIM
2022-12-22,EQ,256.5,265.0,247.0,256.5,260.1,260.25,253.6,334.0,174.6,32141,8150824.9,2275,KHADIM
2022-12-21,EQ,272.0,276.4,244.95,272.2,257.55,256.5,260.27,334.0,174.6,50423,13123807.45,2127,KHADIM
2022-12-20,EQ,278.6,279.95,269.6,276.8,271.5,272.2,273.68,334.0,174.6,9269,2536730.75,837,KHADIM
2022-12-19,EQ,264.55,278.25,262.85,265.7,276.95,276.8,273.55,334.0,174.6,55100,15072621.35,2418,KHADIM
2022-12-16,EQ,263.25,270.0,263.15,263.25,264.55,265.7,266.81,334.0,174.6,23689,6320514.9,1029,KHADIM
2022-12-15,EQ,266.75,269.25,261.0,266.7,263.0,263.25,264.7,334.0,174.6,18154,4805386.4,961,KHADIM
2022-12-14,EQ,268.85,272.0,263.2,268.85,266.1,266.7,266.03,334.0,174.6,42044,11184842.7,1789,KHADIM
2022-12-13,EQ,269.05,272.25,265.95,266.5,267.3,268.85,268.56,334.0,174.6,15293,4107028.75,826,KHADIM
2022-12-12,EQ,267.35,269.95,262.8,265.5,268.0,266.5,265.25,334.0,174.6,16420,4355420.15,867,KHADIM
2022-12-09,EQ,268.9,271.95,264.0,267.4,264.55,265.5,267.28,334.0,174.6,15117,4040446.55,1143,KHADIM
2022-12-08,EQ,268.15,272.1,266.0,270.85,269.5,267.4,268.37,334.0,174.6,15232,4087836.1,725,KHADIM
2022-12-07,EQ,272.0,274.95,270.05,274.6,271.1,270.85,271.93,334.0,174.6,15218,4138192.2,982,KHADIM
2022-12-06,EQ,264.85,278.85,263.75,263.9,274.5,274.6,270.84,334.0,174.6,74600,20204492.0,2188,KHADIM
2022-12-05,EQ,266.45,269.75,263.15,266.45,265.0,263.9,265.95,334.0,174.6,14498,3855720.25,1246,KHADIM
2022-12-02,EQ,262.7,270.2,262.65,262.7,267.1,266.45,266.77,334.0,174.6,55036,14682094.9,2235,KHADIM
2022-12-01,EQ,269.5,269.5,262.0,267.0,263.5,262.7,264.27,334.0,174.6,36259,9582157.75,1807,KHADIM
2022-11-30,EQ,271.0,272.05,265.1,270.65,266.0,267.0,268.97,334.0,174.6,16181,4352218.3,1044,KHADIM
