DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-11-16,EQ,56.0,59.5,56.0,56.0,56.25,57.1,57.5,73.8,38.55,16651,957438.55,381,KHAITANLTD
2022-11-15,EQ,54.25,58.4,54.25,59.35,56.4,56.0,56.33,73.8,38.55,27259,1535599.0,489,KHAITANLTD
2022-11-14,EQ,64.0,64.0,57.7,62.65,60.0,59.35,59.67,73.8,38.55,36793,2195561.3,585,KHAITANLTD
2022-11-11,EQ,73.8,73.8,60.9,67.65,62.0,62.65,65.25,73.8,38.55,102966,6718659.35,1626,KHAITANLTD
2022-11-10,EQ,69.0,72.25,60.6,65.7,69.5,67.65,68.79,72.25,38.55,220365,15158901.25,2905,KHAITANLTD
2022-11-09,EQ,65.0,65.7,61.1,54.75,65.7,65.7,64.54,65.7,38.55,147499,9520313.1,986,KHAITANLTD
2022-11-07,EQ,45.95,54.75,45.05,45.65,54.75,54.75,53.85,54.75,38.55,24152,1300484.85,173,KHAITANLTD
2022-11-04,EQ,46.3,48.45,38.55,46.95,45.6,45.65,45.57,53.45,38.55,7948,362207.75,334,KHAITANLTD
2022-11-03,EQ,45.05,47.25,44.55,46.5,47.0,46.95,46.26,53.45,42.9,2418,111851.7,81,KHAITANLTD
2022-11-02,EQ,45.3,48.0,45.05,46.45,46.5,46.5,46.38,53.45,42.9,5878,272619.85,264,KHAITANLTD
2022-11-01,EQ,45.35,47.65,45.35,46.5,46.15,46.45,46.58,53.45,42.9,2475,115275.15,101,KHAITANLTD
2022-10-31,EQ,47.05,52.15,46.4,47.05,47.3,46.5,47.69,53.45,42.9,2653,126525.3,69,KHAITANLTD
2022-10-28,EQ,46.35,47.25,45.65,46.45,47.05,47.05,46.77,54.9,42.9,2835,132586.5,93,KHAITANLTD
2022-10-27,EQ,45.5,47.6,45.3,46.3,47.05,46.45,46.5,55.4,42.9,4341,201873.2,72,KHAITANLTD
2022-10-25,EQ,45.05,47.05,45.0,46.4,46.85,46.3,45.99,55.4,42.9,2701,124229.65,90,KHAITANLTD
2022-10-24,EQ,47.95,49.45,45.0,44.85,48.0,46.4,46.87,55.4,42.9,4673,219010.55,59,KHAITANLTD
2022-10-21,EQ,45.55,47.65,44.2,45.55,44.45,44.85,46.19,55.4,42.9,1768,81662.05,79,KHAITANLTD
2022-10-20,EQ,45.05,46.95,45.0,45.9,46.1,45.55,45.66,55.4,42.9,4959,226436.35,214,KHAITANLTD
2022-10-19,EQ,45.8,47.4,45.2,46.3,46.6,45.9,46.17,55.4,42.9,6304,291051.4,270,KHAITANLTD
2022-10-18,EQ,47.45,47.45,46.05,46.3,46.5,46.3,46.66,55.4,42.9,2220,103581.45,100,KHAITANLTD
2022-10-17,EQ,45.1,47.95,45.1,46.05,46.7,46.3,46.24,55.4,42.9,2336,108026.0,174,KHAITANLTD
2022-10-14,EQ,47.2,50.3,45.5,47.35,45.5,46.05,47.19,55.4,42.9,2063,97351.15,85,KHAITANLTD
2022-10-13,EQ,48.4,48.4,45.65,47.45,47.6,47.35,47.03,55.4,42.9,3944,185491.4,160,KHAITANLTD
2022-10-12,EQ,45.35,49.5,45.35,46.8,48.0,47.45,47.77,55.4,42.9,13138,627618.3,335,KHAITANLTD
2022-10-11,EQ,45.05,50.0,45.05,45.6,48.45,46.8,46.12,55.4,42.9,11343,523121.25,231,KHAITANLTD
2022-10-10,EQ,49.0,49.0,45.0,46.15,45.25,45.6,45.93,55.4,42.9,4246,195019.4,126,KHAITANLTD
2022-10-07,EQ,48.25,48.25,44.65,45.35,46.85,46.15,46.55,55.4,42.9,6093,283620.55,136,KHAITANLTD
2022-10-06,EQ,45.3,48.1,45.05,46.45,45.1,45.35,46.56,55.4,42.9,2405,111967.2,54,KHAITANLTD
2022-10-04,EQ,44.4,48.3,42.9,45.4,47.3,46.45,45.97,55.4,42.9,7929,364495.0,175,KHAITANLTD
2022-10-03,EQ,45.95,46.4,43.4,45.05,44.6,45.4,45.96,55.4,43.05,1570,72161.45,63,KHAITANLTD
2022-09-30,EQ,43.75,46.45,43.1,44.4,44.35,45.05,44.53,55.4,43.05,6953,309618.8,189,KHAITANLTD
2022-09-29,EQ,45.0,48.0,44.0,44.75,44.0,44.4,45.55,55.4,43.05,3615,164666.35,106,KHAITANLTD
2022-09-28,EQ,43.05,47.4,43.05,44.75,45.95,44.75,44.79,55.4,43.05,6917,309819.75,231,KHAITANLTD
2022-09-27,EQ,43.6,48.0,43.6,45.25,46.0,44.75,45.93,55.4,43.6,1181,54243.05,45,KHAITANLTD
