DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,470.9,476.7,469.6,469.1,470.1,471.4,472.84,565.0,422.0,42119,19915661.55,1732,KIRIINDUS
2022-12-29,EQ,474.0,475.55,465.8,474.65,468.05,469.1,469.46,565.0,422.0,56329,26444360.0,2582,KIRIINDUS
2022-12-28,EQ,471.0,481.05,468.7,471.3,474.25,474.65,476.05,565.0,422.0,72867,34688207.0,3294,KIRIINDUS
2022-12-27,EQ,473.5,481.95,468.0,471.35,471.25,471.3,473.24,565.0,422.0,86728,41043068.25,3569,KIRIINDUS
2022-12-26,EQ,471.1,477.65,469.95,468.8,471.0,471.35,473.24,565.0,422.0,55929,26467960.05,3339,KIRIINDUS
2022-12-23,EQ,481.0,483.0,468.1,483.2,468.15,468.8,473.03,565.0,422.0,87733,41500534.4,4189,KIRIINDUS
2022-12-22,EQ,484.0,489.5,472.25,481.95,483.5,483.2,479.84,565.0,422.0,100123,48042569.7,5019,KIRIINDUS
2022-12-21,EQ,500.05,504.2,478.5,497.55,479.0,481.95,490.06,565.0,422.0,90413,44307452.15,3398,KIRIINDUS
2022-12-20,EQ,500.75,511.0,495.6,501.3,496.0,497.55,503.35,565.0,422.0,111717,56233054.35,4421,KIRIINDUS
2022-12-19,EQ,508.5,512.0,498.05,504.7,499.0,501.3,505.8,565.0,422.0,104336,52773315.55,3908,KIRIINDUS
2022-12-16,EQ,494.0,510.05,493.05,497.45,507.2,504.7,502.11,565.0,422.0,111354,55912105.0,3707,KIRIINDUS
2022-12-15,EQ,489.95,509.5,489.9,485.65,497.75,497.45,502.48,565.0,422.0,325239,163427094.45,11063,KIRIINDUS
2022-12-14,EQ,475.0,488.0,474.95,473.6,487.05,485.65,482.04,565.0,422.0,81197,39140286.45,3281,KIRIINDUS
2022-12-13,EQ,479.5,479.5,472.15,477.2,473.9,473.6,474.68,565.0,422.0,35378,16793371.1,1991,KIRIINDUS
2022-12-12,EQ,472.0,480.0,472.0,476.4,476.1,477.2,475.78,565.0,422.0,49855,23719809.3,2386,KIRIINDUS
2022-12-09,EQ,481.75,481.75,473.35,478.5,475.7,476.4,476.99,565.0,422.0,65156,31078679.95,2000,KIRIINDUS
2022-12-08,EQ,481.1,483.55,476.0,481.85,479.25,478.5,479.19,565.0,422.0,62579,29987161.7,3011,KIRIINDUS
2022-12-07,EQ,486.0,486.0,478.0,484.5,483.0,481.85,482.41,565.0,422.0,39299,18958316.0,1946,KIRIINDUS
2022-12-06,EQ,481.4,491.0,476.05,480.65,484.0,484.5,484.67,565.0,422.0,87514,42415088.85,3625,KIRIINDUS
2022-12-05,EQ,485.65,489.0,475.05,481.8,487.0,480.65,482.97,565.0,422.0,88573,42778179.6,3445,KIRIINDUS
2022-12-02,EQ,494.7,496.85,478.0,492.9,483.0,481.8,485.32,565.0,422.0,136236,66117748.0,4422,KIRIINDUS
2022-12-01,EQ,498.9,498.9,489.1,496.4,494.5,492.9,493.65,565.0,422.0,40875,20178061.55,1996,KIRIINDUS
2022-11-30,EQ,493.5,498.85,490.9,497.25,495.5,496.4,494.6,565.0,422.0,45457,22483133.95,2223,KIRIINDUS
2022-11-29,EQ,498.0,508.0,494.55,499.15,495.5,497.25,500.58,565.0,422.0,83256,41676366.25,3195,KIRIINDUS
2022-11-28,EQ,504.0,512.0,493.75,504.7,499.0,499.15,502.14,565.0,422.0,146794,73711282.3,5124,KIRIINDUS
2022-11-25,EQ,482.9,524.1,480.4,479.0,502.0,504.7,505.11,565.0,422.0,522605,263975600.7,20231,KIRIINDUS
2022-11-24,EQ,475.05,484.9,473.5,475.15,478.0,479.0,477.08,565.0,422.0,66243,31603349.5,2400,KIRIINDUS
2022-11-23,EQ,479.9,479.9,474.05,475.2,474.95,475.15,475.93,565.0,422.0,46017,21901095.6,1795,KIRIINDUS
2022-11-22,EQ,473.0,478.35,473.0,474.35,475.0,475.2,475.52,565.0,422.0,71046,33783452.25,2427,KIRIINDUS
2022-11-21,EQ,478.0,482.45,471.1,476.8,475.0,474.35,477.34,565.0,422.0,50740,24220102.2,2193,KIRIINDUS
2022-11-18,EQ,483.9,485.3,474.4,482.45,477.0,476.8,480.12,565.0,422.0,84009,40334232.3,2958,KIRIINDUS
2022-11-17,EQ,489.5,489.5,480.1,486.6,483.0,482.45,485.51,565.0,422.0,72986,35435415.05,2479,KIRIINDUS
2022-11-16,EQ,478.0,489.45,477.6,478.65,488.3,486.6,482.97,565.0,422.0,83432,40294914.55,3345,KIRIINDUS
2022-11-15,EQ,480.1,487.2,474.1,483.0,477.5,478.65,481.68,565.0,422.0,86690,41756527.8,3096,KIRIINDUS
2022-11-14,EQ,486.95,491.8,476.55,479.4,484.5,483.0,484.61,565.0,422.0,121882,59065366.35,4819,KIRIINDUS
2022-11-11,EQ,487.7,487.7,467.6,481.55,475.3,479.4,476.63,565.0,422.0,173348,82623345.95,7275,KIRIINDUS
2022-11-10,EQ,486.0,493.0,479.0,491.35,480.0,481.55,486.46,565.0,422.0,154980,75391801.7,4605,KIRIINDUS
2022-11-09,EQ,497.8,505.0,488.5,494.9,490.5,491.35,495.52,565.0,422.0,227372,112667522.75,6516,KIRIINDUS
2022-11-07,EQ,500.0,501.8,489.0,496.65,493.0,494.9,494.17,565.0,422.0,95814,47347965.45,4452,KIRIINDUS
2022-11-04,EQ,501.95,502.2,494.0,495.2,497.0,496.65,497.28,565.0,422.0,68628,34127169.9,3153,KIRIINDUS
2022-11-03,EQ,489.0,504.0,489.0,501.95,496.55,495.2,496.57,565.0,422.0,98501,48913108.9,4110,KIRIINDUS
2022-11-02,EQ,525.0,525.0,498.55,523.15,502.0,501.95,508.58,565.0,422.0,133681,67987893.05,4997,KIRIINDUS
2022-11-01,EQ,530.0,534.3,516.6,525.8,522.0,523.15,524.56,565.0,422.0,199054,104416642.5,11215,KIRIINDUS
2022-10-31,EQ,517.75,533.0,515.0,517.75,526.95,525.8,524.76,565.0,422.0,301046,157976862.05,12853,KIRIINDUS
2022-10-28,EQ,489.1,521.95,489.1,489.1,518.0,517.75,512.48,565.0,422.0,587795,301235584.3,18229,KIRIINDUS
2022-10-27,EQ,496.45,498.35,485.95,493.95,485.95,489.1,492.75,565.0,422.0,69894,34440201.6,3441,KIRIINDUS
2022-10-25,EQ,497.1,500.65,492.95,495.8,493.8,493.95,496.08,565.0,422.0,47952,23787983.85,2349,KIRIINDUS
2022-10-24,EQ,503.5,503.5,493.0,497.5,497.0,495.8,495.91,565.0,422.0,13755,6821236.3,502,KIRIINDUS
2022-10-21,EQ,498.7,502.0,493.1,495.95,496.6,497.5,496.87,565.0,422.0,35125,17452663.25,2111,KIRIINDUS
2022-10-20,EQ,498.5,504.15,495.0,498.0,495.05,495.95,497.55,565.0,422.0,43323,21555471.25,2273,KIRIINDUS
2022-10-19,EQ,501.9,505.95,497.0,500.35,497.0,498.0,499.88,565.0,422.0,48361,24174610.5,1647,KIRIINDUS
2022-10-18,EQ,511.9,511.9,497.05,507.2,499.0,500.35,502.03,565.0,422.0,74130,37215120.7,3468,KIRIINDUS
2022-10-17,EQ,505.0,514.45,502.95,510.0,507.5,507.2,507.8,565.0,422.0,62144,31556422.0,2774,KIRIINDUS
2022-10-14,EQ,513.8,513.8,505.6,506.9,509.0,510.0,509.08,565.0,422.0,94972,48347935.75,3080,KIRIINDUS
2022-10-13,EQ,499.0,513.95,494.0,498.9,506.0,506.9,503.79,565.0,422.0,119562,60234386.7,5207,KIRIINDUS
2022-10-12,EQ,511.8,512.0,497.85,507.6,498.25,498.9,503.14,565.0,422.0,77377,38931383.65,3620,KIRIINDUS
2022-10-11,EQ,498.65,522.9,493.0,494.15,507.55,507.6,508.74,565.0,422.0,293138,149132167.0,11491,KIRIINDUS
2022-10-10,EQ,485.0,502.3,485.0,492.25,493.1,494.15,494.77,565.0,422.0,110986,54912580.2,4787,KIRIINDUS
2022-10-07,EQ,498.0,502.55,490.1,496.95,491.0,492.25,495.78,569.8,422.0,82850,41075188.15,2382,KIRIINDUS
2022-10-06,EQ,496.0,505.45,494.5,494.95,495.2,496.95,499.66,569.8,422.0,70305,35128589.1,3008,KIRIINDUS
2022-10-04,EQ,498.95,502.5,491.5,493.85,496.0,494.95,495.98,569.8,422.0,93834,46540243.75,3255,KIRIINDUS
2022-10-03,EQ,507.0,507.0,492.1,503.0,493.05,493.85,498.36,569.8,422.0,75447,37599968.45,2845,KIRIINDUS
2022-09-30,EQ,505.0,508.7,496.5,503.75,503.0,503.0,503.39,569.8,422.0,93385,47008809.65,3902,KIRIINDUS
