DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,1924.7,1955.95,1911.0,1915.1,1920.0,1933.8,1930.56,2174.0,960.0,18936,36557028.95,2440,KSB
2022-12-29,EQ,1917.15,1947.25,1863.1,1925.7,1944.0,1915.1,1903.62,2174.0,960.0,18198,34642033.15,3281,KSB
2022-12-28,EQ,1931.9,1941.45,1906.6,1917.7,1920.0,1925.7,1924.17,2174.0,960.0,5281,10161519.5,1676,KSB
2022-12-27,EQ,1910.35,1950.0,1901.45,1900.8,1921.0,1917.7,1918.52,2174.0,960.0,10353,19862483.5,2484,KSB
2022-12-26,EQ,1812.95,1942.0,1795.05,1825.4,1925.0,1900.8,1880.33,2174.0,960.0,19086,35888029.85,4735,KSB
2022-12-23,EQ,1760.0,1948.0,1751.0,1814.15,1850.45,1825.4,1791.56,2174.0,960.0,28241,50595344.1,6053,KSB
2022-12-22,EQ,1863.0,1892.95,1790.0,1882.85,1801.9,1814.15,1818.34,2174.0,960.0,39729,72241021.5,10467,KSB
2022-12-21,EQ,1865.95,1938.85,1814.95,1856.65,1905.0,1882.85,1874.81,2174.0,960.0,29728,55734288.05,6999,KSB
2022-12-20,EQ,1908.8,1915.15,1841.4,1899.3,1879.5,1856.65,1865.82,2174.0,960.0,11794,22005445.5,2873,KSB
2022-12-19,EQ,1880.15,1921.0,1875.5,1888.7,1891.0,1899.3,1901.15,2174.0,960.0,9393,17857482.1,3375,KSB
2022-12-16,EQ,1949.45,1958.75,1875.0,1939.75,1875.0,1888.7,1909.81,2174.0,960.0,24129,46081749.95,4836,KSB
2022-12-15,EQ,1935.95,1959.7,1926.0,1943.5,1946.9,1939.75,1937.65,2174.0,960.0,2533,4908071.0,1217,KSB
2022-12-14,EQ,1958.0,1961.9,1927.4,1948.25,1937.0,1943.5,1943.4,2174.0,960.0,3891,7561766.25,1565,KSB
2022-12-13,EQ,1915.0,1960.0,1900.45,1915.2,1951.85,1948.25,1941.15,2174.0,960.0,13016,25265945.8,2430,KSB
2022-12-12,EQ,1915.9,1935.6,1875.9,1897.75,1885.05,1915.2,1908.76,2174.0,960.0,11905,22723832.35,3900,KSB
2022-12-09,EQ,1960.0,1970.0,1890.0,1952.45,1897.1,1897.75,1923.92,2174.0,960.0,8994,17303701.1,3236,KSB
2022-12-08,EQ,1956.2,1974.4,1931.7,1946.45,1957.0,1952.45,1956.24,2174.0,960.0,7304,14288361.2,2546,KSB
2022-12-07,EQ,1931.25,1991.05,1931.25,1939.8,1947.0,1946.45,1959.43,2174.0,960.0,21729,42576442.85,4085,KSB
2022-12-06,EQ,1947.25,1955.05,1920.0,1937.55,1940.05,1939.8,1935.13,2174.0,960.0,13068,25288292.9,2850,KSB
2022-12-05,EQ,1937.15,1957.95,1911.0,1927.5,1948.0,1937.55,1931.71,2174.0,960.0,21706,41929666.5,4318,KSB
2022-12-02,EQ,1958.0,1968.6,1921.35,1958.8,1930.0,1927.5,1936.93,2174.0,960.0,11742,22743471.9,2751,KSB
2022-12-01,EQ,2029.95,2051.85,1943.1,2024.3,1957.05,1958.8,1983.09,2174.0,960.0,43553,86369563.85,7730,KSB
2022-11-30,EQ,1905.45,2059.0,1905.45,1918.95,2059.0,2024.3,1980.33,2174.0,960.0,35491,70284000.0,5377,KSB
2022-11-29,EQ,1926.55,1936.2,1881.4,1926.55,1929.0,1918.95,1911.13,2174.0,960.0,13727,26234047.85,3850,KSB
2022-11-28,EQ,1900.0,1945.0,1883.9,1911.0,1910.05,1926.55,1918.21,2174.0,960.0,28141,53980342.9,3799,KSB
2022-11-25,EQ,1916.65,1934.05,1901.1,1925.8,1907.0,1911.0,1916.13,2174.0,960.0,5879,11264904.65,2000,KSB
2022-11-24,EQ,1918.0,1953.7,1917.2,1930.9,1930.0,1925.8,1937.58,2174.0,960.0,8455,16382258.25,2577,KSB
2022-11-23,EQ,1892.0,1945.0,1877.25,1882.85,1932.7,1930.9,1933.14,2174.0,960.0,25932,50130306.4,3779,KSB
2022-11-22,EQ,1875.0,1898.0,1875.0,1874.7,1889.5,1882.85,1885.51,2174.0,960.0,7877,14852182.1,2650,KSB
2022-11-21,EQ,1920.0,1927.5,1861.0,1917.9,1876.1,1874.7,1895.79,2174.0,960.0,14334,27174228.35,4058,KSB
2022-11-18,EQ,1960.05,1969.0,1910.6,1959.55,1919.95,1917.9,1939.95,2174.0,960.0,17133,33237235.35,2752,KSB
2022-11-17,EQ,1969.0,1979.6,1940.95,1969.75,1951.0,1959.55,1956.7,2174.0,960.0,12561,24578098.9,2226,KSB
2022-11-16,EQ,1950.0,1988.0,1940.6,1954.15,1980.9,1969.75,1956.14,2174.0,960.0,20833,40752353.05,3168,KSB
2022-11-15,EQ,1848.6,1978.5,1848.6,1848.6,1963.95,1954.15,1932.27,2174.0,960.0,56765,109685491.6,9503,KSB
2022-11-14,EQ,1815.65,1870.0,1811.05,1834.4,1829.0,1848.6,1850.95,2174.0,960.0,14086,26072477.75,3270,KSB
2022-11-11,EQ,1862.4,1884.7,1811.0,1853.1,1816.15,1834.4,1842.09,2174.0,960.0,61442,113181399.65,4707,KSB
2022-11-10,EQ,1871.65,1884.55,1830.55,1875.15,1880.0,1853.1,1849.64,2174.0,960.0,10246,18951362.1,2921,KSB
2022-11-09,EQ,1910.0,1918.45,1860.55,1887.45,1865.05,1875.15,1873.24,2174.0,960.0,25776,48284532.3,3166,KSB
2022-11-07,EQ,1833.15,1909.75,1767.05,1833.15,1895.0,1887.45,1834.19,2174.0,960.0,46391,85090059.35,7893,KSB
2022-11-04,EQ,1925.3,1925.3,1800.0,1915.7,1837.0,1833.15,1851.38,2174.0,960.0,39355,72861113.4,6692,KSB
2022-11-03,EQ,1950.0,1974.35,1882.0,2007.35,1916.0,1915.7,1906.99,2174.0,960.0,59571,113601283.25,10007,KSB
